# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.356
metadata : {}


# id : NWRW1800000054.356.1.1
['잃어버린 20년' 넘어 부활한 日本] (3) 잘나가는 일본, 그래도 고민은 있다 환율따라 순익 큰폭 왔다갔다… 돈 잘 벌어도 자진 휴·폐업 속출

['잃어버린	[/SS+'/SS+잃어버리/VV+ㄴ/ETM
20년'	20/SN+년/NNB+'/SS
넘어	넘/VV+어/EC
부활한	부활/NNG+하/XSV+ㄴ/ETM
日本]	日本/SH+]/SS
(3)	(/SS+3/SN+)/SS
잘나가는	잘나가/VV+는/ETM
일본,	일본/NNP+,/SP
그래도	그러/VV+어도/EC
고민은	고민/NNG+은/JX
있다	있/VA+다/EF
환율따라	환율/NNG+따르/VV+아/EC
순익	순익/NNG
큰폭	크/VA+ㄴ/ETM+폭/NNG
왔다갔다…	오/VV+았/EP+다/EC+가/VV+았/EP+다/EC+…/SE
돈	돈/NNG
잘	잘/MAG
벌어도	벌/VV+어도/EC
자진	자진/NNG
휴·폐업	휴·폐업/NNG
속출	속출/NNG


# id : NWRW1800000054.356.2.1
고령화 탓 젊은 직원 안들어와… 스스로 문 닫는 회사 많아져

고령화	고령/NNG+화/XSN
탓	탓/NNG
젊은	젊/VA+은/ETM
직원	직원/NNG
안들어와…	안/MAG+들어오/VV+아/EC+…/SE
스스로	스스로/MAG
문	문/NNG
닫는	닫/VV+는/ETM
회사	회사/NNG
많아져	많아지/VV+어/EF


# id : NWRW1800000054.356.3.1
아베 신조(安倍晋三) 일본 총리가 의욕적으로 추진한 '아베노믹스' 첫 2~3년 동안만 해도 국내외 전문가들 사이엔 "과연 효과가 있겠느냐"는 회의론이 적잖았다.

아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
일본	일본/NNP
총리가	총리/NNG+가/JKS
의욕적으로	의욕/NNG+적/XSN+으로/JKB
추진한	추진/NNG+하/XSV+ㄴ/ETM
'아베노믹스'	'/SS+아베노믹스/NNG+'/SS
첫	첫/MMN
2~3년	2/SN+~/SO+3/SN+년/NNB
동안만	동안/NNG+만/JX
해도	하/VV+아도/EC
국내외	국내외/NNG
전문가들	전문가/NNG+들/XSN
사이엔	사이/NNG+에/JKB+ㄴ/JX
"과연	"/SS+과연/MAG
효과가	효과/NNG+가/JKS
있겠느냐"는	있/VA+겠/EP+느냐/EF+"/SS+는/ETM
회의론이	회의/NNG+론/XSN+이/JKS
적잖았다.	적잖/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.356.3.2
하지만 일본 기업 실적이 지속적으로 향상되고, 인공지능·드론·자율주행차 같은 4차 산업혁명에서 앞서 가면서 이런 목소리는 줄고 있다.

하지만	하지만/MAJ
일본	일본/NNP
기업	기업/NNG
실적이	실적/NNG+이/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
향상되고,	향상/NNG+되/XSV+고/EC+,/SP
인공지능·드론·자율주행차	인공/NNG+지능/NNG+·/SP+드론/NNG+·/SP+자율/NNG+주행차/NNG
같은	같/VA+은/ETM
4차	4/SN+차/NNB
산업혁명에서	산업/NNG+혁명/NNG+에서/JKB
앞서	앞서/VV+어/EC
가면서	가/VX+면서/EC
이런	이런/MMD
목소리는	목소리/NNG+는/JX
줄고	줄/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.356.4.1
다만, '일본은 모든 게 너무 잘되고 있다'는 식으로 과하게 환상을 가질 단계는 아니라는 지적도 있다.

다만,	다만/MAG+,/SP
'일본은	'/SS+일본/NNP+은/JX
모든	모든/MMN
게	거/NNB+이/JKS
너무	너무/MAG
잘되고	잘/MAG+되/XSV+고/EC
있다'는	있/VX+다/EF+'/SS+는/ETM
식으로	식/NNB+으로/JKB
과하게	과하/VA+게/EC
환상을	환상/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
단계는	단계/NNG+는/JX
아니라는	아니/VCN+라는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.356.4.2
김현철 서울대 교수는 "중환자실에 있는 환자가 일반 병동으로 옮긴 것도 맞고, 우리보다 건강 상태가 훨씬 좋은 것도 맞지만, 그렇다고 1980년대처럼 동네를 휘젓고 뛰어다닐 체력은 아직 안 된다고 보면 된다"고 했다.

김현철	김현철/NNP
서울대	서울대/NNP
교수는	교수/NNG+는/JX
"중환자실에	"/SS+중환자실/NNG+에/JKB
있는	있/VA+는/ETM
환자가	환자/NNG+가/JKS
일반	일반/NNG
병동으로	병동/NNG+으로/JKB
옮긴	옮기/VV+ㄴ/ETM
것도	것/NNB+도/JX
맞고,	맞/VV+고/EC+,/SP
우리보다	우리/NP+보다/JKB
건강	건강/NNG
상태가	상태/NNG+가/JKS
훨씬	훨씬/MAG
좋은	좋/VA+은/ETM
맞지만,	맞/VV+지만/EC+,/SP
그렇다고	그렇/VA+다고/EC
1980년대처럼	1980/SN+년대/NNB+처럼/JKB
동네를	동네/NNG+를/JKO
휘젓고	휘젓/VV+고/EC
뛰어다닐	뛰어다니/VV+ㄹ/ETM
체력은	체력/NNG+은/JX
아직	아직/MAG
안	안/MAG
된다고	되/VV+ㄴ다고/EC
보면	보/VV+면/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.356.5.1
일본이 안고 있는 한계를 정확히 보여주는 게 '400억엔 딜레마'와 '휴업·폐업 딜레마'다.

일본이	일본/NNP+이/JKS
안고	안/VV+고/EC
있는	있/VX+는/ETM
