# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.136
metadata : {}


# id : NWRW1800000052.136.1.1
아벨콰르텟 첫 정기연주회 ‘늦었지만 위대한 시작’

아벨콰르텟	아벨콰르텟/NNP
첫	첫/MMN
정기연주회	정기/NNG+연주회/NNG
‘늦었지만	‘/SS+늦/VA+었/EP+지만/EC
위대한	위대하/VA+ㄴ/ETM
시작’	시작/NNG+’/SS


# id : NWRW1800000052.136.2.1
5개월 동안 3개 콩쿠르 휩쓴 실력

5개월	5/SN+개월/NNB
동안	동안/NNG
3개	3/SN+개/NNB
콩쿠르	콩쿠르/NNG
휩쓴	휩쓸/VV+ㄴ/ETM
실력	실력/NNG


# id : NWRW1800000052.136.3.1
뒤늦게 12일 예술의전당 무대에

뒤늦게	뒤늦/VA+게/EC
12일	12/SN+일/NNB
예술의전당	예술의전당/NNP
무대에	무대/NNG+에/JKB


# id : NWRW1800000052.136.4.1
‘아벨’만의 음악적 색깔 선보이기

‘아벨’만의	‘/SS+아벨/NNP+’/SS+만/JX+의/JKG
음악적	음악/NNG+적/XSN
색깔	색깔/NNG
선보이기	선보이/VV+기/ETN


# id : NWRW1800000052.136.5.1
“모차르트 현악사중주 21번 라장조는 다양함을 주제로 무겁지 않은 행복감을 주고, 리게티 현악사중주 1번 ‘야상적 변용’은 이야기가 있는 17개의 곡으로 느낌이 팍팍 꽂히는 화려한 곡입니다.

“모차르트	“/SS+모차르트/NNP
현악사중주	현악/NNG+사중주/NNG
21번	21/SN+번/NNB
라장조는	라장조/NNG+는/JX
다양함을	다양/NNG+하/XSA+ㅁ/ETN+을/JKO
주제로	주제/NNG+로/JKB
무겁지	무겁/VA+지/EC
않은	않/VX+은/ETM
행복감을	행복감/NNG+을/JKO
주고,	주/VV+고/EC+,/SP
리게티	리게티/NNP
1번	1/SN+번/NNB
‘야상적	‘/SS+야상/NNG+적/XSN
변용’은	변용/NNG+’/SS+은/JX
이야기가	이야기/NNG+가/JKS
있는	있/VA+는/ETM
17개의	17/SN+개/NNB+의/JKG
곡으로	곡/NNG+으로/JKB
느낌이	느낌/NNG+이/JKS
팍팍	팍팍/MAG
꽂히는	꽂히/VV+는/ETM
화려한	화려하/VA+ㄴ/ETM
곡입니다.	곡/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000052.136.5.2
내가 사랑하는 작곡가 슈만의 현악사중주 2번 바장조는 불행하면서도 행복한 그의 스토리가 담겼습니다.”

내가	내/NP+가/JKS
사랑하는	사랑/NNG+하/XSV+는/ETM
작곡가	작곡가/NNG
슈만의	슈만/NNP+의/JKG
현악사중주	현악/NNG+사중주/NNG
2번	2/SN+번/NNB
바장조는	바장조/NNG+는/JX
불행하면서도	불행/NNG+하/XSA+면서/EC+도/JX
행복한	행복/NNG+하/XSA+ㄴ/ETM
그의	그/NP+의/JKG
스토리가	스토리/NNG+가/JKS
담겼습니다.”	담기/VV+었/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000052.136.5.3
윤은솔이 연주회 프로그램을 소개하자 김세준이 의미를 한번 더 짚었다.

윤은솔이	윤은솔/NNP+이/JKS
연주회	연주회/NNG
프로그램을	프로그램/NNG+을/JKO
소개하자	소개/NNG+하/XSV+자/EC
김세준이	김세준/NNP+이/JKS
의미를	의미/NNG+를/JKO
한번	한번/NNG
더	더/MAG
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.136.5.4
“작곡가별, 시대별 음악의 다양함과 함께 행복, 분노, 사랑스러움 등 감정의 다양함까지 함께 보여줄 수 있는 프로그램입니다.”

“작곡가별,	“/SS+작곡가/NNG+별/XSN+,/SP
시대별	시대/NNG+별/XSN
음악의	음악/NNG+의/JKG
다양함과	다양/NNG+하/XSA+ㅁ/ETN+과/JKB
함께	함께/MAG
행복,	행복/NNG+,/SP
