# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.119
metadata : {}


# id : NWRW1800000037.119.1.1
“신앙활동과 체조 모두 행복한 기적 체험 원해”

“신앙활동과	“/SS+신앙/NNG+활동/NNG+과/JC
체조	체조/NNG
모두	모두/MAG
행복한	행복/NNG+하/XSA+ㄴ/ETM
기적	기적/NNG
체험	체험/NNG
원해”	원/NNG+하/XSV+아/EC+”/SS


# id : NWRW1800000037.119.2.1
운동 잠시 미루고 선교사로 한국에 오는 캐나다 체조 챔프 잭슨 페인 씨

운동	운동/NNG
잠시	잠시/MAG
미루고	미루/VV+고/EC
선교사로	선교사/NNG+로/JKB
한국에	한국/NNP+에/JKB
오는	오/VV+는/ETM
캐나다	캐나다/NNP
체조	체조/NNG
챔프	챔프/NNG
잭슨	잭슨/NNP
페인	페인/NNP
씨	씨/NNB


# id : NWRW1800000037.119.3.1
9세 때 캐나다 체조대회 최연소 출전, 2011년 캐나다 체조대회 국내 챔피언과 아메리칸컵 개인종합 7위….

9세	9/SN+세/NNB
때	때/NNG
캐나다	캐나다/NNP
체조대회	체조/NNG+대회/NNG
최연소	최/XPN+연소/NNG
출전,	출전/NNG+,/SP
2011년	2011/SN+년/NNB
국내	국내/NNG
챔피언과	챔피언/NNG+과/JC
아메리칸컵	아메리칸/NNP+컵/NNG
개인종합	개인/NNG+종합/NNG
7위….	7/SN+위/NNB+…/SE+./SF


# id : NWRW1800000037.119.4.1
올림픽 금메달을 향해 굵은 땀방울을 흘리던 캐나다 청년 잭슨 페인 씨(22).

올림픽	올림픽/NNG
금메달을	금메달/NNG+을/JKO
향해	향하/VV+아/EC
굵은	굵/VA+은/ETM
땀방울을	땀방울/NNG+을/JKO
흘리던	흘리/VV+던/ETM
캐나다	캐나다/NNP
청년	청년/NNG
잭슨	잭슨/NNP
페인	페인/NNP
씨(22).	씨/NNB+(/SS+22/SN+)/SS+./SF


# id : NWRW1800000037.119.4.2
이제 그는 검은색 정장에 가슴에 이름표를 단 선교사다.

이제	이제/MAG
그는	그/NP+는/JX
검은색	검은색/NNG
정장에	정장/NNG+에/JKB
가슴에	가슴/NNG+에/JKB
이름표를	이름표/NNG+를/JKO
단	달/VV+ㄴ/ETM
선교사다.	선교사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.119.4.3
그는 지난해 8월부터 모르몬교로 불리는 예수그리스도후기성도교회(The Church of Jesus Christ of Latter-day Saints·LDS) 선교사로 활동하고 있다.

그는	그/NP+는/JX
지난해	지난해/NNG
8월부터	8/SN+월/NNB+부터/JX
모르몬교로	모르몬교/NNG+로/JKB
불리는	불리/VV+는/ETM
예수그리스도후기성도교회(The	예수그리스도후기성도교회/NNP+(/SS+The/SL
Church	Church/SL
of	of/SL
Jesus	Jesus/SL
Christ	Christ/SL
Latter-day	Latter/SL+-/SO+day/SL
Saints·LDS)	Saints/SL+·/SP+LDS/SL+)/SS
선교사로	선교사/NNG+로/JKB
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.119.5.1
26일 서울의 한 식당에서 만난 그는 “안녕하세요”라는 한국말로 인사를 했다.

26일	26/SN+일/NNB
서울의	서울/NNP+의/JKG
한	한/MMN
식당에서	식당/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
그는	그/NP+는/JX
“안녕하세요”라는	“/SS+안녕/NNG+하/XSA+시/EP+어요/EF+”/SS+이/VCP+라는/ETM
한국말로	한국말/NNG+로/JKB
인사를	인사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.119.5.2
160cm가량의 작은 키였지만 어려서부터 체조기구와 씨름한 그의 손은 악수할 때 보통 사람들의 손을 덮을 정도로 크고 단단했다.

160cm가량의	160/SN+cm/SW+가량/XSN+의/JKG
작은	작/VA+은/ETM
키였지만	키/NNG+이/VCP+었/EP+지만/EC
어려서부터	어리/VA+어서/EC+부터/JX
체조기구와	체조/NNG+기구/NNG+와/JKB
씨름한	씨름/NNG+하/XSV+ㄴ/ETM
그의	그/NP+의/JKG
손은	손/NNG+은/JX
악수할	악수/NNG+하/XSV+ㄹ/ETM
때	때/NNG
보통	보통/NNG
사람들의	사람/NNG+들/XSN+의/JKG
손을	손/NNG+을/JKO
덮을	덮/VV+을/ETM
정도로	정도/NNG+로/JKB
크고	크/VA+고/EC
단단했다.	단단하/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.119.5.3
LDS의 미국 내 신자는 800여만 명으로 개신교단 중 4, 5위권이다.

LDS의	LDS/SL+의/JKG
미국	미국/NNP
내	내/NNB
신자는	신자/NNG+는/JX
800여만	800/SN+여/XSN+만/NR
명으로	명/NNB+으로/JKB
개신교단	개신교단/NNG
중	중/NNB
4,	4/SN+,/SP
5위권이다.	5/SN+위/NNB+권/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000037.119.5.4
세계적으로 1500만 명, 한국 내 신자는 10만 명으로 추산된다.

세계적으로	세계/NNG+적/XSN+으로/JKB
1500만	1500/SN+만/NR
명,	명/NNB+,/SP
한국	한국/NNP
내	내/NNB
신자는	신자/NNG+는/JX
10만	10/SN+만/NR
명으로	명/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.119.6.1
체조 얘기가 나오자 눈빛이 반짝거렸다.

체조	체조/NNG
얘기가	얘기/NNG+가/JKS
나오자	나오/VV+자/EC
눈빛이	눈빛/NNG+이/JKS
반짝거렸다.	반짝거리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.119.6.2
“올림픽을 앞두고 컨디션이 좋지 않은 데다 팀 사정 때문에 런던 올림픽에 출전하지 못했어요.

“올림픽을	“/SS+올림픽/NNG+을/JKO
앞두고	앞두/VV+고/EC
컨디션이	컨디션/NNG+이/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
데다	데/NNB+다/JX
팀	팀/NNG
사정	사정/NNG
때문에	때문/NNB+에/JKB
런던	런던/NNP
올림픽에	올림픽/NNG+에/JKB
출전하지	출전/NNG+하/XSV+지/EC
못했어요.	못하/VX+았/EP+어요/EF+./SF


# id : NWRW1800000037.119.6.3
국제대회에서 마주친 뜀틀 금메달리스트 양학선을 잘 알고 있습니다.

국제대회에서	국제/NNG+대회/NNG+에서/JKB
마주친	마주치/VV+ㄴ/ETM
뜀틀	뜀틀/NNG
금메달리스트	금메달리스트/NNG
양학선을	양학선/NNP+을/JKO
잘	잘/MAG
알고	알/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000037.119.6.4
그는 뛰어난 기량과 도전정신을 갖춘 선수입니다.”

그는	그/NP+는/JX
뛰어난	뛰어나/VA+ㄴ/ETM
기량과	기량/NNG+과/JC
도전정신을	도전/NNG+정신/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
선수입니다.”	선수/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000037.119.7.1
LDS 신자는 10대 후반에서 20대 사이에 2년 정도 선교사로 활동하는 것을 의무로 여기고 있다.

LDS	LDS/SL
신자는	신자/NNG+는/JX
10대	10/SN+대/NNB
후반에서	후반/NNG+에서/JKB
20대	20/SN+대/NNB
사이에	사이/NNG+에/JKB
2년	2/SN+년/NNB
정도	정도/NNG
선교사로	선교사/NNG+로/JKB
활동하는	활동/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
의무로	의무/NNG+로/JKB
여기고	여기/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.119.7.2
선교사들은 필요한 경비를 교회 지원 없이 개인적으로 마련한 뒤 월 40만 원 수준으로 검소하게 생활한다.

선교사들은	선교사/NNG+들/XSN+은/JX
필요한	필요/NNG+하/XSA+ㄴ/ETM
경비를	경비/NNG+를/JKO
교회	교회/NNG
지원	지원/NNG
없이	없이/MAG
개인적으로	개인/NNG+적/XSN+으로/JKB
마련한	마련/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
월	월/NNG
40만	40/SN+만/NR
원	원/NNB
수준으로	수준/NNG+으로/JKB
검소하게	검소/NNG+하/XSA+게/EC
생활한다.	생활/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.119.8.1
선수 경력에서 중요한 시기에 2년의 선교를 선택한 것은 쉬운 결정이 아니었을 것이다.

선수	선수/NNG
경력에서	경력/NNG+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
시기에	시기/NNG+에/JKB
2년의	2/SN+년/NNB+의/JKG
선교를	선교/NNG+를/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
쉬운	쉽/VA+ㄴ/ETM
결정이	결정/NNG+이/JKC
아니었을	아니/VCN+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.119.8.2
“선수 경력이 끝난 뒤 봉사하면 어떨까 하는 고민도 했습니다만 기도 끝에 소명을 따르기로 했습니다.

“선수	“/SS+선수/NNG
경력이	경력/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
봉사하면	봉사/NNG+하/XSV+면/EC
어떨까	어떻/VA+ㄹ까/EF
하는	하/VV+는/ETM
고민도	고민/NNG+도/JX
했습니다만	하/VV+았/EP+습니다/EF+만/JX
기도	기도/NNG
끝에	끝/NNG+에/JKB
소명을	소명/NNG+을/JKO
따르기로	따르/VV+기/ETN+로/JKB
했습니다.	하/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000037.119.8.3
그러나 2016년 리우데자네이루 올림픽에는 꼭 출전해 최선을 다하고 싶습니다.”

그러나	그러나/MAJ
2016년	2016/SN+년/NNB
리우데자네이루	리우데자네이루/NNP
올림픽에는	올림픽/NNG+에/JKB+는/JX
꼭	꼭/MAG
출전해	출전/NNG+하/XSV+아/EC
최선을	최선/NNG+을/JKO
다하고	다/MAG+하/XSV+고/EC
싶습니다.”	싶/VX+습니다/EF+./SF+”/SS


# id : NWRW1800000037.119.9.1
선교지는 전적으로 교회의 뜻에 따라 결정된다.

선교지는	선교지/NNG+는/JX
전적으로	전적/NNG+으로/JKB
교회의	교회/NNG+의/JKG
뜻에	뜻/NNG+에/JKB
따라	따르/VV+아/EC
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.119.9.2
