# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.172
metadata : {}


# id : NWRW1800000030.172.1.1
전우애로 뭉친 15명의 멋진 사나이들

전우애로	전우애/NNG+로/JKB
뭉친	뭉치/VV+ㄴ/ETM
15명의	15/SN+명/NNB+의/JKG
멋진	멋지/VA+ㄴ/ETM
사나이들	사나이/NNG+들/XSN


# id : NWRW1800000030.172.2.1
•ROTC 15기 자전거 모임

•ROTC	•/SW+ROTC/SL
15기	15/SN+기/NNG
자전거	자전거/NNG
모임	모임/NNG


# id : NWRW1800000030.172.3.1
18일 열린 '제3회 생활자전거 대행진' 참가자들은 광화문광장을 출발한 지 1시간이 되기도 전에 속속 월드컵경기장에 도착했다.

18일	18/SN+일/NNB
열린	열리/VV+ㄴ/ETM
'제3회	'/SS+제/XPN+3/SN+회/NNB
생활자전거	생활/NNG+자전거/NNG
대행진'	대/XPN+행진/NNG+'/SS
참가자들은	참가자/NNG+들/XSN+은/JX
광화문광장을	광화문광장/NNP+을/JKO
출발한	출발/NNG+하/XSV+ㄴ/ETM
지	지/NNB
1시간이	1/SN+시간/NNB+이/JKC
되기도	되/VV+기/ETN+도/JX
전에	전/NNG+에/JKB
속속	속속/MAG
월드컵경기장에	월드컵/NNG+경기장/NNG+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.172.3.2
이 중 눈길을 끄는 그룹은 노란색 운동복 속에 '알오'라고 쓰인 티셔츠를 입은 15명이었다.

이	이/MMD
중	중/NNB
눈길을	눈길/NNG+을/JKO
끄는	끌/VV+는/ETM
그룹은	그룹/NNG+은/JX
노란색	노란색/NNG
운동복	운동복/NNG
속에	속/NNG+에/JKB
'알오'라고	'/SS+알오/NNP+'/SS+라고/JKQ
쓰인	쓰이/VV+ㄴ/ETM
티셔츠를	티셔츠/NNG+를/JKO
입은	입/VV+은/ETM
15명이었다.	15/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.172.3.3
이들은 1977년에 임관한 ROTC 15기 동기생들의 자전거 모임인 '알오 굴렁쇠' 회원들로, '생활자전거 대행진' 1회부터 3회까지 빠지지 않고 참여해왔다.

이들은	이/NP+들/XSN+은/JX
1977년에	1977/SN+년/NNB+에/JKB
임관한	임관/NNG+하/XSV+ㄴ/ETM
ROTC	ROTC/SL
15기	15/SN+기/NNG
동기생들의	동기/NNG+생/XSN+들/XSN+의/JKG
자전거	자전거/NNG
모임인	모임/NNG+이/VCP+ㄴ/ETM
'알오	'/SS+알오/NNP
굴렁쇠'	굴렁쇠/NNG+'/SS
회원들로,	회원/NNG+들/XSN+로/JKB+,/SP
'생활자전거	'/SS+생활/NNG+자전거/NNG
대행진'	대/XPN+행진/NNG+'/SS
1회부터	1/SN+회/NNB+부터/JX
3회까지	3/SN+회/NNB+까지/JX
빠지지	빠지/VV+지/EC
않고	않/VX+고/EC
참여해왔다.	참여/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.172.4.1
복무 시절 각자 숙소에서 근무지까지 자전거로 출퇴근할 만큼 일찌감치 자전거에 푹 빠진 사람들로, 5년 전부터 모임을 만들어 매주 두 차례 자전거를 함께 타며 전우애를 다지고 있다.

복무	복무/NNG
시절	시절/NNG
각자	각자/MAG
숙소에서	숙소/NNG+에서/JKB
근무지까지	근무지/NNG+까지/JX
자전거로	자전거/NNG+로/JKB
출퇴근할	출퇴근/NNG+하/XSV+ㄹ/ETM
만큼	만큼/NNB
일찌감치	일찌감치/MAG
자전거에	자전거/NNG+에/JKB
푹	푹/MAG
빠진	빠지/VV+ㄴ/ETM
사람들로,	사람/NNG+들/XSN+로/JKB+,/SP
5년	5/SN+년/NNB
전부터	전/NNG+부터/JX
모임을	모임/NNG+을/JKO
만들어	만들/VV+어/EC
매주	매주/MAG
두	두/MMN
차례	차례/NNG
자전거를	자전거/NNG+를/JKO
함께	함께/MAG
타며	타/VV+며/EC
전우애를	전우애/NNG+를/JKO
다지고	다지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.172.4.2
'알오 굴렁쇠'의 맨 앞에 서는 '라이딩 대장' 이형남(57)씨는 2~3일에 한 번씩 5~6시간에 걸쳐 한강을 따라 경기도 일대까지 70~80㎞를 달려야 속이 후련할 정도로 자전거 애호가다.

'알오	'/SS+알오/NNP
굴렁쇠'의	굴렁쇠/NNG+'/SS+의/JKG
맨	맨/MMA
앞에	앞/NNG+에/JKB
서는	서/VV+는/ETM
'라이딩	'/SS+라이딩/NNG
대장'	대장/NNG+'/SS
이형남(57)씨는	이형남/NNP+(/SS+57/SN+)/SS+씨/NNB+는/JX
2~3일에	2/SN+~/SO+3/SN+일/NNB+에/JKB
한	한/MMN
번씩	번/NNB+씩/XSN
5~6시간에	5/SN+~/SO+6/SN+시간/NNB+에/JKB
걸쳐	걸치/VV+어/EC
한강을	한강/NNP+을/JKO
따라	따르/VV+아/EC
경기도	경기도/NNP
일대까지	일대/NNG+까지/JX
70~80㎞를	70/SN+~/SO+80/SN+㎞/SW+를/JKO
달려야	달리/VV+어야/EC
속이	속/NNG+이/JKS
후련할	후련하/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
자전거	자전거/NNG
애호가다.	애호가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.172.5.1
이씨는 "건강도 지키고, 자연도 즐길 수 있어 세상에 자전거 타기만큼 좋은 취미가 없다"고 말했다.

이씨는	이/NNP+씨/NNB+는/JX
"건강도	"/SS+건강/NNG+도/JX
지키고,	지키/VV+고/EC+,/SP
자연도	자연/NNG+도/JX
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
세상에	세상/NNG+에/JKB
자전거	자전거/NNG
타기만큼	타/VV+기/ETN+만큼/JKB
좋은	좋/VA+은/ETM
취미가	취미/NNG+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.172.5.2
전임회장 이춘영(57)씨는 "남자들이 모이면 술 마시는 것밖에 할 일이 없다고 생각하는데, 자전거를 타면서 동기생들과 사이가 전보다 더 가까워졌다"고 했다.

전임회장	전임/NNG+회장/NNG
이춘영(57)씨는	이춘영/NNP+(/SS+57/SN+)/SS+씨/NNB+는/JX
"남자들이	"/SS+남자/NNG+들/XSN+이/JKS
모이면	모이/VV+면/EC
술	술/NNG
마시는	마시/VV+는/ETM
것밖에	것/NNB+밖에/JX
할	하/VV+ㄹ/ETM
일이	일/NNG+이/JKS
없다고	없/VA+다고/EC
생각하는데,	생각/NNG+하/XSV+는데/EC+,/SP
자전거를	자전거/NNG+를/JKO
타면서	타/VV+면서/EC
동기생들과	동기/NNG+생/XSN+들/XSN+과/JKB
사이가	사이/NNG+가/JKS
전보다	전/NNG+보다/JKB
더	더/MAG
가까워졌다"고	가깝/VA+어/EC+지/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.172.5.3
'알오 굴렁쇠'는 매주 화요일 한강을 순환하며, 토요일에는 관악산·양평·미사리 코스 등 120㎞ 정도를 달린다.

'알오	'/SS+알오/NNP
굴렁쇠'는	굴렁쇠/NNG+'/SS+는/JX
매주	매주/MAG
화요일	화요일/NNG
한강을	한강/NNP+을/JKO
순환하며,	순환/NNG+하/XSV+며/EC+,/SP
토요일에는	토요일/NNG+에/JKB+는/JX
관악산·양평·미사리	관악산/NNP+·/SP+양평/NNP+·/SP+미사리/NNP
코스	코스/NNG
등	등/NNB
120㎞	120/SN+㎞/SW
정도를	정도/NNG+를/JKO
달린다.	달리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.172.5.4
홍승일(57) 회장은 "자전거 도로와 보관시설이 개선되면 회원 모두 자전거 출퇴근에도 도전하려 한다"고 말했다.

홍승일(57)	홍승일/NNP+(/SS+57/SN+)/SS
회장은	회장/NNG+은/JX
"자전거	"/SS+자전거/NNG
도로와	도로/NNG+와/JC
보관시설이	보관/NNG+시설/NNG+이/JKS
개선되면	개선/NNG+되/XSV+면/EC
회원	회원/NNG
모두	모두/MAG
자전거	자전거/NNG
출퇴근에도	출퇴근/NNG+에/JKB+도/JX
도전하려	도전/NNG+하/XSV+려/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.172.6.1
홍 회장은 이날 기분 좋게 코스를 완주한 회원들을 향해 외쳤다.

홍	홍/NNP
회장은	회장/NNG+은/JX
이날	이날/NNG
기분	기분/NNG
좋게	좋/VA+게/EC
코스를	코스/NNG+를/JKO
완주한	완주/NNG+하/XSV+ㄴ/ETM
회원들을	회원/NNG+들/XSN+을/JKO
향해	향하/VV+아/EC
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.172.6.2
"기분도 좋은데 한 바퀴 더 돕시다!"

"기분도	"/SS+기분/NNG+도/JX
좋은데	좋/VA+은데/EC
한	한/MMN
바퀴	바퀴/NNB
더	더/MAG
돕시다!"	돌/VV+ㅂ시다/EF+!/SF+"/SS


