# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.201
metadata : {}


# id : NWRW1800000024.201.1.1
온국민 바보 만드는 법 막아야죠

온국민	온/MMN+국민/NNG
바보	바보/NNG
만드는	만들/VV+는/ETM
법	법/NNG
막아야죠	막/VV+아야죠/EF


# id : NWRW1800000024.201.2.1
1급 뇌병변 중증장애인 최창현(45)씨는 10일 “정부·여당 언론법은 진실을 바로 보지 못하도록 전 국민의 눈을 가려 바보로 만들려는 법”이라고 단언했다.

1급	1/SN+급/NNG
뇌병변	뇌/NNG+병변/NNG
중증장애인	중증/NNG+장애인/NNG
최창현(45)씨는	최창현/NNP+(/SS+45/SN+)/SS+씨/NNB+는/JX
10일	10/SN+일/NNB
“정부·여당	“/SS+정부/NNG+·/SP+여당/NNG
언론법은	언론/NNG+법/NNG+은/JX
진실을	진실/NNG+을/JKO
바로	바로/MAG
보지	보/VV+지/EC
못하도록	못하/VX+도록/EC
전	전/MMN
국민의	국민/NNG+의/JKG
눈을	눈/NNG+을/JKO
가려	가리/VV+어/EC
바보로	바보/NNG+로/JKB
만들려는	만들/VV+려는/ETM
법”이라고	법/NNB+”/SS+이라고/JKQ
단언했다.	단언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.201.3.1
“한나라당 뜻대로 6월에 언론법이 강행처리돼 재벌과 조·중·동이 방송에까지 진출하면 사회적 취약 계층인 장애인·여성·비정규직·지역의 목소리는 대한민국에서 사라질 것이다.”

“한나라당	“/SS+한나라당/NNP
뜻대로	뜻/NNG+대로/JX
6월에	6/SN+월/NNB+에/JKB
언론법이	언론/NNG+법/NNG+이/JKS
강행처리돼	강행/NNG+처리/NNG+되/XSV+어/EC
재벌과	재벌/NNG+과/JC
조·중·동이	조/NNP+·/SP+중/NNP+·/SP+동/NNP+이/JKS
방송에까지	방송/NNG+에/JKB+까지/JX
진출하면	진출/NNG+하/XSV+면/EC
사회적	사회/NNG+적/XSN
취약	취약/NNG
계층인	계층/NNG+이/VCP+ㄴ/ETM
장애인·여성·비정규직·지역의	장애인/NNG+·/SP+여성/NNG+·/SP+비/XPN+정규직/NNG+·/SP+지역/NNG+의/JKG
목소리는	목소리/NNG+는/JX
대한민국에서	대한민국/NNP+에서/JKB
사라질	사라지/VV+ㄹ/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000024.201.4.1
그가 11일부터 정부·여당의 언론법에 반대하는 ‘휠체어 전국 순회투쟁’에 나서는 이유다.

그가	그/NP+가/JKS
11일부터	11/SN+일/NNB+부터/JX
정부·여당의	정부/NNG+·/SP+여당/NNG+의/JKG
언론법에	언론/NNG+법/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
‘휠체어	‘/SS+휠체어/NNG
전국	전국/NNG
순회투쟁’에	순회/NNG+투쟁/NNG+’/SS+에/JKB
나서는	나서/VV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.201.4.2
기네스북에 오른 ‘전동휠체어 세계 최장거리 주행 기록’ 보유자인 그는 2006~07년 남북 통일을 기원하며 세계 35개 나라 2만8000㎞를 횡단했다.

기네스북에	기네스북/NNP+에/JKB
오른	오르/VV+ㄴ/ETM
‘전동휠체어	‘/SS+전동/NNG+휠체어/NNG
세계	세계/NNG
최장거리	최장/NNG+거리/NNG
주행	주행/NNG
기록’	기록/NNG+’/SS
보유자인	보유자/NNG+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
2006~07년	2006/SN+~/SO+07/SN+년/NNB
남북	남북/NNP
통일을	통일/NNG+을/JKO
기원하며	기원/NNG+하/XSV+며/EC
35개	35/SN+개/NNB
나라	나라/NNG
2만8000㎞를	2/SN+만/NR+8000/SN+㎞/SW+를/JKO
횡단했다.	횡단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.201.5.1
이날 오전 서울 덕수궁 대한문 앞을 출발해 대전·광주·부산·대구·원주·춘천 등 25일까지 전국 13개 도시를 돌며 언론법의 문제점을 알릴 계획이다.

이날	이날/NNG
오전	오전/NNG
서울	서울/NNP
덕수궁	덕수궁/NNP
대한문	대한문/NNP
앞을	앞/NNG+을/JKO
출발해	출발/NNG+하/XSV+아/EC
대전·광주·부산·대구·원주·춘천	대전/NNP+·/SP+광주/NNP+·/SP+부산/NNP+·/SP+대구/NNP+·/SP+원주/NNP+·/SP+춘천/NNP
등	등/NNB
25일까지	25/SN+일/NNB+까지/JX
전국	전국/NNG
13개	13/SN+개/NNB
도시를	도시/NNG+를/JKO
돌며	돌/VV+며/EC
언론법의	언론/NNG+법/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
알릴	알리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.201.5.2
가는 곳마다 언론단체들과 연대해 한나라당 지구당사 앞에서 기자회견을 열고, 시민들과 함께 촛불시위도 벌인다.

가는	가/VV+는/ETM
곳마다	곳/NNG+마다/JX
언론단체들과	언론/NNG+단체/NNG+들/XSN+과/JKB
연대해	연대/NNG+하/XSV+아/EC
한나라당	한나라당/NNP
지구당사	지구당사/NNG
앞에서	앞/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열고,	열/VV+고/EC+,/SP
시민들과	시민/NNG+들/XSN+과/JKB
함께	함께/MAG
촛불시위도	촛불/NNG+시위/NNG+도/JX
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.201.6.1
1996년 ‘밝은 내일회’ 설립과 함께 장애인 인권 지킴이 활동을 시작한 그는 전동휠체어로 국내 1500㎞(99년), 미국 5500㎞(2001년), 일본 4000㎞(2003년)를 누비며 장애인 인권 현실을 알려왔다.

1996년	1996/SN+년/NNB
‘밝은	‘/SS+밝/VA+은/ETM
내일회’	내일회/NNP+’/SS
설립과	설립/NNG+과/JKB
함께	함께/MAG
장애인	장애인/NNG
인권	인권/NNG
지킴이	지킴이/NNG
활동을	활동/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
전동휠체어로	전동/NNG+휠체어/NNG+로/JKB
국내	국내/NNG
1500㎞(99년),	1500/SN+㎞/SW+(/SS+99/SN+년/NNB+)/SS+,/SP
미국	미국/NNP
5500㎞(2001년),	5500/SN+㎞/SW+(/SS+2001/SN+년/NNB+)/SS+,/SP
일본	일본/NNP
4000㎞(2003년)를	4000/SN+㎞/SW+(/SS+2003/SN+년/NNB+)/SS+를/JKO
누비며	누비/VV+며/EC
현실을	현실/NNG+을/JKO
