# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.73
metadata : {}


# id : NWRW1800000033.73.1.1
WSJ, 충칭 영국인 사망사건 관련 ‘부적절 관계’ 의혹 보도

WSJ,	WSJ/SL+,/SP
충칭	충칭/NNP
영국인	영국인/NNG
사망사건	사망/NNG+사건/NNG
관련	관련/NNG
‘부적절	‘/SS+부적절/XR
관계’	관계/NNG+’/SS
의혹	의혹/NNG
보도	보도/NNG


# id : NWRW1800000033.73.2.1
“보시라이 부인과 관계 틀어진뒤 신변 위협받고 있다는 말 자주 해”

“보시라이	“/SS+보시라이/NNP
부인과	부인/NNG+과/JKB
관계	관계/NNG
틀어진뒤	틀어지/VV+ㄴ/ETM+뒤/NNG
신변	신변/NNG
위협받고	위협/NNG+받/XSV+고/EC
있다는	있/VX+다는/ETM
말	말/NNG
자주	자주/MAG
해”	하/VV+아/EF+”/SS


# id : NWRW1800000033.73.3.1
중국 보시라이(63) 전 충칭(重慶) 시 서기의 부인과 밀접한 관계를 맺어온 것으로 알려진 영국인 닐 헤이우드 씨(사망 당시 41세)가 지난해 11월 충칭에서 숨지기 전에 보 전 서기의 부인으로부터 아내와 이혼하라는 요구를 받았던 것으로 알려졌다.

중국	중국/NNP
보시라이(63)	보시라이/NNP+(/SS+63/SN+)/SS
전	전/MMD
충칭(重慶)	충칭/NNP+(/SS+重慶/SH+)/SS
시	시/NNG
서기의	서기/NNG+의/JKG
부인과	부인/NNG+과/JKB
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
관계를	관계/NNG+를/JKO
맺어온	맺/VV+어/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
영국인	영국인/NNG
닐	닐/NNP
헤이우드	헤이우드/NNP
씨(사망	씨/NNB+(/SS+사망/NNG
당시	당시/NNG
41세)가	41/SN+세/NNB+)/SS+가/JKS
지난해	지난해/NNG
11월	11/SN+월/NNB
충칭에서	충칭/NNP+에서/JKB
숨지기	숨지/VV+기/ETN
전에	전/NNG+에/JKB
보	보/NNP
부인으로부터	부인/NNG+으로부터/JKB
아내와	아내/NNG+와/JKB
이혼하라는	이혼/NNG+하/XSV+라는/ETM
요구를	요구/NNG+를/JKO
받았던	받/VV+았/EP+던/ETM
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.73.4.1
