# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.82
metadata : {}


# id : NWRW1800000052.82.1.1
“백악관행 ‘쩐 전쟁’을 반대한다”

“백악관행	“/SS+백악관행/NNG
‘쩐	‘/SS+쩐/NNG
전쟁’을	전쟁/NNG+’/SS+을/JKO
반대한다”	반대/NNG+하/XSV+ㄴ다/EF+”/SS


# id : NWRW1800000052.82.2.1
‘민주주의 봄’ 외치는 미국인들

‘민주주의	‘/SS+민주주의/NNG
봄’	봄/NNG+’/SS
외치는	외치/VV+는/ETM
미국인들	미국인/NNG+들/XSN


# id : NWRW1800000052.82.3.1
키 160㎝ 가량의 자그마한 미국인 여성이 달러 지폐를 붙여 만든 깃발을 들고 행진을 했다.

키	키/NNG
160㎝	160/SN+㎝/SW
가량의	가량/XSN+의/JKG
자그마한	자그마하/VA+ㄴ/ETM
미국인	미국인/NNG
여성이	여성/NNG+이/JKS
달러	달러/NNG
지폐를	지폐/NNG+를/JKO
붙여	붙이/VV+어/EC
만든	만들/VV+ㄴ/ETM
깃발을	깃발/NNG+을/JKO
들고	들/VV+고/EC
행진을	행진/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.82.3.2
깃발에는 시티그룹과 엑손 등 정치자금으로 거액을 대는 기업들의 로고가 빼곡하게 박혀있다.

깃발에는	깃발/NNG+에/JKB+는/JX
시티그룹과	시티그룹/NNP+과/JC
엑손	엑손/NNP
등	등/NNB
정치자금으로	정치/NNG+자금/NNG+으로/JKB
거액을	거액/NNG+을/JKO
대는	대/VV+는/ETM
기업들의	기업/NNG+들/XSN+의/JKG
로고가	로고/NNG+가/JKS
빼곡하게	빼곡/MAG+하/XSA+게/EC
박혀있다.	박히/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000052.82.3.3
전직 특수교육 교사인 앤드리아 리아(66)는 “미국은 민주주의가 아니라 대기업과 몇몇 엘리트들이 지배하는 ‘과두 정치’”라고 잘라 말했다.

전직	전직/NNG
특수교육	특수/NNG+교육/NNG
교사인	교사/NNG+이/VCP+ㄴ/ETM
앤드리아	앤드리아/NNP
