# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.71
metadata : {}


# id : NWRW1800000033.71.1.1
유대인 앞에 선 오바마“이란공격 주저 않을 것”

유대인	유대인/NNP
앞에	앞/NNG+에/JKB
선	서/VV+ㄴ/ETM
오바마“이란공격	오바마/NNP+“/SS+이란/NNP+공격/NNG
주저	주저/NNG
않을	않/VV+을/ETM
것”	것/NNB+”/SS


# id : NWRW1800000033.71.2.1
일요일인 4일 미국 워싱턴 중심가에 자리 잡은 워싱턴 컨벤션센터에는 이른 아침부터 많은 유대인들로 북적였다.

일요일인	일요일/NNG+이/VCP+ㄴ/ETM
4일	4/SN+일/NNB
미국	미국/NNP
워싱턴	워싱턴/NNP
중심가에	중심가/NNG+에/JKB
자리	자리/NNG
잡은	잡/VV+은/ETM
컨벤션센터에는	컨벤션/NNG+센터/NNG+에/JKB+는/JX
이른	이르/VA+ㄴ/ETM
아침부터	아침/NNG+부터/JX
많은	많/VA+은/ETM
유대인들로	유대인/NNP+들/XSN+로/JKB
북적였다.	북적이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.71.2.2
미국에 사는 친이스라엘 유대인들의 로비단체인 ‘미국·이스라엘 공공정책위원회(AIPAC)’가 주최하는 연례총회에 참석하기 위해 미 전역에서 1만4000여 명이 모였다.

미국에	미국/NNP+에/JKB
사는	살/VV+는/ETM
친이스라엘	친/XPN+이스라엘/NNP
유대인들의	유대인/NNP+들/XSN+의/JKG
로비단체인	로비/NNG+단체/NNG+이/VCP+ㄴ/ETM
‘미국·이스라엘	‘/SS+미국/NNP+·/SP+이스라엘/NNP
공공정책위원회(AIPAC)’가	공공/NNG+정책/NNG+위원회/NNG+(/SS+AIPAC/SL+)/SS+’/SS+가/JKS
주최하는	주최/NNG+하/XSV+는/ETM
연례총회에	연례/NNG+총회/NNG+에/JKB
참석하기	참석/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
미	미/NNP
전역에서	전역/NNG+에서/JKB
1만4000여	1/SN+만/NR+4000/SN+여/XSN
명이	명/NNB+이/JKS
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.71.2.3
참석자의 99%가 유대인이다.

참석자의	참석자/NNG+의/JKG
99%가	99/SN+%/SW+가/JKS
유대인이다.	유대인/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000033.71.2.4
AIPAC는 미국에서 가장 강력한 로비단체이며 자생적인 풀뿌리조직이다.

AIPAC는	AIPAC/SL+는/JX
미국에서	미국/NNP+에서/JKB
가장	가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
로비단체이며	로비/NNG+단체/NNG+이/VCP+며/EC
자생적인	자생/NNG+적/XSN+이/VCP+ㄴ/ETM
풀뿌리조직이다.	풀뿌리/NNG+조직/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.71.2.5
매년 이맘때 워싱턴 컨벤션센터를 달구는 유대인들의 뜨거운 결집력은 올해도 변함없었다.

매년	매년/MAG
이맘때	이맘때/NNG
워싱턴	워싱턴/NNP
컨벤션센터를	컨벤션/NNG+센터/NNG+를/JKO
달구는	달구/VV+는/ETM
유대인들의	유대인/NNP+들/XSN+의/JKG
뜨거운	뜨겁/VA+ㄴ/ETM
결집력은	결집력/NNG+은/JX
올해도	올해/NNG+도/JX
변함없었다.	변함없/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.71.3.1
6일까지 열리는 올해 53회 AIPAC는 전통적으로 참여해온 미국 대통령과 이스라엘 총리 외에 두 사람이 추가됐다.

6일까지	6/SN+일/NNB+까지/JX
열리는	열리/VV+는/ETM
올해	올해/NNG
53회	53/SN+회/NNB
AIPAC는	AIPAC/SL+는/JX
전통적으로	전통/NNG+적/XSN+으로/JKB
참여해온	참여/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
미국	미국/NNP
대통령과	대통령/NNG+과/JC
이스라엘	이스라엘/NNP
총리	총리/NNG
외에	외/NNB+에/JKB
두	두/MMN
사람이	사람/NNG+이/JKS
추가됐다.	추가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.71.3.2
리언 패네타 미 국방장관과 시몬 페레스 이스라엘 대통령이다.

리언	리언/NNP
패네타	패네타/NNP
미	미/NNP
국방장관과	국방/NNG+장관/NNG+과/JC
시몬	시몬/NNP
페레스	페레스/NNP
이스라엘	이스라엘/NNP
대통령이다.	대통령/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.71.3.3
이란 핵 개발에 맞서 이스라엘의 이란 공격설로 중동지역에 팽팽한 긴장감이 고조되는 상황에서 11월 대선을 앞둔 버락 오바마 대통령으로서는 미국 정계에 막강한 영향력을 행사하는 유대계 여론을 무시할 수 없는 상황이다.

이란	이란/NNP
핵	핵/NNG
개발에	개발/NNG+에/JKB
맞서	맞서/VV+어/EC
이스라엘의	이스라엘/NNP+의/JKG
공격설로	공격설/NNG+로/JKB
중동지역에	중동/NNP+지역/NNG+에/JKB
팽팽한	팽팽하/VA+ㄴ/ETM
긴장감이	긴장감/NNG+이/JKS
고조되는	고조/NNG+되/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
11월	11/SN+월/NNB
대선을	대선/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
버락	버락/NNP
오바마	오바마/NNP
대통령으로서는	대통령/NNG+으로서/JKB+는/JX
미국	미국/NNP
정계에	정계/NNG+에/JKB
막강한	막강/NNG+하/XSA+ㄴ/ETM
영향력을	영향력/NNG+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
유대계	유대/NNP+계/XSN
여론을	여론/NNG+을/JKO
무시할	무시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.71.4.1
이날 오전 10시 45분 오바마 대통령이 행사장에 입장한 가운데 먼저 연설한 페레스 대통령은 이란에 대한 군사공격 가능성을 거듭 강조했다.

이날	이날/NNG
오전	오전/NNG
10시	10/SN+시/NNB
45분	45/SN+분/NNB
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
행사장에	행사장/NNG+에/JKB
입장한	입장/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
먼저	먼저/MAG
연설한	연설/NNG+하/XSV+ㄴ/ETM
페레스	페레스/NNP
대통령은	대통령/NNG+은/JX
