# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.104
metadata : {}


# id : NWRW1800000041.104.1.1
㈜씨크릿우먼, 업계 최초 ‘헤어패션’ 굿 디자인 어워드 수상

㈜씨크릿우먼,	㈜/SW+씨크릿우먼/NNP+,/SP
업계	업계/NNG
최초	최초/NNG
‘헤어패션’	‘/SS+헤어패션/NNG+’/SS
굿	굿/NNG
디자인	디자인/NNG
어워드	어워드/NNG
수상	수상/NNG


# id : NWRW1800000041.104.2.1
[기업&CEO]

[기업&CEO]	[/SS+기업/NNG+&/SW+CEO/SL+]/SS


# id : NWRW1800000041.104.3.1
김영휴 대표㈜씨크릿우먼(대표 김영휴·www.secretwoman.co.kr)은 산업통상자원부가 주최하고 디자인진흥원이 주관하는 ‘2014년 굿 디자인 어워드’에서 업계 최초로 디자인을 인정받았다.

김영휴	김영휴/NNP
대표㈜씨크릿우먼(대표	대표/NNG+㈜/SW+씨크릿우먼/NNP+(/SS+대표/NNG
김영휴·www.secretwoman.co.kr)은	김영휴/NNP+·/SP+www/SL+./SP+secretwoman/SL+./SP+co/SL+./SP+kr/SL+)/SS+은/JX
산업통상자원부가	산업/NNG+통상/NNG+자원부/NNG+가/JKS
주최하고	주최/NNG+하/XSV+고/EC
디자인진흥원이	디자인/NNG+진흥원/NNG+이/JKS
주관하는	주관/NNG+하/XSV+는/ETM
‘2014년	‘/SS+2014/SN+년/NNB
굿	굿/NNG
디자인	디자인/NNG
어워드’에서	어워드/NNG+’/SS+에서/JKB
업계	업계/NNG
최초로	최초/NNG+로/JKB
디자인을	디자인/NNG+을/JKO
인정받았다.	인정/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.104.4.1
씨크릿우먼의 김영휴 대표는 “헤어웨어가 가발과 차별화된 디자인 콘셉트로 인정받기가 무척 힘들었다”고 말했다.

씨크릿우먼의	씨크릿우먼/NNP+의/JKG
김영휴	김영휴/NNP
대표는	대표/NNG+는/JX
“헤어웨어가	“/SS+헤어웨어/NNG+가/JKS
가발과	가발/NNG+과/JC
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
디자인	디자인/NNG
콘셉트로	콘셉트/NNG+로/JKB
인정받기가	인정/NNG+받/XSV+기/ETN+가/JKS
무척	무척/MAG
힘들었다”고	힘들/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.104.4.2
헤어웨어는 일종의 미래패션이다.

헤어웨어는	헤어웨어/NNG+는/JX
