# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.21
metadata : {}


# id : NWRW1800000026.21.1.1
[기숙학원에서 합격을 꿈꾼다] 용인종로학원;3스텝(수업-자율학습-질문) 전략… 스스로 공부하는 힘 길러

[기숙학원에서	[/SS+기숙/NNG+학원/NNG+에서/JKB
합격을	합격/NNG+을/JKO
꿈꾼다]	꿈꾸/VV+ㄴ다/EF+]/SS
용인종로학원;3스텝(수업-자율학습-질문)	용인종로학원/NNP+;/SP+3/SN+스텝/NNG+(/SS+수업/NNG+-/SO+자율/NNG+학습/NNG+-/SO+질문/NNG+)/SS
전략…	전략/NNG+…/SE
스스로	스스로/MAG
공부하는	공부/NNG+하/XSV+는/ETM
힘	힘/NNG
길러	기르/VV+어/EF


# id : NWRW1800000026.21.2.1
종로학원 용인캠퍼스는 45년 전통의 입시명문 종로학원이 만든 기숙학원이다.

종로학원	종로학원/NNP
용인캠퍼스는	용인/NNP+캠퍼스/NNG+는/JX
45년	45/SN+년/NNB
전통의	전통/NNG+의/JKG
입시명문	입시/NNG+명문/NNG
종로학원이	종로학원/NNP+이/JKS
만든	만들/VV+ㄴ/ETM
기숙학원이다.	기숙/NNG+학원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.21.2.2
용인시 양지면에 위치하고 있으며, 영동고속도로 용인IC와 양지IC에서 각각 5~10분 안에 도착할 수 있다.

용인시	용인시/NNP
양지면에	양지면/NNP+에/JKB
위치하고	위치/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
영동고속도로	영동고속도로/NNP
용인IC와	용인IC/NNP+와/JC
양지IC에서	양지IC/NNP+에서/JKB
각각	각각/MAG
5~10분	5/SN+~/SO+10/SN+분/NNB
안에	안/NNG+에/JKB
도착할	도착/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VV+다/EF+./SF


# id : NWRW1800000026.21.3.1
정규반은 2월 6일(1차), 2월 16일(2차)에 개강한다.

정규반은	정규반/NNG+은/JX
2월	2/SN+월/NNB
6일(1차),	6/SN+일/NNB+(/SS+1/SN+차/NNB+)/SS+,/SP
16일(2차)에	16/SN+일/NNB+(/SS+2/SN+차/NNB+)/SS+에/JKB
개강한다.	개강/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.21.3.2
대입 수능성적 우수자를 위한 장학제도가 있으며, 그 외 내신우수장학 및 농어촌 전형자 입학 장학도 있다.

대입	대입/NNG
수능성적	수능/NNG+성적/NNG
우수자를	우수자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
장학제도가	장학/NNG+제도/NNG+가/JKS
있으며,	있/VA+으며/EC+,/SP
그	그/MMD
외	외/NNB
내신우수장학	내신/NNG+우수/NNG+장학/NNG
및	및/MAG
농어촌	농어촌/NNG
전형자	전형자/NNG
입학	입학/NNG
장학도	장학/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.21.3.3
성적 확인 및 면담과정을 거쳐 입학이 확정된다.

성적	성적/NNG
확인	확인/NNG
및	및/MAG
면담과정을	면담/NNG+과정/NNG+을/JKO
거쳐	거치/VV+어/EC
입학이	입학/NNG+이/JKS
확정된다.	확정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.21.4.1
정규 학습 과정은 45년 전통의 종로 프로그램을 모두 활용해 타 기숙학원과는 차별화된 수능 대비가 이뤄진다.

정규	정규/NNG
학습	학습/NNG
과정은	과정/NNG+은/JX
45년	45/SN+년/NNB
전통의	전통/NNG+의/JKG
종로	종로/NNP
프로그램을	프로그램/NNG+을/JKO
모두	모두/MAG
활용해	활용/NNG+하/XSV+아/EC
타	타/MMD
기숙학원과는	기숙/NNG+학원/NNG+과/JKB+는/JX
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
수능	수능/NNG
대비가	대비/NNG+가/JKS
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.21.4.2
모의고사 출제기관인 종로학평에서 매달 실시하는 모의고사를 통해 과학적으로 성적을 관리를 하며, 교재도 종로학원 교재를 사용한다.

모의고사	모의고사/NNG
출제기관인	출제/NNG+기관/NNG+이/VCP+ㄴ/ETM
종로학평에서	종로학평/NNP+에서/JKB
매달	매달/MAG
실시하는	실시/NNG+하/XSV+는/ETM
모의고사를	모의고사/NNG+를/JKO
통해	통하/VV+아/EC
과학적으로	과학/NNG+적/XSN+으로/JKB
성적을	성적/NNG+을/JKO
관리를	관리/NNG+를/JKO
하며,	하/VV+며/EC+,/SP
교재도	교재/NNG+도/JX
종로학원	종로학원/NNP
교재를	교재/NNG+를/JKO
사용한다.	사용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.21.4.3
주 2회(화, 목) 아침에 종로 핵심 체크고사를 실시한다.

주	주/NNG
2회(화,	2/SN+회/NNB+(/SS+화/NNG+,/SP
목)	목/NNG+)/SS
아침에	아침/NNG+에/JKB
종로	종로/NNP
핵심	핵심/NNG
체크고사를	체크/NNG+고사/NNG+를/JKO
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.21.4.4
수업과 자율학습 그리고 테마수업 등의 과정이 3학기 동안 반복되는 중장기적인 학습프로그램을 운영하고 있다.

수업과	수업/NNG+과/JC
자율학습	자율/NNG+학습/NNG
그리고	그리고/MAJ
테마수업	테마/NNG+수업/NNG
등의	등/NNB+의/JKG
과정이	과정/NNG+이/JKS
3학기	3/SN+학기/NNG
동안	동안/NNG
반복되는	반복/NNG+되/XSV+는/ETM
중장기적인	중장기/NNG+적/XSN+이/VCP+ㄴ/ETM
학습프로그램을	학습/NNG+프로그램/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.21.4.5
또한 정원이 늘고 있는 수시전형을 대비하기 위해 일주일에 2시간씩 논술수업을 문과, 이과로 나눠 따로 진행한다.

또한	또한/MAG
정원이	정원/NNG+이/JKS
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
수시전형을	수시/NNG+전형/NNG+을/JKO
대비하기	대비/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
일주일에	일주일/NNG+에/JKB
2시간씩	2/SN+시간/NNB+씩/XSN
논술수업을	논술/NNG+수업/NNG+을/JKO
문과,	문과/NNG+,/SP
이과로	이과/NNG+로/JKB
나눠	나누/VV+어/EC
따로	따로/MAG
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.21.4.6
종로 논술연구소에서 주관하는 논술모의고사도 분기별로 실시한다.

종로	종로/NNP
논술연구소에서	논술/NNG+연구소/NNG+에서/JKB
주관하는	주관/NNG+하/XSV+는/ETM
논술모의고사도	논술/NNG+모의고사/NNG+도/JX
분기별로	분기/NNG+별/XSN+로/JKB
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.21.4.7
더불어 학원 재원생에게 2학기 수시지원 및 정시지원 정보를 종로 e-class 인터넷 배치프로그램을 통해 제공하며, 진학상담도 실시한다.

더불어	더불/VV+어/EC
학원	학원/NNG
재원생에게	재원/NNG+생/XSN+에게/JKB
2학기	2/SN+학기/NNG
수시지원	수시/NNG+지원/NNG
및	및/MAG
정시지원	정시/NNG+지원/NNG
정보를	정보/NNG+를/JKO
종로	종로/NNP
e-class	e/SL+-/SO+class/SL
인터넷	인터넷/NNG
배치프로그램을	배치/NNG+프로그램/NNG+을/JKO
통해	통하/VV+아/EC
제공하며,	제공/NNG+하/XSV+며/EC+,/SP
진학상담도	진학/NNG+상담/NNG+도/JX
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.21.5.1
원장(김홍철)및 이사진 모두 강사출신으로 무엇보다도 '면학 분위기 조성'을 차별화 전략으로 내세우고 있다.

원장(김홍철)및	원장/NNG+(/SS+김홍철/NNP+)/SS+및/MAG
이사진	이사진/NNG
모두	모두/MAG
강사출신으로	강사/NNG+출신/NNG+으로/JKB
무엇보다도	무엇/NP+보다/JKB+도/JX
'면학	'/SS+면학/NNG
분위기	분위기/NNG
조성'을	조성/NNG+'/SS+을/JKO
차별화	차별/NNG+화/XSN
전략으로	전략/NNG+으로/JKB
내세우고	내세우/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.21.5.2
'수업-자율학습-질문'이라는 3스텝 전략 중심으로 자기주도적 학습 습관이 형성되도록 학생상담 및 멘토링까지 실시한다.

'수업-자율학습-질문'이라는	'/SS+수업/NNG+-/SO+자율/NNG+학습/NNG+-/SO+질문/NNG+'/SS+이/VCP+라는/ETM
3스텝	3/SN+스텝/NNG
전략	전략/NNG
중심으로	중심/NNG+으로/JKB
자기주도적	자기/NNG+주도/NNG+적/XSN
학습	학습/NNG
습관이	습관/NNG+이/JKS
형성되도록	형성/NNG+되/XSV+도록/EC
학생상담	학생/NNG+상담/NNG
및	및/MAG
멘토링까지	멘토링/NNG+까지/JX
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.21.5.3
독서실은 지정석에서 공부할 수 있도록 1인1석으로 운영한다.

독서실은	독서실/NNG+은/JX
지정석에서	지정석/NNG+에서/JKB
공부할	공부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
1인1석으로	1/SN+인/NNG+1/SN+석/NNB+으로/JKB
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.21.5.4
