# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.258
metadata : {}


# id : NWRW1800000021.258.1.1
[교육리딩기업이 뛴다]두산동아 “역시 두산…” 부동의 교과서 1위

[교육리딩기업이	[/SS+교육/NNG+리딩/NNG+기업/NNG+이/JKS
뛴다]두산동아	뛰/VV+ㄴ다/EF+]/SS+두산동아/NNP
“역시	“/SS+역시/MAG
두산…”	두산/NNP+…/SE+”/SS
부동의	부동/NNG+의/JKG
교과서	교과서/NNG
1위	1/SN+위/NNB


# id : NWRW1800000021.258.2.1
‘동아전과.’

‘동아전과.’	‘/SS+동아전과/NNP+./SF+’/SS


# id : NWRW1800000021.258.3.1
초등학교 학습참고서를 일컫는 ‘보통명사’가 되어버릴 만큼 무려 56년간 베스트셀러의 자리를 지켜온 동아전과.

초등학교	초등학교/NNG
학습참고서를	학습/NNG+참고서/NNG+를/JKO
일컫는	일컫/VV+는/ETM
‘보통명사’가	‘/SS+보통/NNG+명사/NNG+’/SS+가/JKC
되어버릴	되/VV+어/EC+버리/VX+ㄹ/ETM
만큼	만큼/NNB
무려	무려/MAG
56년간	56/SN+년/NNB+간/XSN
베스트셀러의	베스트셀러/NNG+의/JKG
자리를	자리/NNG+를/JKO
지켜온	지키/VV+어/EC+오/VX+ㄴ/ETM
동아전과.	동아전과/NNP+./SF


# id : NWRW1800000021.258.3.2
이 짧고 강력한 브랜드 속엔 ‘교육출판’ 외길을 걸어온 두산동아의 교육철학과 경영철학이 녹아있다.

이	이/MMD
짧고	짧/VA+고/EC
강력한	강력/NNG+하/XSA+ㄴ/ETM
브랜드	브랜드/NNG
속엔	속/NNG+에/JKB+ㄴ/JX
‘교육출판’	‘/SS+교육/NNG+출판/NNG+’/SS
외길을	외길/NNG+을/JKO
걸어온	걸어오/VV+ㄴ/ETM
두산동아의	두산동아/NNP+의/JKG
교육철학과	교육/NNG+철학/NNG+과/JC
경영철학이	경영/NNG+철학/NNG+이/JKS
녹아있다.	녹/VV+아/EC+있/VX+다/EF+./SF


# id : NWRW1800000021.258.3.3
두산동아는 1945년 설립과 함께 ‘교육의 미래를 생각한다’라는 슬로건 아래 유아에서부터 초중고생, 성인에 이르기까지 모든 세대를 아우르는 도서 개발에 역량을 집중해왔다.

두산동아는	두산동아/NNP+는/JX
1945년	1945/SN+년/NNB
설립과	설립/NNG+과/JKB
함께	함께/MAG
‘교육의	‘/SS+교육/NNG+의/JKG
미래를	미래/NNG+를/JKO
생각한다’라는	생각/NNG+하/XSV+ㄴ다/EF+’/SS+이/VCP+라는/ETM
슬로건	슬로건/NNG
아래	아래/NNG
유아에서부터	유아/NNG+에서부터/JKB
초중고생,	초중고/NNG+생/XSN+,/SP
성인에	성인/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
모든	모든/MMN
세대를	세대/NNG+를/JKO
아우르는	아우르/VV+는/ETM
도서	도서/NNG
개발에	개발/NNG+에/JKB
역량을	역량/NNG+을/JKO
집중해왔다.	집중/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.258.4.1
특히 초등교재 출판과 교과서 분야에서 선두를 달리고 있는 두산동아는 국가의 미래 동력을 키워낸다는 마음가짐으로 중·고등학교 교과서 품질을 높이는데 온 힘을 쏟고 있다.

특히	특히/MAG
초등교재	초등/NNG+교재/NNG
출판과	출판/NNG+과/JC
교과서	교과서/NNG
분야에서	분야/NNG+에서/JKB
선두를	선두/NNG+를/JKO
달리고	달리/VV+고/EC
있는	있/VX+는/ETM
두산동아는	두산동아/NNP+는/JX
국가의	국가/NNG+의/JKG
미래	미래/NNG
동력을	동력/NNG+을/JKO
키워낸다는	키우/VV+어/EC+내/VX+ㄴ다는/ETM
마음가짐으로	마음가짐/NNG+으로/JKB
중·고등학교	중·고등학교/NNG
품질을	품질/NNG+을/JKO
높이는데	높이/VV+는데/EC
온	온/MMN
힘을	힘/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.258.5.1
○ 좋은 책 만들기 60년

○	○/SW
좋은	좋/VA+은/ETM
책	책/NNG
만들기	만들/VV+기/ETN
60년	60/SN+년/NNB


# id : NWRW1800000021.258.6.1
두산동아는 설립 초기부터 모든 교육의 출발점이랄 수 있는 초등교육에 주목했다.

두산동아는	두산동아/NNP+는/JX
설립	설립/NNG
초기부터	초기/NNG+부터/JX
모든	모든/MMN
교육의	교육/NNG+의/JKG
출발점이랄	출발점/NNG+이/VCP+랄/ETM
수	수/NNB
있는	있/VA+는/ETM
초등교육에	초등/NNG+교육/NNG+에/JKB
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.258.6.2
‘동아전과’, ‘백점맞는 시리즈’, ‘큐브수학’ 등은 초등학생들의 고민과 요구를 반영한 ‘불멸의 히트작’으로 통한다.

‘동아전과’,	‘/SS+동아전과/NNP+’/SS+,/SP
‘백점맞는	‘/SS+백/NR+점/NNB+맞/VV+는/ETM
시리즈’,	시리즈/NNG+’/SS+,/SP
‘큐브수학’	‘/SS+큐브수학/NNP+’/SS
등은	등/NNB+은/JX
초등학생들의	초등학생/NNG+들/XSN+의/JKG
고민과	고민/NNG+과/JC
요구를	요구/NNG+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
‘불멸의	‘/SS+불멸/NNG+의/JKG
히트작’으로	히트작/NNG+’/SS+으로/JKB
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.258.6.3
국내에서 가장 많이 팔린 초등학습 참고서인 동아전과는 1953년 첫 출간된 뒤 지금껏 국내 초등학생들의 학습 길잡이 역할을 해오고 있다.

국내에서	국내/NNG+에서/JKB
가장	가장/MAG
많이	많이/MAG
