# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.122
metadata : {}


# id : NWRW1800000028.122.1.1
“리움 관장님, 꼭 보러오세요”

“리움	“/SS+리움/NNP
관장님,	관장/NNG+님/XSN+,/SP
꼭	꼭/MAG
보러오세요”	보/VV+러/EC+오/VV+시/EP+어요/EF+”/SS


# id : NWRW1800000028.122.2.1
국내 최고의 사설 미술관인 서울 한남동 삼성미술관 리움이 뜻밖의 호적수(?)를 만나게 됐다.

국내	국내/NNG
최고의	최고/NNG+의/JKG
사설	사설/NNG
미술관인	미술관/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
한남동	한남동/NNP
삼성미술관	삼성미술관/NNP
리움이	리움/NNP+이/JKS
뜻밖의	뜻밖/NNG+의/JKG
호적수(?)를	호적수/NNG+(/SS+?/SF+)/SS+를/JKO
만나게	만나/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.122.3.1
‘리움의 언덕’이라는 미술관 아래 한남동 주택가 비탈길 옆에, “리움과 정면대결해보겠다”는 젊은 작가들의 도발적인 난장 공간이 최근 생겼다.

‘리움의	‘/SS+리움/NNP+의/JKG
언덕’이라는	언덕/NNG+’/SS+이/VCP+라는/ETM
미술관	미술관/NNG
아래	아래/NNG
한남동	한남동/NNP
주택가	주택가/NNG
비탈길	비탈길/NNG
옆에,	옆/NNG+에/JKB+,/SP
“리움과	“/SS+리움/NNP+과/JKB
정면대결해보겠다”는	정면/NNG+대결/NNG+하/XSV+아/EC+보/VX+겠/EP+다/EF+”/SS+는/ETM
젊은	젊/VA+은/ETM
작가들의	작가/NNG+들/XSN+의/JKG
도발적인	도발/NNG+적/XSN+이/VCP+ㄴ/ETM
난장	난장/NNG
공간이	공간/NNG+이/JKS
최근	최근/NNG
생겼다.	생기/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.122.3.2
16일 개막 행사를 하는 이 공간의 정식 이름은 ‘스페이스 꿀’.

16일	16/SN+일/NNB
개막	개막/NNG
행사를	행사/NNG+를/JKO
하는	하/VV+는/ETM
이	이/MMD
공간의	공간/NNG+의/JKG
정식	정식/NNG
이름은	이름/NNG+은/JX
‘스페이스	‘/SS+스페이스/NNG
꿀’.	꿀/NNG+’/SS+./SF


# id : NWRW1800000028.122.3.3
‘주인장’은 1998~2008년 서울 대학로에서 살 바를 운영했던 유명 작가·디자이너·기획자 최정화(49)씨다.

‘주인장’은	‘/SS+주인장/NNG+’/SS+은/JX
1998~2008년	1998/SN+~/SO+2008/SN+년/NNB
서울	서울/NNP
대학로에서	대학로/NNP+에서/JKB
살	살/NNP
바를	바/NNG+를/JKO
운영했던	운영/NNG+하/XSV+았/EP+던/ETM
유명	유명/NNG
작가·디자이너·기획자	작가/NNG+·/SP+디자이너/NNG+·/SP+기획자/NNG
최정화(49)씨다.	최정화/NNP+(/SS+49/SN+)/SS+씨/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.122.4.1
‘꿀’은 최씨가 진보적 대안공간 풀과 미술, 춤, 대중문화판 등의 야성 넘치는 작가들과 뭉쳐 만들었다.

‘꿀’은	‘/SS+꿀/NNP+’/SS+은/JX
최씨가	최/NNP+씨/NNB+가/JKS
진보적	진보/NNG+적/XSN
대안공간	대안/NNG+공간/NNG
풀과	풀/NNG+과/JC
미술,	미술/NNG+,/SP
춤,	춤/NNG+,/SP
대중문화판	대중문화/NNG+판/NNG
등의	등/NNB+의/JKG
야성	야성/NNG
넘치는	넘치/VV+는/ETM
작가들과	작가/NNG+들/XSN+과/JKB
뭉쳐	뭉치/VV+어/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.122.4.2
두달간 함께 내부 디자인을 짜고 ‘뚝딱’ 공사를 벌였다.

두달간	두/MMN+달/NNB+간/XSN
함께	함께/MAG
내부	내부/NNG
디자인을	디자인/NNG+을/JKO
짜고	짜/VV+고/EC
‘뚝딱’	‘/SS+뚝딱/MAG+’/SS
공사를	공사/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.122.5.1
찬 바람 휭휭 부는 지난 13일 저녁 찾아간 ‘꿀’의 겉모습은 2층짜리 허름한 슬래브 집.

찬	차/VA+ㄴ/ETM
바람	바람/NNG
휭휭	휭휭/MAG
부는	불/VV+는/ETM
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
저녁	저녁/NNG
찾아간	찾아가/VV+ㄴ/ETM
‘꿀’의	‘/SS+꿀/NNP+’/SS+의/JKG
겉모습은	겉모습/NNG+은/JX
2층짜리	2/SN+층/NNG+짜리/XSN
허름한	허름하/VA+ㄴ/ETM
슬래브	슬래브/NNG
집.	집/NNG+./SF


# id : NWRW1800000028.122.5.2
30여년간 중국음식점, 쌀집, 꽃집 등으로 쓰였다.

30여년간	30/SN+여/XSN+년/NNB+간/XSN
중국음식점,	중국/NNP+음식점/NNG+,/SP
쌀집,	쌀집/NNG+,/SP
꽃집	꽃집/NNG
등으로	등/NNB+으로/JKB
쓰였다.	쓰이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.122.5.3
깊이 들어갈수록 쪽방들이 곳곳에 꼬깃꼬깃 들어차 내부 넓이는 200평이 넘는다.

깊이	깊이/MAG
들어갈수록	들어가/VV+ㄹ수록/EC
쪽방들이	쪽방/NNG+들/XSN+이/JKS
곳곳에	곳곳/NNG+에/JKB
꼬깃꼬깃	꼬깃꼬깃/MAG
들어차	들어차/VV+아/EC
내부	내부/NNG
넓이는	넓이/NNG+는/JX
200평이	200/SN+평/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000028.122.5.4
‘꽃당’ ‘한남동 쌀가게’라는 뜯다 만 간판에, 벽과 천장 곳곳에 아이들 낙서들이 가득한 방들이 전시장, 스튜디오, 카페가 된다.

‘꽃당’	‘/SS+꽃당/NNP+’/SS
‘한남동	‘/SS+한남동/NNP
쌀가게’라는	쌀가게/NNG+’/SS+이/VCP+라는/ETM
뜯다	뜯/VV+다/EC
만	말/VX+ㄴ/ETM
간판에,	간판/NNG+에/JKB+,/SP
벽과	벽/NNG+과/JC
천장	천장/NNG
곳곳에	곳곳/NNG+에/JKB
아이들	아이/NNG+들/XSN
낙서들이	낙서/NNG+들/XSN+이/JKS
가득한	가득/MAG+하/XSA+ㄴ/ETM
방들이	방/NNG+들/XSN+이/JKS
