# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.287
metadata : {}


# id : NWRW1800000032.287.1.1
‘서울학생인권조례’ 시의회 통과

‘서울학생인권조례’	‘/SS+서울/NNP+학생/NNG+인권/NNG+조례/NNG+’/SS
시의회	시/NNG+의회/NNG
통과	통과/NNG


# id : NWRW1800000032.287.2.1
전국 3번째…‘집회 자유’ 첫 포함

전국	전국/NNG
3번째…‘집회	3/SN+번/NNB+째/XSN+…/SE+‘/SS+집회/NNG
자유’	자유/NNG+’/SS
첫	첫/MMN
포함	포함/NNG


# id : NWRW1800000032.287.3.1
‘성적 지향 차별금지’ 원안 그대로

‘성적	‘/SS+성/NNG+적/XSN
지향	지향/NNG
차별금지’	차별/NNG+금지/NNG+’/SS
원안	원안/NNG
그대로	그대로/MAG


# id : NWRW1800000032.287.4.1
집회의 자유 보장, 성적 지향에 따른 차별 금지 등의 내용을 담은 서울학생인권조례안이 19일 서울시의회를 통과했다.

집회의	집회/NNG+의/JKG
자유	자유/NNG
보장,	보장/NNG+,/SP
성적	성/NNG+적/XSN
지향에	지향/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
차별	차별/NNG
금지	금지/NNG
등의	등/NNB+의/JKG
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
서울학생인권조례안이	서울/NNP+학생/NNG+인권/NNG+조례안/NNG+이/JKS
19일	19/SN+일/NNB
서울시의회를	서울시의회/NNP+를/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.287.5.1
서울시의회는 19일 오후 본회의를 열어 찬성 54표, 반대 29표, 기권 4표(재석 의원 87명)로 서울학생인권조례안을 통과시켰다.

서울시의회는	서울시의회/NNP+는/JX
19일	19/SN+일/NNB
오후	오후/NNG
본회의를	본회의/NNG+를/JKO
열어	열/VV+어/EC
찬성	찬성/NNG
54표,	54/SN+표/NNG+,/SP
반대	반대/NNG
29표,	29/SN+표/NNG+,/SP
기권	기권/NNG
4표(재석	4/SN+표/NNG+(/SS+재석/NNG
의원	의원/NNG
87명)로	87/SN+명/NNB+)/SS+로/JKB
서울학생인권조례안을	서울/NNP+학생/NNG+인권/NNG+조례안/NNG+을/JKO
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.287.5.2
전국 16개 시·도 가운데 경기, 광주에 이어 세번째다.

전국	전국/NNG
16개	16/SN+개/NNB
시·도	시/NNG+·/SP+도/NNG
가운데	가운데/NNG
경기,	경기/NNP+,/SP
광주에	광주/NNP+에/JKB
이어	잇/VV+어/EC
세번째다.	세/MMN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000032.287.5.3
서울시민 9만7000여명이 서명한 서울학생인권조례 주민발의안을 일부 수정해 이날 본회의에 제출된 수정동의안에는 전국 최초로 ‘학생은 집회의 자유를 가진다’는 내용이 포함됐다.

서울시민	서울/NNP+시민/NNG
9만7000여명이	9/SN+만/NR+7000/SN+여/XSN+명/NNB+이/JKS
서명한	서명/NNG+하/XSV+ㄴ/ETM
서울학생인권조례	서울/NNP+학생/NNG+인권/NNG+조례/NNG
주민발의안을	주민/NNG+발의안/NNG+을/JKO
일부	일부/NNG
수정해	수정/NNG+하/XSV+아/EC
이날	이날/NNG
본회의에	본회의/NNG+에/JKB
제출된	제출/NNG+되/XSV+ㄴ/ETM
수정동의안에는	수정/NNG+동의안/NNG+에/JKB+는/JX
전국	전국/NNG
최초로	최초/NNG+로/JKB
‘학생은	‘/SS+학생/NNG+은/JX
집회의	집회/NNG+의/JKG
자유를	자유/NNG+를/JKO
가진다’는	가지/VV+ㄴ다/EF+’/SS+는/ETM
내용이	내용/NNG+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.287.5.4
또 그동안 보수단체들이 반대해 논란이 됐던 ‘차별받지 않을 권리’가 주민발의안의 ‘학생은 …<중략>… 임신 또는 출산, 성적 지향, 성별 정체성 등을 이유로 차별받지 않을 권리를 가진다’는 조항 그대로 포함됐다.

또	또/MAG
그동안	그동안/NNG
보수단체들이	보수/NNG+단체/NNG+들/XSN+이/JKS
반대해	반대/NNG+하/XSV+아/EC
논란이	논란/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
‘차별받지	‘/SS+차별/NNG+받/XSV+지/EC
않을	않/VX+을/ETM
권리’가	권리/NNG+’/SS+가/JKS
주민발의안의	주민/NNG+발의안/NNG+의/JKG
‘학생은	‘/SS+학생/NNG+은/JX
…<중략>…	…/SE+</SS+중략/NNG+>/SS+…/SE
임신	임신/NNG
또는	또는/MAG
출산,	출산/NNG+,/SP
성적	성/NNG+적/XSN
지향,	지향/NNG+,/SP
성별	성별/NNG
정체성	정체/NNG+성/XSN
등을	등/NNB+을/JKO
이유로	이유/NNG+로/JKB
차별받지	차별/NNG+받/XSV+지/EC
권리를	권리/NNG+를/JKO
가진다’는	가지/VV+ㄴ다/EF+’/SS+는/ETM
조항	조항/NNG
그대로	그대로/MAG
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.287.5.5
학교 규칙으로도 두발을 규제할 수 없게 해 두발 자유화도 가능해졌다.

학교	학교/NNG
규칙으로도	규칙/NNG+으로/JKB+도/JX
두발을	두발/NNG+을/JKO
규제할	규제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
해	하/VX+아/EC
두발	두발/NNG
자유화도	자유/NNG+화/XSN+도/JX
가능해졌다.	가능/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.287.6.1
그러나 ‘복장에 대해서는 학교규칙으로 제한할 수 있다’, ‘학교규칙으로 학생의 전자기기(휴대전화) 사용 및 소지의 시간과 장소를 규제할 수 있다’, ‘학교 내의 집회에 대해서는 학교 규정으로 시간, 장소, 방법을 제한할 수 있다’ 등 일부 권리에 대해선 제한 규정을 뒀다.

그러나	그러나/MAJ
‘복장에	‘/SS+복장/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
학교규칙으로	학교/NNG+규칙/NNG+으로/JKB
제한할	제한/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다’,	있/VA+다/EF+’/SS+,/SP
‘학교규칙으로	‘/SS+학교/NNG+규칙/NNG+으로/JKB
