# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.158
metadata : {}


# id : NWRW1800000022.158.1.1
'경쟁' 대신 '여유' 선택한 포르투갈의 운명은…;관광객 의존하는 '유럽의 貧國' 전락 글로벌 금융위기에 국가경제 흔들려

'경쟁'	'/SS+경쟁/NNG+'/SS
대신	대신/NNG
'여유'	'/SS+여유/NNG+'/SS
선택한	선택/NNG+하/XSV+ㄴ/ETM
포르투갈의	포르투갈/NNP+의/JKG
운명은…;관광객	운명/NNG+은/JX+…/SE+;/SP+관광객/NNG
의존하는	의존/NNG+하/XSV+는/ETM
'유럽의	'/SS+유럽/NNP+의/JKG
貧國'	貧國/SH+'/SS
전락	전락/NNG
글로벌	글로벌/NNG
금융위기에	금융/NNG+위기/NNG+에/JKB
국가경제	국가/NNG+경제/NNG
흔들려	흔들리/VV+어/EF


# id : NWRW1800000022.158.2.1
포르투갈의 제2도시 포르투 도우루강 주변.

포르투갈의	포르투갈/NNP+의/JKG
제2도시	제/XPN+2/SN+도시/NNG
포르투	포르투/NNP
도우루강	도우루강/NNP
주변.	주변/NNG+./SF


# id : NWRW1800000022.158.2.2
대서양으로 향하는 관문으로 포르투갈이 자랑하는 천혜의 명승지다.

대서양으로	대서양/NNP+으로/JKB
향하는	향하/VV+는/ETM
관문으로	관문/NNG+으로/JKB
포르투갈이	포르투갈/NNP+이/JKS
자랑하는	자랑/NNG+하/XSV+는/ETM
천혜의	천혜/NNG+의/JKG
명승지다.	명승지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.158.2.3
섭씨 19도 기온에다 온화한 날씨는 관광하기 최적이었다.

섭씨	섭씨/NNG
19도	19/SN+도/NNB
기온에다	기온/NNG+에다/JKB
온화한	온화하/VA+ㄴ/ETM
날씨는	날씨/NNG+는/JX
관광하기	관광/NNG+하/XSV+기/ETN
최적이었다.	최적/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.158.2.4
예년 같으면 관광객들로 초만원을 이뤄야 할 광장에는 아이들이 축구공을 가지고 놀 정도로 한산했다.

예년	예년/NNG
같으면	같/VA+으면/EC
관광객들로	관광객/NNG+들/XSN+로/JKB
초만원을	초/XPN+만원/NNG+을/JKO
이뤄야	이루/VV+어야/EC
할	하/VX+ㄹ/ETM
광장에는	광장/NNG+에/JKB+는/JX
아이들이	아이/NNG+들/XSN+이/JKS
축구공을	축구공/NNG+을/JKO
가지고	가지/VV+고/EC
놀	놀/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
한산했다.	한산하/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.158.3.1
포르투는 도우루강 북쪽으로, 경관이 빼어나 수도 리스본과 더불어 연중 관광객이 몰리는 곳이다.

포르투는	포르투/NNP+는/JX
도우루강	도우루강/NNP
북쪽으로,	북쪽/NNG+으로/JKB+,/SP
경관이	경관/NNG+이/JKS
빼어나	빼어나/VA+아/EC
수도	수도/NNG
리스본과	리스본/NNP+과/JKB
더불어	더불/VV+어/EC
연중	연중/NNG
관광객이	관광객/NNG+이/JKS
몰리는	몰리/VV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.158.3.2
강을 중심으로 60도 경사진 이곳의 땅은 대서양 바람을 받아 비옥한 포도 산지를 형성했다.

강을	강/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
60도	60/SN+도/NNB
경사진	경사지/VV+ㄴ/ETM
이곳의	이곳/NP+의/JKG
땅은	땅/NNG+은/JX
대서양	대서양/NNP
바람을	바람/NNG+을/JKO
받아	받/VV+아/EC
비옥한	비옥/NNG+하/XSA+ㄴ/ETM
포도	포도/NNG
산지를	산지/NNG+를/JKO
형성했다.	형성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.158.3.3
도시 이름을 딴 '포트와인'이 유명해 유적지를 돌고 와인을 맛보려는 관광객이 몰렸던 곳이다.

도시	도시/NNG
이름을	이름/NNG+을/JKO
딴	따/VV+ㄴ/ETM
'포트와인'이	'/SS+포트와인/NNG+'/SS+이/JKS
유명해	유명/NNG+하/XSA+아/EC
유적지를	유적지/NNG+를/JKO
돌고	돌/VV+고/EC
와인을	와인/NNG+을/JKO
맛보려는	맛보/VV+려는/ETM
관광객이	관광객/NNG+이/JKS
몰렸던	몰리/VV+었/EP+던/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.158.4.1
지금 상황은 달랐다.

지금	지금/MAG
상황은	상황/NNG+은/JX
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.158.4.2
포르투 항구 주변 호텔은 관광객 감소로 울상을 짓고 있었고 강 상류로 와인투어를 나서야 할 배들은 정박해 있었다.

포르투	포르투/NNP
항구	항구/NNG
주변	주변/NNG
호텔은	호텔/NNG+은/JX
관광객	관광객/NNG
감소로	감소/NNG+로/JKB
울상을	울상/NNG+을/JKO
짓고	짓/VV+고/EC
있었고	있/VX+었/EP+고/EC
강	강/NNG
상류로	상류/NNG+로/JKB
와인투어를	와인/NNG+투어/NNG+를/JKO
나서야	나서/VV+어야/EC
할	하/VX+ㄹ/ETM
배들은	배/NNG+들/XSN+은/JX
정박해	정박/NNG+하/XSV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.158.4.3
100석이 넘어 보이는 노천 카페에도 관광객들이 몇 보이지 않았다.

100석이	100/SN+석/NNB+이/JKS
넘어	넘/VV+어/EC
보이는	보이/VV+는/ETM
노천	노천/NNG
카페에도	카페/NNG+에/JKB+도/JX
관광객들이	관광객/NNG+들/XSN+이/JKS
몇	몇/NR
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.158.4.4
주인 로베르토(54)는 "지난해 이때는 빈자리가 없었는데…"라고 했다.

주인	주인/NNG
로베르토(54)는	로베르토/NNP+(/SS+54/SN+)/SS+는/JX
"지난해	"/SS+지난해/NNG
이때는	이때/NNG+는/JX
빈자리가	빈자리/NNG+가/JKS
없었는데…"라고	없/VA+었/EP+는데/EC+…/SE+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.158.5.1
외국인 관광객을 더 유치하기 위해 새로 단장한 공항도 한산하기는 마찬가지였고 도시 대표 호텔인 이파네마 포르투 호텔도 빈방이 많아 예약하는 데 어려움이 없을 정도였다.

외국인	외국인/NNG
관광객을	관광객/NNG+을/JKO
더	더/MAG
유치하기	유치/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
새로	새로/MAG
단장한	단장/NNG+하/XSV+ㄴ/ETM
공항도	공항/NNG+도/JX
한산하기는	한산하/VA+기/ETN+는/JX
마찬가지였고	마찬가지/NNG+이/VCP+었/EP+고/EC
도시	도시/NNG
대표	대표/NNG
호텔인	호텔/NNG+이/VCP+ㄴ/ETM
이파네마	이파네마/NNP
포르투	포르투/NNP
호텔도	호텔/NNG+도/JX
빈방이	빈방/NNG+이/JKS
많아	많/VA+아/EC
예약하는	예약/NNG+하/XSV+는/ETM
데	데/NNB
어려움이	어려움/NNG+이/JKS
없을	없/VA+을/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.158.5.2
호텔 매니저는 "예년 같으면 상상하기 힘든 모습"이라고 했다.

호텔	호텔/NNG
매니저는	매니저/NNG+는/JX
"예년	"/SS+예년/NNG
같으면	같/VA+으면/EC
상상하기	상상/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
모습"이라고	모습/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.158.6.1
서유럽 남단에 위치한 포르투갈 역시 글로벌 금융위기의 심한 몸살을 앓고 있다.

서유럽	서유럽/NNP
남단에	남단/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
포르투갈	포르투갈/NNP
역시	역시/MAG
글로벌	글로벌/NNG
금융위기의	금융/NNG+위기/NNG+의/JKG
심한	심하/VA+ㄴ/ETM
몸살을	몸살/NNG+을/JKO
앓고	앓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.158.6.2
포르투갈 정부는 지난해 1346만명에 이르렀던 관광객이 20% 이상 감소할 것을 우려하고 있다.

포르투갈	포르투갈/NNP
정부는	정부/NNG+는/JX
지난해	지난해/NNG
