# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.190
metadata : {}


# id : NWRW1800000045.190.1.1
불 속 노모보다 개 먼저 구한 딸

불	불/NNG
속	속/NNG
노모보다	노모/NNG+보다/JKB
개	개/NNG
먼저	먼저/MAG
구한	구하/VV+ㄴ/ETM
딸	딸/NNG


# id : NWRW1800000045.190.2.1
30대 손자도 애완견 안고 먼저 탈출… 90세 할머니는 출동한 경찰이 구출

30대	30/SN+대/NNB
손자도	손자/NNG+도/JX
애완견	애완견/NNG
안고	안/VV+고/EC
먼저	먼저/MAG
탈출…	탈출/NNG+…/SE
90세	90/SN+세/NNB
할머니는	할머니/NNG+는/JX
출동한	출동/NNG+하/XSV+ㄴ/ETM
경찰이	경찰/NNG+이/JKS
구출	구출/NNG


# id : NWRW1800000045.190.3.1
검은 연기가 자욱한 빌라에서 A 씨(39)가 개 한 마리를 품에 안고 허겁지겁 밖으로 뛰쳐나왔다.

검은	검/VA+은/ETM
연기가	연기/NNG+가/JKS
자욱한	자욱하/VA+ㄴ/ETM
빌라에서	빌라/NNG+에서/JKB
A	A/SL
씨(39)가	씨/NNB+(/SS+39/SN+)/SS+가/JKS
개	개/NNG
한	한/MMN
마리를	마리/NNB+를/JKO
품에	품/NNG+에/JKB
안고	안/VV+고/EC
허겁지겁	허겁지겁/MAG
밖으로	밖/NNG+으로/JKB
뛰쳐나왔다.	뛰쳐나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.190.4.1
숨을 고른 A 씨는 현장에서 대피를 돕고 있던 서울 서초경찰서 반포지구대 김재호 경장을 찾아와 도움을 요청했다.

숨을	숨/NNG+을/JKO
고른	고르/VV+ㄴ/ETM
A	A/SL
씨는	씨/NNB+는/JX
현장에서	현장/NNG+에서/JKB
대피를	대피/NNG+를/JKO
돕고	돕/VV+고/EC
있던	있/VX+던/ETM
서울	서울/NNP
서초경찰서	서초경찰서/NNP
반포지구대	반포지구대/NNP
김재호	김재호/NNP
경장을	경장/NNG+을/JKO
찾아와	찾아오/VV+아/EC
도움을	도움/NNG+을/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.190.4.2
“집 안에 어머니와 (외)할머니가 있으니 구출해 주세요.”

“집	“/SS+집/NNG
안에	안/NNG+에/JKB
어머니와	어머니/NNG+와/JC
(외)할머니가	(/SS+외/NA+)/SS+할머니/NNG+가/JKS
있으니	있/VV+으니/EC
구출해	구출/NNG+하/XSV+아/EC
주세요.”	주/VX+시/EP+어요/EF+./SF+”/SS


# id : NWRW1800000045.190.5.1
21일 오후 4시 47분 서울 서초구 반포동의 한 빌라에서 불이 났다는 신고를 받고 출동한 김 경장이 겪은 일이다.

21일	21/SN+일/NNB
오후	오후/NNG
4시	4/SN+시/NNB
47분	47/SN+분/NNB
서울	서울/NNP
서초구	서초구/NNP
반포동의	반포동/NNP+의/JKG
한	한/MMN
빌라에서	빌라/NNG+에서/JKB
불이	불/NNG+이/JKS
났다는	나/VV+았/EP+다는/ETM
신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
출동한	출동/NNG+하/XSV+ㄴ/ETM
김	김/NNP
경장이	경장/NNG+이/JKS
겪은	겪/VV+은/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.190.5.2
김 경장은 A 씨가 얼굴에 두른 물수건을 뺏어 쓰고 다시 건물 안으로 들어갔다.

김	김/NNP
경장은	경장/NNG+은/JX
A	A/SL
씨가	씨/NNB+가/JKS
얼굴에	얼굴/NNG+에/JKB
두른	두르/VV+ㄴ/ETM
물수건을	물수건/NNG+을/JKO
뺏어	뺏/VV+어/EC
쓰고	쓰/VV+고/EC
다시	다시/MAG
건물	건물/NNG
안으로	안/NNG+으로/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.190.6.1
현관에 들어서자 마침 A 씨의 어머니 B 씨(62)가 허겁지겁 건물 밖으로 뛰쳐나오고 있었다.

현관에	현관/NNG+에/JKB
들어서자	들어서/VV+자/EC
마침	마침/MAG
A	A/SL
씨의	씨/NNB+의/JKG
어머니	어머니/NNG
B	B/SL
씨(62)가	씨/NNB+(/SS+62/SN+)/SS+가/JKS
허겁지겁	허겁지겁/MAG
건물	건물/NNG
밖으로	밖/NNG+으로/JKB
뛰쳐나오고	뛰쳐나오/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.190.6.2
B 씨의 품에는 개 한 마리가 안겨 있었다.

B	B/SL
씨의	씨/NNB+의/JKG
품에는	품/NNG+에/JKB+는/JX
개	개/NNG
한	한/MMN
마리가	마리/NNB+가/JKS
안겨	안기/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.190.6.3
