# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.330
metadata : {}


# id : NWRW1800000046.330.1.1
[與黨은 '사드 의총' 갈등] "부족한 정보·전략으로 갑론을박해봐야 도움 안돼"

[與黨은	[/SS+與黨/SH+은/JX
'사드	'/SS+사드/NNG
의총'	의총/NNG+'/SS
갈등]	갈등/NNG+]/SS
"부족한	"/SS+부족/NNG+하/XSA+ㄴ/ETM
정보·전략으로	정보/NNG+·/SP+전략/NNG+으로/JKB
갑론을박해봐야	갑론을박/NNG+하/XSV+아/EC+보/VX+아야/EC
도움	도움/NNG
안돼"	안/MAG+되/XSV+어/EF+"/SS


# id : NWRW1800000046.330.2.1
윤상현 정무특보, 의총 반대… "고도의 전략적 판단 필요, 정부가 결정하도록 놔둬야"

윤상현	윤상현/NNP
정무특보,	정무/NNG+특보/NNG+,/SP
의총	의총/NNG
반대…	반대/NNG+…/SE
"고도의	"/SS+고도/NNG+의/JKG
전략적	전략/NNG+적/XSN
판단	판단/NNG
필요,	필요/NNG+,/SP
정부가	정부/NNG+가/JKS
결정하도록	결정/NNG+하/XSV+도록/EC
놔둬야"	놔두/VV+어야/EC+"/SS


# id : NWRW1800000046.330.3.1
새누리당 내 친박계이자 청와대 정무특보인 윤상현〈사진〉 의원은 고(高)고도 미사일 방어 체제인 사드(THAAD) 배치 문제와 관련한 의원총회 소집에 대해 "정보와 전략이 부족한 상황에서 의원들이 모여 논의한다고 해서 제대로 된 결론에 이를 수 없고, 결과적으로 국가 전략에 도움이 안 된다"고 했다.

새누리당	새누리당/NNP
내	내/NNB
친박계이자	친/XPN+박/NNP+계/XSN+이/VCP+자/EC
청와대	청와대/NNP
정무특보인	정무/NNG+특보/NNG+이/VCP+ㄴ/ETM
윤상현〈사진〉	윤상현/NNP+〈/SS+사진/NNG+〉/SS
의원은	의원/NNG+은/JX
고(高)고도	고/XPN+(/SS+高/SH+)/SS+고도/NNG
미사일	미사일/NNG
방어	방어/NNG
체제인	체제/NNG+이/VCP+ㄴ/ETM
사드(THAAD)	사드/NNG+(/SS+THAAD/SL+)/SS
배치	배치/NNG
문제와	문제/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
의원총회	의원/NNG+총회/NNG
소집에	소집/NNG+에/JKB
대해	대하/VV+아/EC
"정보와	"/SS+정보/NNG+와/JC
전략이	전략/NNG+이/JKS
