# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.8
metadata : {}


# id : NWRW1800000033.8.1.1
“年 주택수요 2016년엔 40만채 밑돈다”

“年	“/SS+年/SH
주택수요	주택/NNG+수요/NNG
2016년엔	2016/SN+년/NNB+에/JKB+ㄴ/JX
40만채	40/SN+만/NR+채/NNB
밑돈다”	밑돌/VV+ㄴ다/EF+”/SS


# id : NWRW1800000033.8.2.1
국토硏 “50만채 계획 수정을”

국토硏	국토/NNG+硏/SH
“50만채	“/SS+50/SN+만/NR+채/NNB
계획	계획/NNG
수정을”	수정/NNG+을/JKO+”/SS


# id : NWRW1800000033.8.3.1
연간 신규주택 수요가 2016년 이후에는 40만 채 밑으로 떨어질 것이라는 전망이 나왔다.

연간	연간/NNG
신규주택	신규/NNG+주택/NNG
수요가	수요/NNG+가/JKS
2016년	2016/SN+년/NNB
이후에는	이후/NNG+에/JKB+는/JX
40만	40/SN+만/NR
채	채/NNB
밑으로	밑/NNG+으로/JKB
떨어질	떨어지/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.8.3.2
이에 따라 연평균 50만 채 공급을 목표로 하는 현재의 주택공급계획도 수정이 불가피할 것으로 보인다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
연평균	연평균/NNG
50만	50/SN+만/NR
채	채/NNB
공급을	공급/NNG+을/JKO
목표로	목표/NNG+로/JKB
하는	하/VV+는/ETM
현재의	현재/NNG+의/JKG
주택공급계획도	주택/NNG+공급/NNG+계획/NNG+도/JX
수정이	수정/NNG+이/JKS
불가피할	불가피하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.8.4.1
22일 국토연구원은 ‘사회·경제구조 전환기의 주택정책 패러다임 정립방안 연구’ 보고서에서 인구, 가구, 소득, 주택 멸실(滅失) 등을 토대로 계산한 결과, 연간 신규주택 수요는 2011년 43만3000채에서 2015년 40만4000채로 감소할 것으로 예상했다.

22일	22/SN+일/NNB
국토연구원은	국토/NNG+연구원/NNG+은/JX
‘사회·경제구조	‘/SS+사회/NNG+·/SP+경제/NNG+구조/NNG
전환기의	전환기/NNG+의/JKG
주택정책	주택/NNG+정책/NNG
패러다임	패러다임/NNG
정립방안	정립/NNG+방안/NNG
연구’	연구/NNG+’/SS
보고서에서	보고서/NNG+에서/JKB
인구,	인구/NNG+,/SP
가구,	가구/NNG+,/SP
소득,	소득/NNG+,/SP
주택	주택/NNG
멸실(滅失)	멸실/NNG+(/SS+滅失/SH+)/SS
등을	등/NNB+을/JKO
토대로	토대/NNG+로/JKB
계산한	계산/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
연간	연간/NNG
신규주택	신규/NNG+주택/NNG
수요는	수요/NNG+는/JX
2011년	2011/SN+년/NNB
43만3000채에서	43/SN+만/NR+3000/SN+채/NNB+에서/JKB
2015년	2015/SN+년/NNB
40만4000채로	40/SN+만/NR+4000/SN+채/NNB+로/JKB
감소할	감소/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.8.4.2
또 2016년부터는 40만 채 밑으로 떨어지고 2020년에는 37만2000채로까지 줄어들 것으로 추정했다.

또	또/MAG
2016년부터는	2016/SN+년/NNB+부터/JX+는/JX
40만	40/SN+만/NR
채	채/NNB
밑으로	밑/NNG+으로/JKB
떨어지고	떨어지/VV+고/EC
2020년에는	2020/SN+년/NNB+에/JKB+는/JX
37만2000채로까지	37/SN+만/NR+2000/SN+채/NNB+로/JKB+까지/JX
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정했다.	추정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.8.5.1
지역별로는 수도권보다는 비수도권의 하락폭이 클 것으로 분석됐다.

지역별로는	지역/NNG+별/XSN+로/JKB+는/JX
수도권보다는	수도/NNG+권/XSN+보다/JKB+는/JX
비수도권의	비/XPN+수도/NNG+권/XSN+의/JKG
하락폭이	하락/NNG+폭/NNG+이/JKS
클	크/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.8.5.2
