# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.247
metadata : {}


# id : NWRW1800000033.247.1.1
[IN&OUT]제주 유나이티드-울산 현대를 서울로 보내자!

[IN&OUT]제주	[/SS+IN/SL+&/SW+OUT/SL+]/SS+제주/NNP
유나이티드-울산	유나이티드/NNG+-/SO+울산/NNP
현대를	현대/NNP+를/JKO
서울로	서울/NNP+로/JKB
보내자!	보내/VV+자/EF+!/SF


# id : NWRW1800000033.247.2.1
4일 프로축구 서울과 수원의 ‘슈퍼매치’(1-1 무승부)가 열린 서울월드컵경기장에는 4만510명의 팬이 찾았다.

4일	4/SN+일/NNB
프로축구	프로/NNG+축구/NNG
서울과	서울/NNP+과/JKB
수원의	수원/NNP+의/JKG
‘슈퍼매치’(1-1	‘/SS+슈퍼/NNG+매치/NNG+’/SS+(/SS+1/SN+-/SO+1/SN
무승부)가	무/XPN+승부/NNG+)/SS+가/JKS
열린	열리/VV+ㄴ/ETM
서울월드컵경기장에는	서울월드컵경기장/NNP+에/JKB+는/JX
4만510명의	4/SN+만/NR+510/SN+명/NNB+의/JKG
팬이	팬/NNG+이/JKS
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.247.2.2
역대 관중 ‘톱10’에 들지는 못했지만 비가 오는 쌀쌀한 날씨를 감안하면 아주 뜨거운 열기였다.

역대	역대/NNG
관중	관중/NNG
‘톱10’에	‘/SS+톱/NNG+10/SN+’/SS+에/JKB
들지는	들/VV+지/EC+는/JX
못했지만	못하/VX+았/EP+지만/EC
비가	비/NNG+가/JKS
오는	오/VV+는/ETM
쌀쌀한	쌀쌀하/VA+ㄴ/ETM
날씨를	날씨/NNG+를/JKO
감안하면	감안/NNG+하/XSV+면/EC
아주	아주/MAG
뜨거운	뜨겁/VA+ㄴ/ETM
열기였다.	열기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.247.3.1
요즘 ‘서울과 수원이 만나면 대한민국 축구팬이 열광한다’고 할 정도로 두 팀의 라이벌 대결이 관심사다.

요즘	요즘/NNG
‘서울과	‘/SS+서울/NNP+과/JC
수원이	수원/NNP+이/JKS
만나면	만나/VV+면/EC
대한민국	대한민국/NNP
축구팬이	축구/NNG+팬/NNG+이/JKS
열광한다’고	열광/NNG+하/XSV+ㄴ다/EF+’/SS+고/JKQ
할	하/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
두	두/MMN
팀의	팀/NNG+의/JKG
라이벌	라이벌/NNG
대결이	대결/NNG+이/JKS
관심사다.	관심사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.247.3.2
서울-수원 경기는 국제축구연맹(FIFA)이 일찌감치 세계 7대 라이벌로 선정했다.

서울-수원	서울/NNP+-/SO+수원/NNP
경기는	경기/NNG+는/JX
국제축구연맹(FIFA)이	국제축구연맹/NNP+(/SS+FIFA/SL+)/SS+이/JKS
일찌감치	일찌감치/MAG
세계	세계/NNG
7대	7/SN+대/NNG
라이벌로	라이벌/NNG+로/JKB
선정했다.	선정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.247.3.3
특히 서울은 2010년 5월 5일 성남과의 홈경기에서 6만747명의 역대 K리그 최다 관중을 기록하는 등 역대 관중 ‘톱 10’ 중 9번을 기록할 정도로 인기를 독차지하고 있다.

특히	특히/MAG
서울은	서울/NNP+은/JX
2010년	2010/SN+년/NNB
5월	5/SN+월/NNB
5일	5/SN+일/NNB
성남과의	성남/NNP+과/JKB+의/JKG
홈경기에서	홈경기/NNG+에서/JKB
6만747명의	6/SN+만/NR+747/SN+명/NNB+의/JKG
역대	역대/NNG
K리그	K/SL+리그/NNG
최다	최다/NNG
관중을	관중/NNG+을/JKO
기록하는	기록/NNG+하/XSV+는/ETM
등	등/NNB
관중	관중/NNG
‘톱	‘/SS+톱/NNG
10’	10/SN+’/SS
중	중/NNB
9번을	9/SN+번/NNB+을/JKO
기록할	기록/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
인기를	인기/NNG+를/JKO
독차지하고	독차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.247.4.1
대기업 GS그룹이 모기업인 서울이 좋은 선수를 영입해 멋진 경기를 펼치고 있는 것도 팬들을 사로잡는 이유이지만 1000만 명이 넘는 인구가 몰려 있는 대한민국 수도를 연고지로 정한 ‘프리미엄’도 크다.

대기업	대/XPN+기업/NNG
GS그룹이	GS그룹/NNP+이/JKS
모기업인	모기업/NNG+이/VCP+ㄴ/ETM
서울이	서울/NNP+이/JKS
좋은	좋/VA+은/ETM
선수를	선수/NNG+를/JKO
영입해	영입/NNG+하/XSV+아/EC
멋진	멋지/VA+ㄴ/ETM
경기를	경기/NNG+를/JKO
펼치고	펼치/VV+고/EC
있는	있/VX+는/ETM
것도	것/NNB+도/JX
팬들을	팬/NNG+들/XSN+을/JKO
사로잡는	사로잡/VV+는/ETM
이유이지만	이유/NNG+이/VCP+지만/EC
1000만	1000/SN+만/NR
명이	명/NNB+이/JKS
넘는	넘/VV+는/ETM
인구가	인구/NNG+가/JKS
몰려	몰리/VV+어/EC
대한민국	대한민국/NNP
수도를	수도/NNG+를/JKO
연고지로	연고지/NNG+로/JKB
정한	정하/VV+ㄴ/ETM
‘프리미엄’도	‘/SS+프리미엄/NNG+’/SS+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000033.247.4.2
서울과 경기 등 수도권엔 2200만 명이 넘는 인구가 몰려 있다.

서울과	서울/NNP+과/JKB
경기	경기/NNP
등	등/NNB
수도권엔	수도/NNG+권/XSN+에/JKB+ㄴ/JX
2200만	2200/SN+만/NR
명이	명/NNB+이/JKS
넘는	넘/VV+는/ETM
인구가	인구/NNG+가/JKS
몰려	몰리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.247.4.3
5000만 전체 인구의 절반가량이 수도권에 있다.

5000만	5000/SN+만/NR
전체	전체/NNG
인구의	인구/NNG+의/JKG
절반가량이	절반/NNG+가량/XSN+이/JKS
수도권에	수도/NNG+권/XSN+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.247.5.1
프로 스포츠의 성공은 인구밀도가 중요하다.

프로	프로/NNG
스포츠의	스포츠/NNG+의/JKG
성공은	성공/NNG+은/JX
인구밀도가	인구/NNG+밀도/NNG+가/JKS
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000033.247.5.2
팬을 확보하지 못해 흥행이 되지 않으면 프로 스포츠의 존재 가치는 떨어진다.

팬을	팬/NNG+을/JKO
확보하지	확보/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
흥행이	흥행/NNG+이/JKC
되지	되/VV+지/EC
않으면	않/VX+으면/EC
프로	프로/NNG
스포츠의	스포츠/NNG+의/JKG
존재	존재/NNG
가치는	가치/NNG+는/JX
떨어진다.	떨어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.247.5.3
팬이 많아야 입장권과 유니폼 등을 팔아서 수익도 올릴 수 있다.

팬이	팬/NNG+이/JKS
많아야	많/VA+아야/EC
입장권과	입장/NNG+권/XSN+과/JC
유니폼	유니폼/NNG
등을	등/NNB+을/JKO
팔아서	팔/VV+아서/EC
수익도	수익/NNG+도/JX
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.247.5.4
팬이 많은 구단은 TV 중계권료 협상에서도 우위를 점한다.

팬이	팬/NNG+이/JKS
많은	많/VA+은/ETM
구단은	구단/NNG+은/JX
TV	TV/SL
중계권료	중계권료/NNG
협상에서도	협상/NNG+에서/JKB+도/JX
우위를	우위/NNG+를/JKO
점한다.	점하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.247.5.5
‘축구의 나라’ 잉글랜드는 런던에만 프리미어리그 6개 팀(아스널, 첼시, 토트넘, 풀럼, 퀸스파크레인저스, 웨스트햄 유나이티드)을 포함해 총 14개의 팀이 있다.

‘축구의	‘/SS+축구/NNG+의/JKG
나라’	나라/NNG+’/SS
잉글랜드는	잉글랜드/NNP+는/JX
런던에만	런던/NNP+에/JKB+만/JX
프리미어리그	프리미어리그/NNG
6개	6/SN+개/NNB
팀(아스널,	팀/NNG+(/SS+아스널/NNP+,/SP
첼시,	첼시/NNP+,/SP
토트넘,	토트넘/NNP+,/SP
풀럼,	풀럼/NNP+,/SP
