# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.334
metadata : {}


# id : NWRW1800000054.334.1.1
[창의 교육 프런티어들] (5) 서울대 권오남 교수 '플립 러닝'

[창의	[/SS+창의/NNG
교육	교육/NNG
프런티어들]	프런티어/NNG+들/XSN+]/SS
(5)	(/SS+5/SN+)/SS
서울대	서울대/NNP
권오남	권오남/NNP
교수	교수/NNG
'플립	'/SS+플립/NNG
러닝'	러닝/NNG+'/SS


# id : NWRW1800000054.334.2.1
"수학 공식대로 뚝딱 풀지말고 자신만의 풀이법 만들어보라"

"수학	"/SS+수학/NNG
공식대로	공식/NNG+대로/JX
뚝딱	뚝딱/MAG
풀지말고	풀/VV+지/EC+말/VX+고/EC
자신만의	자신/NNG+만/JX+의/JKG
풀이법	풀이법/NNG
만들어보라"	만들/VV+어/EC+보/VX+라/EF+"/SS


# id : NWRW1800000054.334.3.1
서울대 사범대 10동 106호는 사방이 '화이트보드'로 둘러싸인 특별한 강의실이다.

서울대	서울대/NNP
사범대	사범대/NNG
10동	10/SN+동/NNB
106호는	106/SN+호/NNB+는/JX
사방이	사방/NNG+이/JKS
'화이트보드'로	'/SS+화이트보드/NNG+'/SS+로/JKB
둘러싸인	둘러싸이/VV+ㄴ/ETM
특별한	특별/NNG+하/XSA+ㄴ/ETM
강의실이다.	강의실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.334.3.2
지난 11월 21일 이 강의실에서 '창의성 교육을 위한 교수들의 모임' 멤버인 권오남 서울대 수학교육과 교수의 '정수론' 수업이 있었다.

지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
21일	21/SN+일/NNB
이	이/MMD
강의실에서	강의실/NNG+에서/JKB
'창의성	'/SS+창의/NNG+성/XSN
교육을	교육/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
교수들의	교수/NNG+들/XSN+의/JKG
모임'	모임/NNG+'/SS
멤버인	멤버/NNG+이/VCP+ㄴ/ETM
권오남	권오남/NNP
서울대	서울대/NNP
수학교육과	수학/NNG+교육/NNG+과/NNG
교수의	교수/NNG+의/JKG
'정수론'	'/SS+정수/NNG+론/XSN+'/SS
수업이	수업/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.334.3.3
학생 26명은 수업 시작 후 10분간 6개 조로 나눠 앉아 자기가 풀어온 증명법에 대해 토론했다.

학생	학생/NNG
26명은	26/SN+명/NNB+은/JX
수업	수업/NNG
시작	시작/NNG
후	후/NNG
10분간	10/SN+분/NNB+간/XSN
6개	6/SN+개/NNB
조로	조/NNG+로/JKB
나눠	나누/VV+어/EC
앉아	앉/VV+아/EC
자기가	자기/NP+가/JKS
풀어온	풀/VV+어/EC+오/VX+ㄴ/ETM
증명법에	증명법/NNG+에/JKB
대해	대하/VV+아/EC
토론했다.	토론/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.334.3.4
권 교수는 "한 조에 한 명씩 나와 증명법을 화이트보드에 쓰라"고 했다.

권	권/NNP
교수는	교수/NNG+는/JX
"한	"/SS+한/MMN
조에	조/NNG+에/JKB
한	한/MMN
명씩	명/NNB+씩/XSN
나와	나오/VV+아/EC
증명법을	증명법/NNG+을/JKO
화이트보드에	화이트보드/NNG+에/JKB
쓰라"고	쓰/VV+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.334.3.5
학생들은 화이트보드에 문제를 풀면서 주변 친구들에게 풀이 방식을 설명하기도 했다.

학생들은	학생/NNG+들/XSN+은/JX
화이트보드에	화이트보드/NNG+에/JKB
문제를	문제/NNG+를/JKO
풀면서	풀/VV+면서/EC
주변	주변/NNG
친구들에게	친구/NNG+들/XSN+에게/JKB
풀이	풀이/NNG
방식을	방식/NNG+을/JKO
설명하기도	설명/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.334.3.6
권 교수는 한쪽에 서서 학생들을 지켜보다가 간간이 "이 친구 방식을 이해할 수 있나요?" "또 다른 방식으로 푼 사람 있나요?" 같은 질문을 던졌다.

권	권/NNP
교수는	교수/NNG+는/JX
한쪽에	한쪽/NNG+에/JKB
서서	서/VV+어서/EC
학생들을	학생/NNG+들/XSN+을/JKO
지켜보다가	지켜보/VV+다가/EC
간간이	간간이/MAG
"이	"/SS+이/MMD
친구	친구/NNG
방식을	방식/NNG+을/JKO
