# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.364
metadata : {}


# id : NWRW1800000048.364.1.1
[특파원 칼럼] ‘재팬 핸들러’의 한-일 과거사 인식

[특파원	[/SS+특파원/NNG
칼럼]	칼럼/NNG+]/SS
‘재팬	‘/SS+재팬/NNP
핸들러’의	핸들러/NNG+’/SS+의/JKG
한-일	한-일/NNP
과거사	과거사/NNG
인식	인식/NNG


# id : NWRW1800000048.364.2.1
미국 워싱턴엔 대일본 정책을 주무르는 일군의 전문가 그룹이 형성돼 있다.

미국	미국/NNP
워싱턴엔	워싱턴/NNP+에/JKB+ㄴ/JX
대일본	대일본/NNG
정책을	정책/NNG+을/JKO
주무르는	주무르/VV+는/ETM
일군의	일군/NNG+의/JKG
전문가	전문가/NNG
그룹이	그룹/NNG+이/JKS
형성돼	형성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.364.2.2
대일본 정책을 조언한다고 해서 ‘재팬 핸들러’라고 불린다.

대일본	대일본/NNG
정책을	정책/NNG+을/JKO
조언한다고	조언/NNG+하/XSV+ㄴ다고/EC
해서	하/VV+아서/EC
‘재팬	‘/SS+재팬/NNP
핸들러’라고	핸들러/NNG+’/SS+라고/JKQ
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.364.2.3
이들의 폭과 외연은 한반도 전문가들보다 훨씬 깊고 넓다.

이들의	이/NP+들/XSN+의/JKG
폭과	폭/NNG+과/JC
외연은	외연/NNG+은/JX
한반도	한반도/NNP
전문가들보다	전문가/NNG+들/XSN+보다/JKB
훨씬	훨씬/MAG
깊고	깊/VA+고/EC
넓다.	넓/VA+다/EF+./SF


# id : NWRW1800000048.364.2.4
일부는 일본과 한반도 정책을 동시에 다뤄, 이들의 인식은 한반도 정책에도 큰 영향을 끼친다.

일부는	일부/NNG+는/JX
일본과	일본/NNP+과/JC
한반도	한반도/NNP
정책을	정책/NNG+을/JKO
동시에	동시/NNG+에/JKB
다뤄,	다루/VV+어/EC+,/SP
이들의	이/NP+들/XSN+의/JKG
인식은	인식/NNG+은/JX
정책에도	정책/NNG+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼친다.	끼치/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.364.3.1
리처드 아미티지 전 국무부 부장관과 함께 재팬 핸들러의 좌장 격인 마이클 그린 전략국제문제연구소(CSIS) 선임 부소장 겸 일본석좌와 최근 전화 통화를 할 기회가 있었다.

리처드	리처드/NNP
아미티지	아미티지/NNP
전	전/MMD
국무부	국무부/NNG
부장관과	부장관/NNG+과/JKB
함께	함께/MAG
재팬	재팬/NNP
핸들러의	핸들러/NNG+의/JKG
좌장	좌장/NNG
격인	격/NNB+이/VCP+ㄴ/ETM
마이클	마이클/NNP
그린	그린/NNP
전략국제문제연구소(CSIS)	전략국제문제연구소/NNP+(/SS+CSIS/SL+)/SS
선임	선임/NNG
부소장	부소장/NNG
겸	겸/NNB
일본석좌와	일본/NNP+석좌/NNG+와/JKB
최근	최근/NNG
전화	전화/NNG
통화를	통화/NNG+를/JKO
할	하/VV+ㄹ/ETM
기회가	기회/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000048.364.3.2
그는 매우 솔직하게 자신의 견해를 말했는데, 일부 대목에선 내 귀를 의심할 정도로 우리와 간극이 크다는 걸 깨달았다.

그는	그/NP+는/JX
매우	매우/MAG
솔직하게	솔직하/VA+게/EC
자신의	자신/NNG+의/JKG
견해를	견해/NNG+를/JKO
말했는데,	말/NNG+하/XSV+았/EP+는데/EC+,/SP
일부	일부/NNG
대목에선	대목/NNG+에서/JKB+ㄴ/JX
내	나/NP+의/JKG
귀를	귀/NNG+를/JKO
의심할	의심/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
우리와	우리/NP+와/JKB
간극이	간극/NNG+이/JKS
크다는	크/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
깨달았다.	깨닫/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.364.4.1
그는 한-일 과거사 갈등과 관련해 일본 정부 쪽이 나름대로 조처를 내놓고 있다고 주장했다.

그는	그/NP+는/JX
한-일	한-일/NNP
과거사	과거사/NNG
갈등과	갈등/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
일본	일본/NNP
정부	정부/NNG
쪽이	쪽/NNB+이/JKS
나름대로	나름/NNB+대로/JX
조처를	조처/NNG+를/JKO
