# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.336
metadata : {}


# id : NWRW1800000024.336.1.1
“군수선거전 받은 후원금, 공천대가 아니냐

“군수선거전	“/SS+군수/NNG+선거전/NNG
받은	받/VV+은/ETM
후원금,	후원금/NNG+,/SP
공천대가	공천/NNG+대가/NNG
아니냐	아니/VCN+냐/EF


# id : NWRW1800000024.336.2.1
15일 열린 최경환 지식경제부장관 후보자 인사청문회에서는 최 후보자가 받은 고액후원금의 성격을 둘러싸고 민주당 의원들과 최 후보자 간의 ‘진실공방’이 치열했다.

15일	15/SN+일/NNB
열린	열리/VV+ㄴ/ETM
최경환	최경환/NNP
지식경제부장관	지식/NNG+경제부/NNG+장관/NNG
후보자	후보자/NNG
인사청문회에서는	인사/NNG+청문회/NNG+에서/JKB+는/JX
최	최/NNP
후보자가	후보자/NNG+가/JKS
받은	받/VV+은/ETM
고액후원금의	고액/NNG+후원금/NNG+의/JKG
성격을	성격/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
민주당	민주당/NNP
의원들과	의원/NNG+들/XSN+과/JC
간의	간/NNB+의/JKG
‘진실공방’이	‘/SS+진실/NNG+공방/NNG+’/SS+이/JKS
치열했다.	치열/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000024.336.3.1
주승용 민주당 의원은 지난 2005년 4월 최 후보자가 경산시장·청도군수 재선거를 앞두고 예비후보로 등록한 6명에게서 모두 3450만원의 후원금을 받은 사실을 지적하며 ‘공천대가성 여부’를 집중적으로 따졌다.

주승용	주승용/NNP
민주당	민주당/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2005년	2005/SN+년/NNB
4월	4/SN+월/NNB
최	최/NNP
후보자가	후보자/NNG+가/JKS
경산시장·청도군수	경산시장/NNG+·/SP+청도군수/NNG
재선거를	재/XPN+선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
예비후보로	예비/NNG+후보/NNG+로/JKB
등록한	등록/NNG+하/XSV+ㄴ/ETM
6명에게서	6/SN+명/NNB+에게서/JKB
모두	모두/MAG
3450만원의	3450/SN+만/NR+원/NNB+의/JKG
후원금을	후원금/NNG+을/JKO
받은	받/VV+은/ETM
사실을	사실/NNG+을/JKO
지적하며	지적/NNG+하/XSV+며/EC
‘공천대가성	‘/SS+공천/NNG+대가/NNG+성/XSN
여부’를	여부/NNG+’/SS+를/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
따졌다.	따지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.336.3.2
그러나 최 후보자는 “선관위에 신고한 합법적인 후원금이고, 공천권도 중앙당에 있었기 때문에 후원금 수수와 공천과는 전혀 관계가 없다”고 반박했다.

그러나	그러나/MAJ
최	최/NNP
후보자는	후보자/NNG+는/JX
“선관위에	“/SS+선관위/NNG+에/JKB
