# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.76
metadata : {}


# id : NWRW1800000036.76.1.1
“코란 소각은 실수, 미군 사살은 고의” 공화당 대선주자들 아전인수

“코란	“/SS+코란/NNG
소각은	소각/NNG+은/JX
실수,	실수/NNG+,/SP
미군	미군/NNG
사살은	사살/NNG+은/JX
고의”	고의/NNG+”/SS
공화당	공화당/NNP
대선주자들	대선/NNG+주자/NNG+들/XSN
아전인수	아전인수/NNG


# id : NWRW1800000036.76.2.1
[한겨레] ‘오바마의 사과’ 맹비난

[한겨레]	[/SS+한겨레/NNP+]/SS
‘오바마의	‘/SS+오바마/NNP+의/JKG
사과’	사과/NNG+’/SS
맹비난	맹비난/NNG


# id : NWRW1800000036.76.3.1
아프가니스탄 주둔 미군의 ‘코란 소각’ 사태 여파가 확산되는 가운데, 공화당 대선 주자들이 지난 23일 버락 오바마 대통령의 사과 발언을 잇따라 비난하고 나섰다.

아프가니스탄	아프가니스탄/NNP
주둔	주둔/NNG
미군의	미군/NNG+의/JKG
‘코란	‘/SS+코란/NNG
소각’	소각/NNG+’/SS
사태	사태/NNG
여파가	여파/NNG+가/JKS
확산되는	확산/NNG+되/XSV+는/ETM
가운데,	가운데/NNG+,/SP
공화당	공화당/NNP
대선	대선/NNG
주자들이	주자/NNG+들/XSN+이/JKS
지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
버락	버락/NNP
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
사과	사과/NNG
발언을	발언/NNG+을/JKO
잇따라	잇따르/VV+아/EC
비난하고	비난/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.76.4.1
릭 샌토럼 전 펜실베이니아주 상원의원은 26일 최근 ‘코란 사태’에 대한 오바마 대통령의 사과에 대해 <에이비시>(ABC) 방송과 <엔비시>(NBC) 방송에 출연해 “그 일(코란 소각)은 실수였고, (아프간인들이) 미군을 죽인 건 실수가 아니었다”며 “고의가 아닌 행동에 대해 사과하는 건 미국 대통령이 해선 안되는 일”이라고 주장했다.

릭	릭/NNP
샌토럼	샌토럼/NNP
전	전/MMD
펜실베이니아주	펜실베이니아주/NNP
상원의원은	상원/NNG+의원/NNG+은/JX
26일	26/SN+일/NNB
최근	최근/MAG
‘코란	‘/SS+코란/NNG
사태’에	사태/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
오바마	오바마/NNP
대통령의	대통령/NNG+의/JKG
사과에	사과/NNG+에/JKB
대해	대하/VV+아/EC
<에이비시>(ABC)	</SS+에이비시/NNP+>/SS+(/SS+ABC/SL+)/SS
방송과	방송/NNG+과/JC
<엔비시>(NBC)	</SS+엔비시/NNP+>/SS+(/SS+NBC/SL+)/SS
방송에	방송/NNG+에/JKB
출연해	출연/NNG+하/XSV+아/EC
“그	“/SS+그/MMD
일(코란	일/NNG+(/SS+코란/NNG
소각)은	소각/NNG+)/SS+은/JX
실수였고,	실수/NNG+이/VCP+었/EP+고/EC+,/SP
(아프간인들이)	(/SS+아프간인/NNG+들/XSN+이/JKS+)/SS
미군을	미군/NNG+을/JKO
죽인	죽이/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
실수가	실수/NNG+가/JKC
아니었다”며	아니/VCN+었/EP+다/EF+”/SS+며/EC
“고의가	“/SS+고의/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
행동에	행동/NNG+에/JKB
사과하는	사과/NNG+하/XSV+는/ETM
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
해선	하/VV+아서/EC+ㄴ/JX
안되는	안/MAG+되/XSV+는/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.76.5.1
샌토럼과 치열한 경선전을 펼치고 있는 밋 롬니 전 매사추세츠 주지사도 경쟁적으로 오바마 대통령을 비난했다.

샌토럼과	샌토럼/NNP+과/JKB
치열한	치열/NNG+하/XSA+ㄴ/ETM
경선전을	경선전/NNG+을/JKO
펼치고	펼치/VV+고/EC
있는	있/VX+는/ETM
밋	밋/NNP
롬니	롬니/NNP
전	전/MMD
매사추세츠	매사추세츠/NNP
주지사도	주지사/NNG+도/JX
경쟁적으로	경쟁/NNG+적/XSN+으로/JKB
오바마	오바마/NNP
대통령을	대통령/NNG+을/JKO
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.76.6.1
롬니 전 주지사는 <폭스뉴스>에 출연해 “미국은 아프간 국민의 자유를 위해 엄청난 기여를 했는데, 이런 시점에서 사과를 하는 건 미국민들로선 받아들이기 힘든 일”이라고 말했다.

롬니	롬니/NNP
전	전/MMD
주지사는	주지사/NNG+는/JX
<폭스뉴스>에	</SS+폭스뉴스/NNP+>/SS+에/JKB
출연해	출연/NNG+하/XSV+아/EC
“미국은	“/SS+미국/NNP+은/JX
아프간	아프간/NNP
국민의	국민/NNG+의/JKG
자유를	자유/NNG+를/JKO
위해	위하/VV+아/EC
엄청난	엄청나/VA+ㄴ/ETM
기여를	기여/NNG+를/JKO
했는데,	하/VV+았/EP+는데/EC+,/SP
이런	이런/MMD
시점에서	시점/NNG+에서/JKB
사과를	사과/NNG+를/JKO
하는	하/VV+는/ETM
건	거/NNB+ㄴ/JX
미국민들로선	미/NNP+국민/NNG+들/XSN+로서/JKB+ㄴ/JX
받아들이기	받아들이/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.76.7.1
앞서 뉴트 깅그리치 전 하원의장도 오바마 대통령 사과 직후 “대통령은 사과를 할 게 아니라, 오히려 미군이 사살된 데 대해 아프간 대통령으로부터 사과를 받아야 했다”고 주장했다.

앞서	앞서/MAG
뉴트	뉴트/NNP
깅그리치	깅그리치/NNP
전	전/MMD
하원의장도	하원/NNG+의장/NNG+도/JX
오바마	오바마/NNP
대통령	대통령/NNG
사과	사과/NNG
직후	직후/NNG
“대통령은	“/SS+대통령/NNG+은/JX
사과를	사과/NNG+를/JKO
할	하/VV+ㄹ/ETM
게	거/NNB+이/JKC
아니라,	아니/VCN+라/EC+,/SP
오히려	오히려/MAG
미군이	미군/NNG+이/JKS
사살된	사살/NNG+되/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
아프간	아프간/NNP
대통령으로부터	대통령/NNG+으로부터/JKB
받아야	받/VV+아야/EC
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.76.8.1
그러나 힐러리 클린턴 국무장관은 26일 <시엔엔>(CNN)에 출연해 “정치가 아프간의 위험한 상황을 더 악화시키는 건 곤란하다”며 공화당 대선 주자들의 오바마 비난이 정치적 이유에 의한 것이라는 점을 은근히 꼬집었다.

그러나	그러나/MAJ
힐러리	힐러리/NNP
클린턴	클린턴/NNP
국무장관은	국무/NNG+장관/NNG+은/JX
26일	26/SN+일/NNB
<시엔엔>(CNN)에	</SS+시엔엔/NNP+>/SS+(/SS+CNN/SL+)/SS+에/JKB
출연해	출연/NNG+하/XSV+아/EC
“정치가	“/SS+정치/NNG+가/JKS
아프간의	아프간/NNP+의/JKG
위험한	위험/NNG+하/XSA+ㄴ/ETM
상황을	상황/NNG+을/JKO
더	더/MAG
악화시키는	악화/NNG+시키/XSV+는/ETM
건	거/NNB+ㄴ/JX
곤란하다”며	곤란/NNG+하/XSA+다/EF+”/SS+며/EC
공화당	공화당/NNP
대선	대선/NNG
주자들의	주자/NNG+들/XSN+의/JKG
오바마	오바마/NNP
비난이	비난/NNG+이/JKS
정치적	정치/NNG+적/XSN
이유에	이유/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
점을	점/NNG+을/JKO
은근히	은근히/MAG
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.76.8.2
한편, ‘코란 소각’ 사태로 인한 테러, 폭동, 시위 등으로 지금까지 미군 5명을 포함해 최소한 30여명이 숨졌다.

한편,	한편/MAG+,/SP
‘코란	‘/SS+코란/NNG
소각’	소각/NNG+’/SS
사태로	사태/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
테러,	테러/NNG+,/SP
폭동,	폭동/NNG+,/SP
시위	시위/NNG
등으로	등/NNB+으로/JKB
지금까지	지금/NNG+까지/JX
미군	미군/NNG
5명을	5/SN+명/NNB+을/JKO
포함해	포함/NNG+하/XSV+아/EC
최소한	최소한/MAG
30여명이	30/SN+여/XSN+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


