# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.404
metadata : {}


# id : NWRW1800000040.404.1.1
[단독] 국정원 “진보당에 ‘내란 음모 사건’ 제보자 있다” 영장에 적시

[단독]	[/SS+단독/NNG+]/SS
국정원	국정원/NNG
“진보당에	“/SS+진보당/NNP+에/JKB
‘내란	‘/SS+내란/NNG
음모	음모/NNG
사건’	사건/NNG+’/SS
제보자	제보자/NNG
있다”	있/VA+다/EF+”/SS
영장에	영장/NNG+에/JKB
적시	적시/NNG


# id : NWRW1800000040.404.2.1
“종북에 실망 제보”…내사·증거수집 과정 ‘사실 일치’ 확인

“종북에	“/SS+종북/NNG+에/JKB
실망	실망/NNG
제보”…내사·증거수집	제보/NNG+”/SS+…/SE+내사/NNG+·/SP+증거/NNG+수집/NNG
과정	과정/NNG
‘사실	‘/SS+사실/NNG
일치’	일치/NNG+’/SS
확인	확인/NNG


# id : NWRW1800000040.404.3.1
진보당선 “국정원서 매수…최대 수년간 불법사찰” 주장

진보당선	진보당/NNP+서/JKB+ㄴ/JX
“국정원서	“/SS+국정원/NNG+서/JKB
매수…최대	매수/NNG+…/SE+최대/NNG
수년간	수년/NNG+간/XSN
불법사찰”	불법/NNG+사찰/NNG+”/SS
주장	주장/NNG


# id : NWRW1800000040.404.4.1
국가정보원이 이른바 ‘RO’(아르오·일명 산악회) 내부 협조자의 ‘제보’를 토대로 이석기 의원 등 일부 통합진보당 인사들에 대한 ‘내란음모’ 사건 수사에 착수한 사실이 1일 처음으로 확인됐다.

국가정보원이	국가/NNG+정보원/NNG+이/JKS
이른바	이른바/MAG
‘RO’(아르오·일명	‘/SS+RO/SL+’/SS+(/SS+아르오/NNP+·/SP+일명/NNG
산악회)	산악회/NNG+)/SS
내부	내부/NNG
협조자의	협조자/NNG+의/JKG
‘제보’를	‘/SS+제보/NNG+’/SS+를/JKO
토대로	토대/NNG+로/JKB
이석기	이석기/NNP
의원	의원/NNG
등	등/NNB
일부	일부/NNG
통합진보당	통합진보당/NNP
인사들에	인사/NNG+들/XSN+에/JKB
