# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.162
metadata : {}


# id : NWRW1800000029.162.1.1
[신나는 공부/SCHOOL DIARY]알쏭달쏭 대입 퀴즈

[신나는	[/SS+신나/VV+는/ETM
공부/SCHOOL	공부/NNG+//SP+SCHOOL/SL
DIARY]알쏭달쏭	DIARY/SL+]/SS+알쏭달쏭/MAG
대입	대입/NNG
퀴즈	퀴즈/NNG


# id : NWRW1800000029.162.2.1
문제 아래 지문에 등장하는 두 학생은 같은 계열 대학의 수시 입학을 준비하는 학생이다.

문제	문제/NNG
아래	아래/NNG
지문에	지문/NNG+에/JKB
등장하는	등장/NNG+하/XSV+는/ETM
두	두/MMN
학생은	학생/NNG+은/JX
같은	같/VA+은/ETM
계열	계열/NNG
대학의	대학/NNG+의/JKG
수시	수시/NNG
입학을	입학/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
학생이다.	학생/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.162.2.2
지문을 읽고 두 학생에게서 공통적으로 유추할 수 있는 대학 지원계열을 쓰시오.(예: 인문대학, 공과대학)

지문을	지문/NNG+을/JKO
읽고	읽/VV+고/EC
두	두/MMN
학생에게서	학생/NNG+에게서/JKB
공통적으로	공통/NNG+적/XSN+으로/JKB
유추할	유추/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대학	대학/NNG
지원계열을	지원/NNG+계열/NNG+을/JKO
쓰시오.(예:	쓰/VV+시/EP+오/EF+./SF+(/SS+예/NNG+:/SP
인문대학,	인문/NNG+대학/NNG+,/SP
공과대학)	공과/NNG+대학/NNG+)/SS


# id : NWRW1800000029.162.3.1
지문 A

지문	지문/NNG
A	A/SL


# id : NWRW1800000029.162.4.1
서울에 사는 대입 수험생 이모 양(19)은 목표한 대학에 진학하기 위해 재수를 선택했다.

서울에	서울/NNP+에/JKB
사는	살/VV+는/ETM
대입	대입/NNG
수험생	수험/NNG+생/XSN
이모	이/NNP+모/NP
양(19)은	양/NNB+(/SS+19/SN+)/SS+은/JX
목표한	목표/NNG+하/XSV+ㄴ/ETM
대학에	대학/NNG+에/JKB
진학하기	진학/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
재수를	재수/NNG+를/JKO
선택했다.	선택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.162.4.2
내신은 1.8등급.

내신은	내신/NNG+은/JX
1.8등급.	1/SN+./SP+8/SN+등급/NNG+./SF


# id : NWRW1800000029.162.4.3
평일에는 매일 오전 8시에 일어나 밤늦게까지 대학수학능력시험 공부를 한다.

평일에는	평일/NNG+에/JKB+는/JX
매일	매일/MAG
오전	오전/NNG
8시에	8/SN+시/NNB+에/JKB
일어나	일어나/VV+아/EC
밤늦게까지	밤늦/VA+게/EC+까지/JX
대학수학능력시험	대학/NNG+수학/NNG+능력/NNG+시험/NNG
공부를	공부/NNG+를/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.162.4.4
