# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.125
metadata : {}


# id : NWRW1800000026.125.1.1
김정일, 김일성 생일 앞두고 군사 훈련 참관 대남 공작 총책 오극렬도 나타나;北 천안함 관련說 속 '작전 성공' 격려 차원?

김정일,	김정일/NNP+,/SP
김일성	김일성/NNP
생일	생일/NNG
앞두고	앞두/VV+고/EC
군사	군사/NNG
훈련	훈련/NNG
참관	참관/NNG
대남	대남/NNG
공작	공작/NNG
총책	총책/NNG
오극렬도	오극렬/NNP+도/JX
나타나;北	나타나/VV+아/EF+;/SW+北/SH
천안함	천안함/NNP
관련說	관련/NNG+說/SH
속	속/NNG
'작전	'/SS+작전/NNG
성공'	성공/NNG+'/SS
격려	격려/NNG
차원?	차원/NNG+?/SF


# id : NWRW1800000026.125.2.1
북한 김정일 국방위원장이 최근 집권 후 처음으로 대남 공작 총책인 오극렬 국방위 부위원장(대장)을 대동하고 현지지도에 나섰다.

북한	북한/NNP
김정일	김정일/NNP
국방위원장이	국방/NNG+위원장/NNG+이/JKS
최근	최근/MAG
집권	집권/NNG
후	후/NNG
처음으로	처음/NNG+으로/JKB
대남	대남/NNG
공작	공작/NNG
총책인	총책/NNG+이/VCP+ㄴ/ETM
오극렬	오극렬/NNP
국방위	국방위/NNG
부위원장(대장)을	부위원장/NNG+(/SS+대장/NNG+)/SS+을/JKO
대동하고	대동/NNG+하/XSV+고/EC
현지지도에	현지/NNG+지도/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.125.2.2
오극렬은 김정일 심복이지만 현지지도에 공식 동행한 전례가 없다.

오극렬은	오극렬/NNP+은/JX
김정일	김정일/NNP
심복이지만	심복/NNG+이/VCP+지만/EC
현지지도에	현지/NNG+지도/NNG+에/JKB
공식	공식/NNG
동행한	동행/NNG+하/XSV+ㄴ/ETM
전례가	전례/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.125.3.1
14일 조선중앙통신에 따르면 김정일은 김일성 주석의 98회 생일(15일)을 앞두고 인민군 제567대연합부대의 종합훈련을 참관했다.

14일	14/SN+일/NNB
조선중앙통신에	조선중앙통신/NNP+에/JKB
따르면	따르/VV+면/EC
김정일은	김정일/NNP+은/JX
김일성	김일성/NNP
주석의	주석/NNG+의/JKG
98회	98/SN+회/NNB
생일(15일)을	생일/NNG+(/SS+15/SN+일/NNB+)/SS+을/JKO
앞두고	앞두/VV+고/EC
인민군	인민군/NNG
제567대연합부대의	제/XPN+567/SN+대/NNG+연합/NNG+부대/NNG+의/JKG
종합훈련을	종합/NNG+훈련/NNG+을/JKO
참관했다.	참관/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.125.3.2
훈련 참관에는 김영춘(인민무력부장), 리용무·오극렬(국방위 부위원장), 리영호(군 총참모장), 김정각(군 총정치국 제1부국장), 김일철(인민무력부 부부장), 전병호·최태복·김기남(당 중앙위 비서) 등 당·군 수뇌부가 총출동했다.

훈련	훈련/NNG
참관에는	참관/NNG+에/JKB+는/JX
김영춘(인민무력부장),	김영춘/NNP+(/SS+인민무력부장/NNG+)/SS+,/SP
리용무·오극렬(국방위	리용무/NNP+·/SP+오극렬/NNP+(/SS+국방위/NNG
부위원장),	부위원장/NNG+)/SS+,/SP
리영호(군	리영호/NNP+(/SS+군/NNG
총참모장),	총참모장/NNG+)/SS+,/SP
김정각(군	김정각/NNP+(/SS+군/NNG
총정치국	총정치국/NNG
제1부국장),	제/XPN+1/SN+부국장/NNG+)/SS+,/SP
김일철(인민무력부	김일철/NNP+(/SS+인민/NNG+무력부/NNG
부부장),	부부장/NNG+)/SS+,/SP
전병호·최태복·김기남(당	전병호/NNP+·/SP+최태복/NNP+·/SP+김기남/NNP+(/SS+당/NNG
중앙위	중앙위/NNG
비서)	비서/NNG+)/SS
등	등/NNB
당·군	당/NNG+·/SP+군/NNG
수뇌부가	수뇌부/NNG+가/JKS
총출동했다.	총출동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.125.4.1
국책 연구소인 통일연구원이 작년 11월 발간한 '김정일 현지지도 동향' 책자에 따르면 오극렬은 1994년 김정일 집권 이후 현지지도에 동행한 적이 한번도 없다.

국책	국책/NNG
연구소인	연구소/NNG+이/VCP+ㄴ/ETM
통일연구원이	통일/NNG+연구원/NNG+이/JKS
작년	작년/NNG
11월	11/SN+월/NNB
발간한	발간/NNG+하/XSV+ㄴ/ETM
'김정일	'/SS+김정일/NNP
현지지도	현지/NNG+지도/NNG
동향'	동향/NNG+'/SS
책자에	책자/NNG+에/JKB
따르면	따르/VV+면/EC
오극렬은	오극렬/NNP+은/JX
1994년	1994/SN+년/NNB
김정일	김정일/NNP
집권	집권/NNG
이후	이후/NNG
현지지도에	현지/NNG+지도/NNG+에/JKB
동행한	동행/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
한번도	한번/NNG+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.125.4.2
작년 김일성 97회 생일 기념 축포야회(불꽃놀이·4월 15일), 신년 경축 음악회(12월 31일)를 함께 관람했으나 둘 다 현지지도로 보긴 어려운 행사다.

작년	작년/NNG
김일성	김일성/NNP
97회	97/SN+회/NNB
생일	생일/NNG
기념	기념/NNG
축포야회(불꽃놀이·4월	축포/NNG+야회/NNG+(/SS+불꽃놀이/NNG+·/SP+4/SN+월/NNB
15일),	15/SN+일/NNB+)/SS+,/SP
신년	신년/NNG
경축	경축/NNG
음악회(12월	음악회/NNG+(/SS+12/SN+월/NNB
31일)를	31/SN+일/NNB+)/SS+를/JKO
함께	함께/MAG
관람했으나	관람/NNG+하/XSV+았/EP+으나/EC
둘	둘/NR
다	다/MAG
현지지도로	현지/NNG+지도/NNG+로/JKB
보긴	보/VV+기/ETN+ㄴ/JX
어려운	어렵/VA+ㄴ/ETM
행사다.	행사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.125.4.3
김일성·김정일 부자의 대(代)를 이은 신뢰를 받아온 오극렬이 김정일의 현지지도에 안 보이는 것은 그가 30년 가까이 전담한 업무(대남공작) 특성 탓으로 보인다.

김일성·김정일	김일성/NNP+·/SP+김정일/NNP
부자의	부자/NNG+의/JKG
대(代)를	대/NNG+(/SS+代/SH+)/SS+를/JKO
이은	잇/VV+은/ETM
신뢰를	신뢰/NNG+를/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
오극렬이	오극렬/NNP+이/JKS
김정일의	김정일/NNP+의/JKG
현지지도에	현지/NNG+지도/NNG+에/JKB
안	안/MAG
보이는	보이/VV+는/ETM
것은	것/NNB+은/JX
그가	그/NP+가/JKS
30년	30/SN+년/NNB
가까이	가까이/MAG
전담한	전담/NNG+하/XSV+ㄴ/ETM
업무(대남공작)	업무/NNG+(/SS+대남/NNG+공작/NNG+)/SS
특성	특성/NNG
탓으로	탓/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.125.5.1
그런 오극렬이 이례적으로 현지지도에 동행한 것을 두고 일각에선 천안함 침몰사건과의 연관성을 조심스럽게 제기한다.

그런	그런/MMD
오극렬이	오극렬/NNP+이/JKS
이례적으로	이례/NNG+적/XSN+으로/JKB
현지지도에	현지/NNG+지도/NNG+에/JKB
동행한	동행/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
일각에선	일각/NNG+에서/JKB+ㄴ/JX
천안함	천안함/NNP
침몰사건과의	침몰/NNG+사건/NNG+과/JKB+의/JKG
연관성을	연관/NNG+성/XSN+을/JKO
조심스럽게	조심/NNG+스럽/XSA+게/EC
제기한다.	제기/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.125.5.2
유동열 치안정책연구소 선임연구관은 "천안함 침몰의 배후가 북한이라면 오극렬이 총지휘했을 가능성이 높다"며 "그런 차원에서 보면 김정일이 오극렬을 대동한 건 '작전 성공'에 대한 격려 차원일 수 있다"고 말했다.

유동열	유동열/NNP
치안정책연구소	치안/NNG+정책/NNG+연구소/NNG
선임연구관은	선임/NNG+연구관/NNG+은/JX
"천안함	"/SS+천안함/NNP
침몰의	침몰/NNG+의/JKG
배후가	배후/NNG+가/JKS
북한이라면	북한/NNP+이/VCP+라면/EC
오극렬이	오극렬/NNP+이/JKS
총지휘했을	총지휘/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다"며	높/VA+다/EF+"/SS+며/EC
"그런	"/SS+그런/MMD
차원에서	차원/NNG+에서/JKB
보면	보/VV+면/EC
김정일이	김정일/NNP+이/JKS
오극렬을	오극렬/NNP+을/JKO
대동한	대동/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
'작전	'/SS+작전/NNG
성공'에	성공/NNG+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
격려	격려/NNG
차원일	차원/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.125.5.3
대북 소식통에 따르면 최근 북한 주민들 사이에선 "장군님이 한 건 하셨다"는 말이 돈다.

대북	대북/NNG
