# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.135
metadata : {}


# id : NWRW1800000052.135.1.1
문인협회 ‘친일 문학상’ 논란

문인협회	문인협회/NNP
‘친일	‘/SS+친일/NNG
문학상’	문학상/NNG+’/SS
논란	논란/NNG


# id : NWRW1800000052.135.2.1
육당 최남선, 춘원 이광수 문학상 제정키로

육당	육당/NNP
최남선,	최남선/NNP+,/SP
춘원	춘원/NNP
이광수	이광수/NNP
문학상	문학상/NNG
제정키로	제정/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000052.135.3.1
문효치 이사장 “친일행적 때문에 문학 가려져선 안돼”

문효치	문효치/NNP
이사장	이사장/NNG
“친일행적	“/SS+친일/NNG+행적/NNG
때문에	때문/NNB+에/JKB
문학	문학/NNG
가려져선	가려지/VV+어서/EC+ㄴ/JX
안돼”	안/MAG+되/XSV+어/EF+”/SS


# id : NWRW1800000052.135.4.1
국내 최대 문인 단체인 한국문인협회(문협·이사장 문효치)가 친일 행적으로 비판 받는 육당 최남선(1890~1957)과 춘원 이광수(1892~1950)의 이름을 단 문학상을 제정하기로 했다.

국내	국내/NNG
최대	최대/NNG
문인	문인/NNG
단체인	단체/NNG+이/VCP+ㄴ/ETM
한국문인협회(문협·이사장	한국문인협회/NNP+(/SS+문협/NNP+·/SP+이사장/NNG
문효치)가	문효치/NNP+)/SS+가/JKS
친일	친일/NNG
행적으로	행적/NNG+으로/JKB
비판	비판/NNG
받는	받/VV+는/ETM
육당	육당/NNP
최남선(1890~1957)과	최남선/NNP+(/SS+1890/SN+~/SO+1957/SN+)/SS+과/JC
춘원	춘원/NNP
이광수(1892~1950)의	이광수/NNP+(/SS+1892/SN+~/SO+1950/SN+)/SS+의/JKG
이름을	이름/NNG+을/JKO
단	달/VV+ㄴ/ETM
문학상을	문학상/NNG+을/JKO
제정하기로	제정/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.135.5.1
한국문인협회는 지난달 26일 열린 이사회에서 육당과 춘원을 기리는 문학상을 제정해 내년부터 시행하기로 했다.

한국문인협회는	한국문인협회/NNP+는/JX
지난달	지난달/NNG
26일	26/SN+일/NNB
열린	열리/VV+ㄴ/ETM
이사회에서	이사회/NNG+에서/JKB
육당과	육당/NNP+과/JC
춘원을	춘원/NNP+을/JKO
기리는	기리/VV+는/ETM
문학상을	문학상/NNG+을/JKO
제정해	제정/NNG+하/XSV+아/EC
내년부터	내년/NNG+부터/JX
시행하기로	시행/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.135.5.2
문효치 문협 이사장은 1일 <한겨레>와 통화에서 “육당과 춘원의 친일 부분에 대해 비판할 것은 비판해야 하겠지만 그와는 별개로 작품에 대해서는 평가해야 한다”며 “한국 현대문학 초창기에 두분이 작품으로써 문학사 건설에 크게 기여한 것이 사실인데 친일 행적 때문에 문학적 자산까지 가려져서는 안 된다는 생각에서 문학상을 만들기로 했다”고 밝혔다.

문효치	문효치/NNP
문협	문협/NNP
이사장은	이사장/NNG+은/JX
1일	1/SN+일/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
통화에서	통화/NNG+에서/JKB
“육당과	“/SS+육당/NNP+과/JC
춘원의	춘원/NNP+의/JKG
친일	친일/NNG
부분에	부분/NNG+에/JKB
대해	대하/VV+아/EC
비판할	비판/NNG+하/XSV+ㄹ/ETM
것은	것/NNB+은/JX
비판해야	비판/NNG+하/XSV+아야/EC
하겠지만	하/VX+겠/EP+지만/EC
그와는	그/NP+와/JKB+는/JX
별개로	별개/NNG+로/JKB
작품에	작품/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
평가해야	평가/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“한국	“/SS+한국/NNP
현대문학	현대/NNG+문학/NNG
초창기에	초창기/NNG+에/JKB
두분이	두/MMN+분/NNB+이/JKS
작품으로써	작품/NNG+으로써/JKB
문학사	문학사/NNG
건설에	건설/NNG+에/JKB
크게	크/VA+게/EC
기여한	기여/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
사실인데	사실/NNG+이/VCP+ㄴ데/EC
행적	행적/NNG
때문에	때문/NNB+에/JKB
문학적	문학/NNG+적/XSN
자산까지	자산/NNG+까지/JX
가려져서는	가려지/VV+어서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
생각에서	생각/NNG+에서/JKB
문학상을	문학상/NNG+을/JKO
만들기로	만들/VV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.135.6.1
문협은 내년 상반기부터 두 문인을 기리는 문학상을 시행하기로 했다.

문협은	문협/NNP+은/JX
내년	내년/NNG
상반기부터	상반기/NNG+부터/JX
두	두/MMN
