# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.91
metadata : {}


# id : NWRW1800000028.91.1.1
천재와 마법사 ‘지략 대결’ 승자는?

천재와	천재/NNG+와/JC
마법사	마법사/NNG
‘지략	‘/SS+지략/NNG
대결’	대결/NNG+’/SS
승자는?	승자/NNG+는/JX+?/SF


# id : NWRW1800000028.91.2.1
‘천재 가드’와 ‘코트의 마법사’의 대결.

‘천재	‘/SS+천재/NNG
가드’와	가드/NNG+’/SS+와/JC
‘코트의	‘/SS+코트/NNG+의/JKG
마법사’의	마법사/NNG+’/SS+의/JKG
대결.	대결/NNG+./SF


# id : NWRW1800000028.91.3.1
20일 울산에서 시작되는 2009~2010 프로농구 4강 플레이오프(5전3선승제)는 선수 시절 최고의 포인트가드로 이름을 날렸던 유재학 울산 모비스 감독과 강동희 원주 동부 감독의 지략대결도 관심을 모은다.

20일	20/SN+일/NNB
울산에서	울산/NNP+에서/JKB
시작되는	시작/NNG+되/XSV+는/ETM
2009~2010	2009/SN+~/SO+2010/SN
프로농구	프로/NNG+농구/NNG
4강	4/SN+강/NNB
플레이오프(5전3선승제)는	플레이오프/NNG+(/SS+5/SN+전/NNB+3/SN+선승/NNG+제/XSN+)/SS+는/JX
선수	선수/NNG
시절	시절/NNG
최고의	최고/NNG+의/JKG
포인트가드로	포인트가드/NNG+로/JKB
이름을	이름/NNG+을/JKO
날렸던	날리/VV+었/EP+던/ETM
유재학	유재학/NNP
울산	울산/NNP
모비스	모비스/NNP
감독과	감독/NNG+과/JC
강동희	강동희/NNP
원주	원주/NNP
동부	동부/NNP
감독의	감독/NNG+의/JKG
지략대결도	지략/NNG+대결/NNG+도/JX
관심을	관심/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.91.4.1
경복고와 연세대 시절 최고의 포인트가드로 주목받은 유 감독은 1986년 기아의 창단멤버로 입단했다.

경복고와	경복고/NNP+와/JC
연세대	연세대/NNP
시절	시절/NNG
최고의	최고/NNG+의/JKG
포인트가드로	포인트가드/NNG+로/JKB
주목받은	주목/NNG+받/XSV+은/ETM
유	유/NNP
감독은	감독/NNG+은/JX
1986년	1986/SN+년/NNB
기아의	기아/NNP+의/JKG
창단멤버로	창단/NNG+멤버/NNG+로/JKB
입단했다.	입단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.91.4.2
한기범, 허재, 김유택 등과 함께 88년 농구대잔치 우승을 이끌고 최우수선수(MVP)로 뽑히며 전성기를 달렸다.

한기범,	한기범/NNP+,/SP
허재,	허재/NNP+,/SP
김유택	김유택/NNP
등과	등/NNB+과/JKB
함께	함께/MAG
88년	88/SN+년/NNB
농구대잔치	농구/NNG+대/XPN+잔치/NNG
우승을	우승/NNG+을/JKO
이끌고	이끌/VV+고/EC
최우수선수(MVP)로	최/XPN+우수/NNG+선수/NNG+(/SS+MVP/SL+)/SS+로/JKB
뽑히며	뽑히/VV+며/EC
전성기를	전성기/NNG+를/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.91.4.3
고질적인 무릎 부상으로 27살에 은퇴했지만 오랜 농구팬들은 ‘천재 가드’, ‘코트의 여우’로 불린 그의 두뇌플레이를 아직도 기억한다.

고질적인	고질/NNG+적/XSN+이/VCP+ㄴ/ETM
무릎	무릎/NNG
부상으로	부상/NNG+으로/JKB
27살에	27/SN+살/NNB+에/JKB
은퇴했지만	은퇴/NNG+하/XSV+았/EP+지만/EC
오랜	오랜/MMA
농구팬들은	농구/NNG+팬/NNG+들/XSN+은/JX
‘천재	‘/SS+천재/NNG
가드’,	가드/NNG+’/SS+,/SP
‘코트의	‘/SS+코트/NNG+의/JKG
여우’로	여우/NNG+’/SS+로/JKB
불린	불리/VV+ㄴ/ETM
그의	그/NP+의/JKG
두뇌플레이를	두뇌/NNG+플레이/NNG+를/JKO
아직도	아직/MAG+도/JX
기억한다.	기억/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.91.4.4
‘코트의 마법사’ 강 감독 역시 농구대잔치 시절 포인트가드를 맡아 ‘기아 독주’를 이끌며 한국 농구를 대표했다.

‘코트의	‘/SS+코트/NNG+의/JKG
마법사’	마법사/NNG+’/SS
강	강/NNP
감독	감독/NNG
역시	역시/MAG
농구대잔치	농구/NNG+대/XPN+잔치/NNG
시절	시절/NNG
포인트가드를	포인트가드/NNG+를/JKO
맡아	맡/VV+아/EC
‘기아	‘/SS+기아/NNP
독주’를	독주/NNG+’/SS+를/JKO
이끌며	이끌/VV+며/EC
한국	한국/NNP
농구를	농구/NNG+를/JKO
대표했다.	대표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.91.4.5
프로농구에서도 원년인 97시즌 정규리그·챔피언결정전 최우수선수를 휩쓸며 발자국을 남겼다.

프로농구에서도	프로/NNG+농구/NNG+에서/JKB+도/JX
원년인	원년/NNG+이/VCP+ㄴ/ETM
97시즌	97/SN+시즌/NNG
정규리그·챔피언결정전	정규/NNG+리그/NNG+·/SP+챔피언/NNG+결정전/NNG
최우수선수를	최/XPN+우수/NNG+선수/NNG+를/JKO
휩쓸며	휩쓸/VV+며/EC
발자국을	발자국/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.91.5.1
