# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.25
metadata : {}


# id : NWRW1800000022.25.1.1
'X파일 떡값 검사' 실명 공개 노회찬 前의원 징역1년 구형

'X파일	'/SS+X/SL+파일/NNG
떡값	떡값/NNG
검사'	검사/NNG+'/SS
실명	실명/NNG
공개	공개/NNG
노회찬	노회찬/NNP
前의원	前/SH+의원/NNG
징역1년	징역/NNG+1/SN+년/NNB
구형	구형/NNG


# id : NWRW1800000022.25.2.1
이른바 '안기부 X파일'에 나오는 '떡값 검사'의 실명을 공개한 혐의로 기소된 노회찬 전 진보신당 의원에게 검찰이 징역 1년과 자격정지 1년을 구형했다.

이른바	이른바/MAG
'안기부	'/SS+안기부/NNG
X파일'에	X/SL+파일/NNG+'/SS+에/JKB
나오는	나오/VV+는/ETM
'떡값	'/SS+떡값/NNG
검사'의	검사/NNG+'/SS+의/JKG
실명을	실명/NNG+을/JKO
공개한	공개/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
노회찬	노회찬/NNP
전	전/MMD
진보신당	진보신당/NNP
의원에게	의원/NNG+에게/JKB
검찰이	검찰/NNG+이/JKS
징역	징역/NNG
1년과	1/SN+년/NNB+과/JC
자격정지	자격/NNG+정지/NNG
1년을	1/SN+년/NNB+을/JKO
구형했다.	구형/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.25.3.1
지난 2005년 폭로된 '안기부 X파일'은 옛 국가안전기획부(현 국가정보원)의 도청 녹취록으로 전·현직 검찰 간부 10명에게 500만~2000만원씩의 추석 떡값을 나눠주기로 했다는 내용이 포함돼 큰 파문을 일으켰다.

지난	지나/VV+ㄴ/ETM
2005년	2005/SN+년/NNB
폭로된	폭로/NNG+되/XSV+ㄴ/ETM
'안기부	'/SS+안기부/NNG
X파일'은	X/SL+파일/NNG+'/SS+은/JX
옛	옛/MMA
국가안전기획부(현	국가/NNG+안전/NNG+기획부/NNG+(/SS+현/MMD
국가정보원)의	국가/NNG+정보원/NNG+)/SS+의/JKG
도청	도청/NNG
녹취록으로	녹취록/NNG+으로/JKB
전·현직	전·현직/NNG
검찰	검찰/NNG
간부	간부/NNG
10명에게	10/SN+명/NNB+에게/JKB
500만~2000만원씩의	500/SN+만/NR+~/SO+2000/SN+만/NR+원/NNB+씩/XSN+의/JKG
추석	추석/NNG
떡값을	떡값/NNG+을/JKO
나눠주기로	나누/VV+어/EC+주/VX+기/ETN+로/JKB
했다는	하/VV+았/EP+다는/ETM
내용이	내용/NNG+이/JKS
포함돼	포함/NNG+되/XSV+어/EC
큰	크/VA+ㄴ/ETM
파문을	파문/NNG+을/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


