# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.383
metadata : {}


# id : NWRW1800000038.383.1.1
"댓글 중간수사 발표 당일 국정원 간부(박원동 당시 국익정보국장)가 전화걸어와"

"댓글	"/SS+댓글/NNG
중간수사	중간/NNG+수사/NNG
발표	발표/NNG
당일	당일/NNG
국정원	국정원/NNG
간부(박원동	간부/NNG+(/SS+박원동/NNP
당시	당시/NNG
국익정보국장)가	국익/NNG+정보국장/NNG+)/SS+가/JKS
전화걸어와"	전화/NNG+걸/VV+어/EC+오/VX+아/EF+"/SS


# id : NWRW1800000038.383.2.1
김용판 前서울경찰청장 밝혀… 大選 사흘전 부적절 通話논란 "권영세 실장과는 통화 안해"

김용판	김용판/NNP
前서울경찰청장	前/SH+서울경찰청장/NNG
밝혀…	밝히/VV+어/EF+…/SE
大選	大選/SH
사흘전	사흘/NNG+전/NNG
부적절	부적절/XR
通話논란	通話/SH+논란/NNG
"권영세	"/SS+권영세/NNP
실장과는	실장/NNG+과/JKB+는/JX
통화	통화/NNG
안해"	안/MAG+하/VV+아/EF+"/SS


# id : NWRW1800000038.383.3.1
'국정원 직원 댓글 사건' 수사 결과를 축소·은폐한 혐의로 기소된 김용판사진> 전 서울경찰청장은 18일 "작년 대선 직전 권영세(현 중국 대사)새누리당 선대본 종합상황실장과 통화한 일은 없으나, 박원동 당시 국정원 국익정보국장과는 통화했다"고 말했다.

'국정원	'/SS+국정원/NNG
직원	직원/NNG
댓글	댓글/NNG
사건'	사건/NNG+'/SS
수사	수사/NNG
결과를	결과/NNG+를/JKO
축소·은폐한	축소/NNG+·/SP+은폐/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
김용판사진>	김용판/NNP+사진/NNG+>/SS
전	전/MMD
서울경찰청장은	서울경찰청장/NNG+은/JX
18일	18/SN+일/NNB
"작년	"/SS+작년/NNG
대선	대선/NNG
직전	직전/NNG
권영세(현	권영세/NNP+(/SS+현/MMD
중국	중국/NNP
대사)새누리당	대사/NNG+)/SS+새누리당/NNP
선대본	선대본/NNP
종합상황실장과	종합/NNG+상황실장/NNG+과/JKB
통화한	통화/NNG+하/XSV+ㄴ/ETM
일은	일/NNG+은/JX
없으나,	없/VA+으나/EC+,/SP
박원동	박원동/NNP
당시	당시/NNG
국정원	국정원/NNG
국익정보국장과는	국익/NNG+정보국장/NNG+과/JKB+는/JX
통화했다"고	통화/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.383.4.1
김 전 청장은 본지와 통화하며 "권 대사는 TV로나 본 사람이고, 박 전 국장이 작년 12월 16일 오후 전화를 걸어와 통화했다"며 "통화 내용은 검찰에 상세히 진술했다"고 말했다.

김	김/NNP
전	전/MMD
청장은	청장/NNG+은/JX
본지와	본지/NNG+와/JKB
통화하며	통화/NNG+하/XSV+며/EC
"권	"/SS+권/NNP
대사는	대사/NNG+는/JX
TV로나	TV/SL+로/JKB+나/JX
본	보/VV+ㄴ/ETM
사람이고,	사람/NNG+이/VCP+고/EC+,/SP
박	박/NNP
국장이	국장/NNG+이/JKS
작년	작년/NNG
12월	12/SN+월/NNB
16일	16/SN+일/NNB
오후	오후/NNG
전화를	전화/NNG+를/JKO
걸어와	걸어오/VV+아/EC
통화했다"며	통화/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"통화	"/SS+통화/NNG
내용은	내용/NNG+은/JX
검찰에	검찰/NNG+에/JKB
상세히	상세히/MAG
진술했다"고	진술/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.383.5.1
민주당 박범계 의원은 지난 17일 국회 법사위 전체 회의에서 권 대사와 박 전 국장이 경찰 수사에 부당한 압력을 넣었다는 의혹을 제기했다.

민주당	민주당/NNP
박범계	박범계/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
국회	국회/NNG
법사위	법사위/NNG
전체	전체/NNG
회의에서	회의/NNG+에서/JKB
권	권/NNP
대사와	대사/NNG+와/JC
