# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.228
metadata : {}


# id : NWRW1800000026.228.1.1
포스코, 국내 첫 사내 전략대학 설립

포스코,	포스코/NNP+,/SP
국내	국내/NNG
첫	첫/MMN
사내	사내/NNG
전략대학	전략/NNG+대학/NNG
설립	설립/NNG


# id : NWRW1800000026.228.2.1
포스코가 국내 기업 최초로 사내 전략대학을 설립했다.

포스코가	포스코/NNP+가/JKS
국내	국내/NNG
기업	기업/NNG
최초로	최초/NNG+로/JKB
사내	사내/NNG
전략대학을	전략/NNG+대학/NNG+을/JKO
설립했다.	설립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.228.3.1
포스코는 13일 포스코 본사와 계열사 임직원 중 차세대 리더로 육성할 인재를 선발해 교육하는 전략대학을 열었다고 밝혔다.

포스코는	포스코/NNP+는/JX
13일	13/SN+일/NNB
포스코	포스코/NNP
본사와	본사/NNG+와/JC
계열사	계열사/NNG
임직원	임직원/NNG
중	중/NNB
차세대	차세대/NNG
리더로	리더/NNG+로/JKB
육성할	육성/NNG+하/XSV+ㄹ/ETM
인재를	인재/NNG+를/JKO
선발해	선발/NNG+하/XSV+아/EC
교육하는	교육/NNG+하/XSV+는/ETM
전략대학을	전략/NNG+대학/NNG+을/JKO
열었다고	열/VV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.228.4.1
포스코 전략대학은 2년 4학기제이며, 업무를 보면서 매주 2~4시간씩 지도교수로부터 강의를 듣는 방식으로 운영된다.

포스코	포스코/NNP
전략대학은	전략/NNG+대학/NNG+은/JX
2년	2/SN+년/NNB
4학기제이며,	4/SN+학기/NNG+제/XSN+이/VCP+며/EC+,/SP
업무를	업무/NNG+를/JKO
보면서	보/VV+면서/EC
매주	매주/MAG
2~4시간씩	2/SN+~/SO+4/SN+시간/NNB+씩/XSN
지도교수로부터	지도/NNG+교수/NNG+로부터/JKB
강의를	강의/NNG+를/JKO
듣는	듣/VV+는/ETM
방식으로	방식/NNG+으로/JKB
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.228.4.2
병법·전쟁론·전신(戰神, 이순신)·게임이론 등의 과정을 1학기 동안 이수한 뒤, 나머지 세 학기는 지도교수의 지도에 따라 논문을 작성한다.

병법·전쟁론·전신(戰神,	병법/NNG+·/SP+전쟁/NNG+론/XSN+·/SP+전신/NNG+(/SS+戰神/SH+,/SP
이순신)·게임이론	이순신/NNP+)/SS+·/SP+게임/NNG+이론/NNG
등의	등/NNB+의/JKG
과정을	과정/NNG+을/JKO
1학기	1/SN+학기/NNG
동안	동안/NNG
이수한	이수/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
나머지	나머지/NNG
세	세/MMN
학기는	학기/NNG+는/JX
지도교수의	지도/NNG+교수/NNG+의/JKG
지도에	지도/NNG+에/JKB
따라	따르/VV+아/EC
논문을	논문/NNG+을/JKO
작성한다.	작성/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.228.4.3
포스코는 이를 위해 송병락 서울대 경제학과 명예교수 등 국내 대학과 연구기관의 교수 15명을 지도교수로 위촉했다.

포스코는	포스코/NNP+는/JX
이를	이/NP+를/JKO
위해	위하/VV+아/EC
송병락	송병락/NNP
서울대	서울대/NNP
경제학과	경제학과/NNG
명예교수	명예/NNG+교수/NNG
등	등/NNB
국내	국내/NNG
대학과	대학/NNG+과/JC
연구기관의	연구/NNG+기관/NNG+의/JKG
교수	교수/NNG
15명을	15/SN+명/NNB+을/JKO
지도교수로	지도/NNG+교수/NNG+로/JKB
위촉했다.	위촉/NNG+하/XSV+았/EP+다/EF+./SF


