# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.68
metadata : {}


# id : NWRW1800000048.68.1.1
삼성전자, 백혈병 피해자 30명에 보상금 첫 지급

삼성전자,	삼성전자/NNP+,/SP
백혈병	백혈병/NNG
피해자	피해자/NNG
30명에	30/SN+명/NNB+에/JKB
보상금	보상금/NNG
첫	첫/MMN
지급	지급/NNG


# id : NWRW1800000048.68.2.1
현재 보상 신청자 90명 넘어

현재	현재/MAG
보상	보상/NNG
신청자	신청자/NNG
90명	90/SN+명/NNB
넘어	넘/VV+어/EF


# id : NWRW1800000048.68.3.1
조정위 제외한 단독 행동에

조정위	조정위/NNG
제외한	제외/NNG+하/XSV+ㄴ/ETM
단독	단독/NNG
행동에	행동/NNG+에/JKB


# id : NWRW1800000048.68.4.1
반올림 “재발방지 거부하나”

반올림	반올림/NNP
“재발방지	“/SS+재발/NNG+방지/NNG
거부하나”	거부/NNG+하/XSV+나/EF+”/SS


# id : NWRW1800000048.68.5.1
삼성전자가 지난해 5월 권오현 부회장이 반도체 백혈병 피해자들에게 사과문을 발표한 지 1년 5개월여만에 처음으로 피해자들에게 보상금을 지급했다.

삼성전자가	삼성전자/NNP+가/JKS
지난해	지난해/NNG
5월	5/SN+월/NNB
권오현	권오현/NNP
부회장이	부회장/NNG+이/JKS
반도체	반도체/NNG
백혈병	백혈병/NNG
피해자들에게	피해자/NNG+들/XSN+에게/JKB
사과문을	사과문/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
지	지/NNB
1년	1/SN+년/NNB
5개월여만에	5/SN+개월/NNB+여/XSN+만/JX+에/JKB
처음으로	처음/NNG+으로/JKB
보상금을	보상금/NNG+을/JKO
지급했다.	지급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.68.6.1
삼성전자는 자체적으로 만든 보상위원회가 반도체 사업장 퇴직자 30명과 질병 피해와 관련한 보상금 지급 및 합의를 1차로 완료했다고 21일 밝혔다.

삼성전자는	삼성전자/NNP+는/JX
자체적으로	자체/NNG+적/XSN+으로/JKB
만든	만들/VV+ㄴ/ETM
보상위원회가	보상/NNG+위원회/NNG+가/JKS
반도체	반도체/NNG
사업장	사업장/NNG
퇴직자	퇴직자/NNG
30명과	30/SN+명/NNB+과/JKB
질병	질병/NNG
피해와	피해/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
보상금	보상금/NNG
지급	지급/NNG
및	및/MAG
합의를	합의/NNG+를/JKO
1차로	1/SN+차/NNB+로/JKB
완료했다고	완료/NNG+하/XSV+았/EP+다고/EC
21일	21/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.68.6.2
하지만 ‘삼성전자 반도체 등 사업장에서의 백혈병 등 질환 발병과 관련한 문제 해결을 위한 조정위원회’(조정위)의 권고안이 나온 뒤 사단법인 설립을 두고 삼성과 ‘반올림(반도체 노동자의 건강과 인권 지킴이)’, 일부 가족들이 이견을 보이고 있어 완전 해결까지는 진통이 예상된다.

하지만	하지만/MAJ
‘삼성전자	‘/SS+삼성전자/NNP
반도체	반도체/NNG
등	등/NNB
사업장에서의	사업장/NNG+에서/JKB+의/JKG
백혈병	백혈병/NNG
질환	질환/NNG
발병과	발병/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
문제	문제/NNG
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
조정위원회’(조정위)의	조정/NNG+위원회/NNG+’/SS+(/SS+조정위/NNG+)/SS+의/JKG
권고안이	권고안/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
뒤	뒤/NNG
사단법인	사단/NNG+법인/NNG
설립을	설립/NNG+을/JKO
두고	두/VV+고/EC
삼성과	삼성/NNP+과/JC
‘반올림(반도체	‘/SS+반올림/NNP+(/SS+반도체/NNG
노동자의	노동자/NNG+의/JKG
건강과	건강/NNG+과/JC
인권	인권/NNG
지킴이)’,	지킴이/NNG+)/SS+’/SS+,/SP
일부	일부/NNG
가족들이	가족/NNG+들/XSN+이/JKS
이견을	이견/NNG+을/JKO
보이고	보이/VV+고/EC
있어	있/VX+어/EC
완전	완전/NNG
해결까지는	해결/NNG+까지/JX+는/JX
진통이	진통/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.68.7.1
삼성전자는 보상위원회에 보상 신청과 서류 제출이 이어지고 있어 이달 말께는 보상금 수령자가 50명을 넘어설 것으로 예상했다.

삼성전자는	삼성전자/NNP+는/JX
보상위원회에	보상/NNG+위원회/NNG+에/JKB
보상	보상/NNG
신청과	신청/NNG+과/JC
서류	서류/NNG
제출이	제출/NNG+이/JKS
이어지고	이어지/VV+고/EC
있어	있/VX+어/EC
이달	이달/NNG
말께는	말/NNB+께/XSN+는/JX
보상금	보상금/NNG
수령자가	수령자/NNG+가/JKS
50명을	50/SN+명/NNB+을/JKO
넘어설	넘어서/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.68.7.2
삼성전자 쪽은 “발병자와 가족들의 서류 준비와 보상위원회 심의 등에 시간이 걸린다”며 “변호사 또는 노무사 등이 직접 발병자를 방문해 서류 접수 등을 도와주고 있어 보상금을 지급받는 사람은 계속 늘어날 것”이라고 밝혔다.

삼성전자	삼성전자/NNP
쪽은	쪽/NNB+은/JX
“발병자와	“/SS+발병자/NNG+와/JC
가족들의	가족/NNG+들/XSN+의/JKG
서류	서류/NNG
준비와	준비/NNG+와/JC
보상위원회	보상/NNG+위원회/NNG
심의	심의/NNG
등에	등/NNB+에/JKB
시간이	시간/NNG+이/JKS
