# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.257
metadata : {}


# id : NWRW1800000044.257.1.1
작년 성범죄 26% 급증…친고죄 폐지 효과?

작년	작년/NNG
성범죄	성범죄/NNG
26%	26/SN+%/SW
급증…친고죄	급증/NNG+…/SE+친고죄/NNG
폐지	폐지/NNG
효과?	효과/NNG+?/SF


# id : NWRW1800000044.257.2.1
[한겨레] 전체 범죄 증가율 3.2%의 8배

[한겨레]	[/SS+한겨레/NNP+]/SS
전체	전체/NNG
범죄	범죄/NNG
증가율	증가/NNG+율/XSN
3.2%의	3/SN+./SP+2/SN+%/SW+의/JKG
8배	8/SN+배/NNG


# id : NWRW1800000044.257.3.1
살인·강도 등 강력범죄는 감소

살인·강도	살인/NNG+·/SP+강도/NNG
등	등/NNB
강력범죄는	강력/NNG+범죄/NNG+는/JX
감소	감소/NNG


# id : NWRW1800000044.257.4.1
지난해 성폭행과 강제추행 등 성범죄가 급증한 것으로 나타났다.

지난해	지난해/NNG
성폭행과	성폭행/NNG+과/JC
강제추행	강제/NNG+추행/NNG
등	등/NNB
성범죄가	성범죄/NNG+가/JKS
급증한	급증/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.257.5.1
2일 대검찰청이 내놓은 ‘2014 범죄분석’을 보면, 지난해 수사기관이 파악한 발생 범죄는 모두 200만6682건으로, 전년 194만4906건에 견주어 6만1776건(3.2%) 늘었다.

2일	2/SN+일/NNB
대검찰청이	대/XPN+검찰청/NNG+이/JKS
내놓은	내놓/VV+은/ETM
‘2014	‘/SS+2014/SN
범죄분석’을	범죄/NNG+분석/NNG+’/SS+을/JKO
보면,	보/VV+면/EC+,/SP
지난해	지난해/NNG
수사기관이	수사/NNG+기관/NNG+이/JKS
파악한	파악/NNG+하/XSV+ㄴ/ETM
발생	발생/NNG
범죄는	범죄/NNG+는/JX
모두	모두/MAG
200만6682건으로,	200/SN+만/NR+6682/SN+건/NNB+으로/JKB+,/SP
전년	전년/NNG
194만4906건에	194/SN+만/NR+4906/SN+건/NNB+에/JKB
견주어	견주/VV+어/EC
6만1776건(3.2%)	6/SN+만/NR+1776/SN+건/NNB+(/SS+3/SN+./SP+2/SN+%/SW+)/SS
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.257.6.1
성폭력 범죄는 2012년 2만1346건에서 지난해 2만6919건으로 26.1% 증가했다.

성폭력	성폭력/NNG
범죄는	범죄/NNG+는/JX
2012년	2012/SN+년/NNB
2만1346건에서	2/SN+만/NR+1346/SN+건/NNB+에서/JKB
지난해	지난해/NNG
2만6919건으로	2/SN+만/NR+6919/SN+건/NNB+으로/JKB
26.1%	26/SN+./SP+1/SN+%/SW
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.257.6.2
인구 10만명당 53건꼴로, 하루 평균 73.8건이 신고됐다.

인구	인구/NNG
10만명당	10/SN+만/NR+명/NNB+당/XSN
53건꼴로,	53/SN+건/NNB+꼴/XSN+로/JKB+,/SP
하루	하루/NNG
평균	평균/NNG
73.8건이	73/SN+./SP+8/SN+건/NNB+이/JKS
신고됐다.	신고/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.257.6.3
경북 경산시(10만명당 76.8명), 제주특별자치도(75.6명), 광주광역시(73.9명)에서 발생률이 높았다.

경북	경북/NNP
경산시(10만명당	경산시/NNP+(/SS+10/SN+만/NR+명/NNB+당/XSN
76.8명),	76/SN+./SP+8/SN+명/NNB+)/SS+,/SP
제주특별자치도(75.6명),	제주특별자치도/NNP+(/SS+75/SN+./SP+6/SN+명/NNB+)/SS+,/SP
광주광역시(73.9명)에서	광주광역시/NNP+(/SS+73/SN+./SP+9/SN+명/NNB+)/SS+에서/JKB
발생률이	발생/NNG+률/XSN+이/JKS
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000044.257.6.4
성범죄는 예년엔 7~8월에 주로 일어났으나 지난해는 10월에 가장 많이 발생했다.

성범죄는	성범죄/NNG+는/JX
예년엔	예년/NNG+에/JKB+ㄴ/JX
7~8월에	7/SN+~/SO+8/SN+월/NNB+에/JKB
주로	주로/MAG
일어났으나	일어나/VV+았/EP+으나/EC
지난해는	지난해/NNG+는/JX
10월에	10/SN+월/NNB+에/JKB
가장	가장/MAG
많이	많이/MAG
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.257.6.5
지난해 6월 친고죄(피해자 고소가 있어야 처벌할 수 있는 죄) 조항이 폐지된 것도 발생 건수 증가에 영향을 미친 것으로 보인다.

지난해	지난해/NNG
6월	6/SN+월/NNB
친고죄(피해자	친고죄/NNG+(/SS+피해자/NNG
고소가	고소/NNG+가/JKS
있어야	있/VA+어야/EC
처벌할	처벌/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
죄)	죄/NNG+)/SS
조항이	조항/NNG+이/JKS
폐지된	폐지/NNG+되/XSV+ㄴ/ETM
것도	것/NNB+도/JX
발생	발생/NNG
건수	건수/NNG
증가에	증가/NNG+에/JKB
영향을	영향/NNG+을/JKO
미친	미치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.257.7.1
아동 상대 성범죄는 1051건으로 2012년(975건)에 비해 7.8% 늘었다.

아동	아동/NNG
상대	상대/NNG
성범죄는	성범죄/NNG+는/JX
1051건으로	1051/SN+건/NNB+으로/JKB
2012년(975건)에	2012/SN+년/NNB+(/SS+975/SN+건/NNB+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
7.8%	7/SN+./SP+8/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.257.7.2
이웃·친족·친구 등 아는 사람이 저지른 경우가 34.1%다.

이웃·친족·친구	이웃/NNG+·/SP+친족/NNG+·/SP+친구/NNG
등	등/NNB
아는	알/VV+는/ETM
사람이	사람/NNG+이/JKS
저지른	저지르/VV+ㄴ/ETM
경우가	경우/NNG+가/JKS
34.1%다.	34/SN+./SP+1/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000044.257.8.1
반면 다른 강력범죄는 대체로 감소했다.

반면	반면/NNG
다른	다른/MMD
강력범죄는	강력/NNG+범죄/NNG+는/JX
대체로	대체로/MAG
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.257.8.2
살인은 2012년 1029건에서 지난해 966건(-6.1%)으로, 강도도 2643건에서 2013건(-23.8%)으로 줄었다.

살인은	살인/NNG+은/JX
2012년	2012/SN+년/NNB
1029건에서	1029/SN+건/NNB+에서/JKB
지난해	지난해/NNG
966건(-6.1%)으로,	966/SN+건/NNB+(/SS+-/SW+6/SN+./SP+1/SN+%/SW+)/SS+으로/JKB+,/SP
강도도	강도/NNG+도/JX
2643건에서	2643/SN+건/NNB+에서/JKB
2013건(-23.8%)으로	2013/SN+건/NNB+(/SS+-/SW+23/SN+./SP+8/SN+%/SW+)/SS+으로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.257.9.1
지난해 범죄 혐의로 입건된 공무원은 1만1458명이다.

지난해	지난해/NNG
범죄	범죄/NNG
혐의로	혐의/NNG+로/JKB
입건된	입건/NNG+되/XSV+ㄴ/ETM
공무원은	공무원/NNG+은/JX
1만1458명이다.	1/SN+만/NR+1458/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.257.9.2
국가공무원 중에선 경찰청 소속이 1202명으로 가장 많고, 법무부(264명), 국세청(136명), 교육과학기술부(111명)가 뒤를 이었다.

국가공무원	국가/NNG+공무원/NNG
중에선	중/NNB+에서/JKB+ㄴ/JX
경찰청	경찰청/NNG
소속이	소속/NNG+이/JKS
1202명으로	1202/SN+명/NNB+으로/JKB
가장	가장/MAG
많고,	많/VA+고/EC+,/SP
법무부(264명),	법무부/NNG+(/SS+264/SN+명/NNB+)/SS+,/SP
국세청(136명),	국세청/NNG+(/SS+136/SN+명/NNB+)/SS+,/SP
교육과학기술부(111명)가	교육/NNG+과학/NNG+기술부/NNG+(/SS+111/SN+명/NNB+)/SS+가/JKS
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


