# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.386
metadata : {}


# id : NWRW1800000024.386.1.1
효성회장 셋째도 ‘하와이 고급콘도’ 샀다

효성회장	효성/NNP+회장/NNG
셋째도	셋째/NNG+도/JX
‘하와이	‘/SS+하와이/NNP
고급콘도’	고급/NNG+콘도/NNG+’/SS
샀다	사/VV+았/EP+다/EF


# id : NWRW1800000024.386.2.1
조석래 효성그룹 회장의 큰아들인 조현준(41) ㈜효성 사장이 미국 로스앤젤레스와 샌디에이고에서 고급 빌라를 구입한 사실이 알려진 데 이어, 셋째 아들인 조현상(38) ㈜효성 전무도 미국 하와이에 고급 콘도를 사들인 것으로 확인됐다.

조석래	조석래/NNP
효성그룹	효성그룹/NNP
회장의	회장/NNG+의/JKG
큰아들인	큰아들/NNG+이/VCP+ㄴ/ETM
조현준(41)	조현준/NNP+(/SS+41/SN+)/SS
㈜효성	㈜/SW+효성/NNP
사장이	사장/NNG+이/JKS
미국	미국/NNP
로스앤젤레스와	로스앤젤레스/NNP+와/JC
샌디에이고에서	샌디에이고/NNP+에서/JKB
고급	고급/NNG
빌라를	빌라/NNG+를/JKO
구입한	구입/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
알려진	알려지/VV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
셋째	셋째/NR
아들인	아들/NNG+이/VCP+ㄴ/ETM
조현상(38)	조현상/NNP+(/SS+38/SN+)/SS
전무도	전무/NNG+도/JX
하와이에	하와이/NNP+에/JKB
콘도를	콘도/NNG+를/JKO
사들인	사들이/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.386.2.2
조 사장의 미국 빌라 구입 사실을 추적·공개한 바 있는 재미동포 안치용씨는 20일 자신이 운영하는 인터넷사이트 ‘시크릿 오브 코리아’(andocu.tistory.com)를 통해, 조 전무가 지난해 7월 하와이 호놀룰루 와이키키 해변 부근의 고급 콘도 한 채를 262만3167달러(약 30억6000만원)에 구입했다며 관련 서류를 공개했다.

조	조/NNP
사장의	사장/NNG+의/JKG
미국	미국/NNP
빌라	빌라/NNG
구입	구입/NNG
사실을	사실/NNG+을/JKO
추적·공개한	추적/NNG+·/SP+공개/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있는	있/VA+는/ETM
재미동포	재미/NNG+동포/NNG
안치용씨는	안치용/NNP+씨/NNB+는/JX
20일	20/SN+일/NNB
자신이	자신/NNG+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
인터넷사이트	인터넷/NNG+사이트/NNG
‘시크릿	‘/SS+시크릿/NNP
오브	오브/NNP
코리아’(andocu.tistory.com)를	코리아/NNP+’/SS+(/SS+andocu/SL+./SP+tistory/SL+./SP+com/SL+)/SS+를/JKO
통해,	통하/VV+아/EC+,/SP
전무가	전무/NNG+가/JKS
지난해	지난해/NNG
7월	7/SN+월/NNB
하와이	하와이/NNP
호놀룰루	호놀룰루/NNP
와이키키	와이키키/NNP
해변	해변/NNG
부근의	부근/NNG+의/JKG
고급	고급/NNG
콘도	콘도/NNG
한	한/MMN
채를	채/NNG+를/JKO
262만3167달러(약	262/SN+만/NR+3167/SN+달러/NNB+(/SS+약/MMA
30억6000만원)에	30/SN+억/NR+6000/SN+만/NR+원/NNB+)/SS+에/JKB
구입했다며	구입/NNG+하/XSV+았/EP+다며/EC
관련	관련/NNG
서류를	서류/NNG+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.386.3.1
조 전무가 콘도를 사면서 은행 융자를 받았다면 해당 은행에서 등기소에 저당권을 설정하게 되는데, 안씨는 등기소에 저당권 설정을 위한 융자서류가 제출된 적이 없다고 밝혔다.

조	조/NNP
전무가	전무/NNG+가/JKS
콘도를	콘도/NNG+를/JKO
사면서	사/VV+면서/EC
은행	은행/NNG
융자를	융자/NNG+를/JKO
받았다면	받/VV+았/EP+다면/EC
해당	해당/NNG
은행에서	은행/NNG+에서/JKB
등기소에	등기소/NNG+에/JKB
저당권을	저당/NNG+권/XSN+을/JKO
설정하게	설정/NNG+하/XSV+게/EC
