# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.104
metadata : {}


# id : NWRW1800000029.104.1.1
“명품 향수 70% 싸게 팝니다”

“명품	“/SS+명품/NNG
향수	향수/NNG
70%	70/SN+%/SW
싸게	싸/VA+게/EC
팝니다”	팔/VV+ㅂ니다/EF+”/SS


# id : NWRW1800000029.104.2.1
이마트, 중간유통 생략 병행수입

이마트,	이마트/NNP+,/SP
중간유통	중간/NNG+유통/NNG
생략	생략/NNG
병행수입	병행/NNG+수입/NNG


# id : NWRW1800000029.104.3.1
홈플러스-롯데마트도 마케팅 강화

홈플러스-롯데마트도	홈플러스/NNP+-/SO+롯데마트/NNP+도/JX
마케팅	마케팅/NNG
강화	강화/NNG


# id : NWRW1800000029.104.4.1
이마트가 크리스마스를 앞두고 15일부터 페라가모, 랑방, 불가리 등 해외 명품 브랜드 향수를 시중가격보다 최대 70% 싼 가격에 파는 행사를 진행한다.

이마트가	이마트/NNP+가/JKS
크리스마스를	크리스마스/NNG+를/JKO
앞두고	앞두/VV+고/EC
15일부터	15/SN+일/NNB+부터/JX
페라가모,	페라가모/NNP+,/SP
랑방,	랑방/NNP+,/SP
불가리	불가리/NNP
등	등/NNB
해외	해외/NNG
명품	명품/NNG
브랜드	브랜드/NNG
향수를	향수/NNG+를/JKO
시중가격보다	시중/NNG+가격/NNG+보다/JKB
최대	최대/NNG
70%	70/SN+%/SW
싼	싸/VA+ㄴ/ETM
가격에	가격/NNG+에/JKB
파는	팔/VV+는/ETM
행사를	행사/NNG+를/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.104.4.2
선물용으로 인기가 많은 페라가모 인칸토헤븐(30mL)은 기존 3만3000원의 절반 수준인 1만6500원, 랑방 에클라드 아르페주(30mL) 역시 3만8000원에서 1만9000원으로 가격이 뚝 떨어졌다.

선물용으로	선물/NNG+용/XSN+으로/JKB
인기가	인기/NNG+가/JKS
많은	많/VA+은/ETM
페라가모	페라가모/NNP
인칸토헤븐(30mL)은	인칸토헤븐/NNP+(/SS+30/SN+mL/SW+)/SS+은/JX
기존	기존/NNG
3만3000원의	3/SN+만/NR+3000/SN+원/NNB+의/JKG
절반	절반/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
1만6500원,	1/SN+만/NR+6500/SN+원/NNB+,/SP
랑방	랑방/NNP
에클라드	에클라드/NNP
아르페주(30mL)	아르페주/NNP+(/SS+30/SN+mL/SW+)/SS
역시	역시/MAG
3만8000원에서	3/SN+만/NR+8000/SN+원/NNB+에서/JKB
1만9000원으로	1/SN+만/NR+9000/SN+원/NNB+으로/JKB
가격이	가격/NNG+이/JKS
뚝	뚝/MAG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.104.5.1
이마트가 이처럼 향수 가격을 낮출 수 있던 것은 미국, 유럽 등 산지에서 중간유통단계를 거치지 않고 바로 병행수입을 했기 때문이다.

이마트가	이마트/NNP+가/JKS
이처럼	이/NP+처럼/JKB
향수	향수/NNG
가격을	가격/NNG+을/JKO
낮출	낮추/VV+ㄹ/ETM
수	수/NNB
있던	있/VA+던/ETM
것은	것/NNB+은/JX
미국,	미국/NNP+,/SP
유럽	유럽/NNP
등	등/NNB
산지에서	산지/NNG+에서/JKB
중간유통단계를	중간/NNG+유통/NNG+단계/NNG+를/JKO
거치지	거치/VV+지/EC
않고	않/VX+고/EC
바로	바로/MAG
병행수입을	병행/NNG+수입/NNG+을/JKO
했기	하/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.104.5.2
최근 가격이 싼 제품을 주로 판매하는 대형마트들은 병행수입에 속속 뛰어들고 있다.

최근	최근/MAG
가격이	가격/NNG+이/JKS
싼	싸/VA+ㄴ/ETM
제품을	제품/NNG+을/JKO
주로	주로/MAG
판매하는	판매/NNG+하/XSV+는/ETM
대형마트들은	대형/NNG+마트/NNG+들/XSN+은/JX
병행수입에	병행/NNG+수입/NNG+에/JKB
속속	속속/MAG
뛰어들고	뛰어들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.104.5.3
명품이 대중화되면서 조금이라도 싼 가격에 명품을 사려는 소비자들이 대형마트로 몰리고 있기 때문이다.

명품이	명품/NNG+이/JKS
대중화되면서	대중/NNG+화/XSN+되/XSV+면서/EC
조금이라도	조금/NNG+이라도/JX
싼	싸/VA+ㄴ/ETM
가격에	가격/NNG+에/JKB
명품을	명품/NNG+을/JKO
사려는	사/VV+려는/ETM
소비자들이	소비자/NNG+들/XSN+이/JKS
대형마트로	대형/NNG+마트/NNG+로/JKB
몰리고	몰리/VV+고/EC
있기	있/VX+기/ETN
