# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.105
metadata : {}


# id : NWRW1800000053.105.1.1
“이 작품 아니면 극단 문 닫을 뻔했죠”

“이	“/SS+이/MMD
작품	작품/NNG
아니면	아니/VCN+면/EC
극단	극단/NNG
문	문/NNG
닫을	닫/VV+을/ETM
뻔했죠”	뻔/NNB+하/XSA+았/EP+죠/EF+”/SS


# id : NWRW1800000053.105.2.1
극단 맨씨어터 창단 10주년… 연극 ‘프로즌’으로 다시 만난 우현주 대표-배우 이석준

극단	극단/NNG
맨씨어터	맨씨어터/NNP
창단	창단/NNG
10주년…	10/SN+주년/NNB+…/SE
연극	연극/NNG
‘프로즌’으로	‘/SS+프로즌/NNP+’/SS+으로/JKB
다시	다시/MAG
만난	만나/VV+ㄴ/ETM
우현주	우현주/NNP
대표-배우	대표/NNG+-/SO+배우/NNG
이석준	이석준/NNP


# id : NWRW1800000053.105.3.1
올해 창단 10주년을 맞은 극단 맨씨어터는 ‘믿고 보는 극단’으로 통한다.

올해	올해/NNG
창단	창단/NNG
10주년을	10/SN+주년/NNB+을/JKO
맞은	맞/VV+은/ETM
극단	극단/NNG
맨씨어터는	맨씨어터/NNP+는/JX
‘믿고	‘/SS+믿/VV+고/EC
보는	보/VV+는/ETM
극단’으로	극단/NNG+’/SS+으로/JKB
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.105.3.2
배우 우현주(47)가 2007년 친한 또래 여배우 정수영 정재은 등과 만든 이 극단은 ‘썸걸즈’ ‘울다가 웃으면’ ‘디너’ ‘은밀한 기쁨’ ‘데블 인사이드’ ‘흑흑흑 희희희’ 등을 올리며 차곡차곡 신뢰를 쌓아갔다.

배우	배우/NNG
우현주(47)가	우현주/NNP+(/SS+47/SN+)/SS+가/JKS
2007년	2007/SN+년/NNB
친한	친하/VA+ㄴ/ETM
또래	또래/NNG
여배우	여배우/NNG
정수영	정수영/NNP
정재은	정재은/NNP
등과	등/NNB+과/JKB
만든	만들/VV+ㄴ/ETM
이	이/MMD
극단은	극단/NNG+은/JX
‘썸걸즈’	‘/SS+썸걸즈/NNP+’/SS
‘울다가	‘/SS+울/VV+다가/EC
웃으면’	웃/VV+으면/EC+’/SS
‘디너’	‘/SS+디너/NNP+’/SS
‘은밀한	‘/SS+은밀하/VA+ㄴ/ETM
기쁨’	기쁨/NNG+’/SS
‘데블	‘/SS+데블/NNP
인사이드’	인사이드/NNP+’/SS
‘흑흑흑	‘/SS+흑흑흑/MAG
희희희’	희희희/MAG+’/SS
등을	등/NNB+을/JKO
올리며	올리/VV+며/EC
차곡차곡	차곡차곡/MAG
신뢰를	신뢰/NNG+를/JKO
쌓아갔다.	쌓/VV+아/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.105.4.1
다음 달 6일 개막하는 연극 ‘프로즌’ 공연을 앞두고 우현주 맨씨어터 대표와 배우 이석준(45)을 서울 대학로의 한 카페에서 24일 만났다.

다음	다음/NNG
달	달/NNG
6일	6/SN+일/NNB
개막하는	개막/NNG+하/XSV+는/ETM
연극	연극/NNG
‘프로즌’	‘/SS+프로즌/NNP+’/SS
공연을	공연/NNG+을/JKO
앞두고	앞두/VV+고/EC
우현주	우현주/NNP
맨씨어터	맨씨어터/NNP
대표와	대표/NNG+와/JC
배우	배우/NNG
이석준(45)을	이석준/NNP+(/SS+45/SN+)/SS+을/JKO
서울	서울/NNP
대학로의	대학로/NNP+의/JKG
한	한/MMN
카페에서	카페/NNG+에서/JKB
24일	24/SN+일/NNB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.105.4.2
이 작품은 극단에 각별한 의미가 있다.

이	이/MMD
작품은	작품/NNG+은/JX
극단에	극단/NNG+에/JKB
각별한	각별/NNG+하/XSA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.105.5.1
“재정난에 시달리면서 2015년 극단을 접어야 하나 고민하던 중 마지막이라는 생각으로 선택한 게 ‘프로즌’이었어요.

“재정난에	“/SS+재정난/NNG+에/JKB
시달리면서	시달리/VV+면서/EC
2015년	2015/SN+년/NNB
극단을	극단/NNG+을/JKO
접어야	접/VV+어야/EC
하나	하/VX+나/EC
고민하던	고민/NNG+하/XSV+던/ETM
중	중/NNB
마지막이라는	마지막/NNG+이/VCP+라는/ETM
생각으로	생각/NNG+으로/JKB
선택한	선택/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
‘프로즌’이었어요.	‘/SS+프로즌/NNP+’/SS+이/VCP+었/EP+어요/EF+./SF


# id : NWRW1800000053.105.5.2
예매를 시작하자마자 매진됐고 추가 공연까지 하게 돼 극단을 계속 운영하게 해 준 고마운 작품이에요.”(우 대표)

예매를	예매/NNG+를/JKO
시작하자마자	시작/NNG+하/XSV+자마자/EC
매진됐고	매진/NNG+되/XSV+었/EP+고/EC
추가	추가/NNG
공연까지	공연/NNG+까지/JX
하게	하/VV+게/EC
돼	되/VV+어/EC
극단을	극단/NNG+을/JKO
계속	계속/MAG
운영하게	운영/NNG+하/XSV+게/EC
해	하/VX+아/EC
준	주/VX+ㄴ/ETM
고마운	고맙/VA+ㄴ/ETM
작품이에요.”(우	작품/NNG+이/VCP+에요/EF+./SF+”/SS+(/SS+우/NNP
대표)	대표/NNG+)/SS


# id : NWRW1800000053.105.6.1
