# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.74
metadata : {}


# id : NWRW1800000040.74.1.1
중, 북 핵실험 만류할 대표단 파견 검토

중,	중/NNP+,/SP
북	북/NNP
핵실험	핵/NNG+실험/NNG
만류할	만류/NNG+하/XSV+ㄹ/ETM
대표단	대표단/NNG
파견	파견/NNG
검토	검토/NNG


# id : NWRW1800000040.74.2.1
중국이 북한의 3차 핵실험을 만류하기 위해 고위 인사를 북한에 파견하는 방안을 검토중인 것으로 전해졌다.

중국이	중국/NNP+이/JKS
북한의	북한/NNP+의/JKG
3차	3/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
만류하기	만류/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
고위	고위/NNG
인사를	인사/NNG+를/JKO
북한에	북한/NNP+에/JKB
파견하는	파견/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토중인	검토/NNG+중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.74.3.1
베이징의 고위 외교소식통은 28일 “중국 정부가 북한의 핵실험을 막기 위해 여러 방안을 검토하고 있으며 여기에는 대표단을 북한에 파견하는 방안도 포함돼 있다”고 밝혔다.

베이징의	베이징/NNP+의/JKG
고위	고위/NNG
외교소식통은	외교/NNG+소식통/NNG+은/JX
28일	28/SN+일/NNB
“중국	“/SS+중국/NNP
정부가	정부/NNG+가/JKS
북한의	북한/NNP+의/JKG
핵실험을	핵/NNG+실험/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
여러	여러/MMN
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
여기에는	여기/NP+에/JKB+는/JX
대표단을	대표단/NNG+을/JKO
북한에	북한/NNP+에/JKB
파견하는	파견/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
포함돼	포함/NNG+되/XSV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.74.3.2
최근 중국의 고위 외교당국자는 북한의 3차 핵실험 강행 방침에 강한 반대 입장을 밝히면서, 이를 막기 위해 북한에 고위 인사를 파견하는 방안도 “연구하고 있다”고 언급한 것으로 전해졌다.

최근	최근/MAG
중국의	중국/NNP+의/JKG
고위	고위/NNG
외교당국자는	외교/NNG+당국자/NNG+는/JX
북한의	북한/NNP+의/JKG
3차	3/SN+차/NNB
핵실험	핵/NNG+실험/NNG
강행	강행/NNG
방침에	방침/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
반대	반대/NNG
입장을	입장/NNG+을/JKO
밝히면서,	밝히/VV+면서/EC+,/SP
이를	이/NP+를/JKO
