# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.249
metadata : {}


# id : NWRW1800000038.249.1.1
"패기와 열정… 청룡에서 맘껏 뿜어라"

"패기와	"/SS+패기/NNG+와/JC
열정…	열정/NNG+…/SE
청룡에서	청룡/NNG+에서/JKB
맘껏	맘껏/MAG
뿜어라"	뿜/VV+어라/EF+"/SS


# id : NWRW1800000038.249.2.1
전국고교야구선수권 내일 개막… 선배들의 따뜻한 응원

전국고교야구선수권	전국/NNG+고교/NNG+야구/NNG+선수/NNG+권/XSN
내일	내일/MAG
개막…	개막/NNG+…/SE
선배들의	선배/NNG+들/XSN+의/JKG
따뜻한	따뜻하/VA+ㄴ/ETM
응원	응원/NNG


# id : NWRW1800000038.249.3.1
26일 막을 올리는 제68회 청룡기 전국고교야구선수권 대회(조선일보·스포츠조선·대한야구협회 공동주최)는 한국 야구의 산실이다.

26일	26/SN+일/NNB
막을	막/NNG+을/JKO
올리는	올리/VV+는/ETM
제68회	제/XPN+68/SN+회/NNB
청룡기	청룡기/NNG
전국고교야구선수권	전국/NNG+고교/NNG+야구/NNG+선수/NNG+권/XSN
대회(조선일보·스포츠조선·대한야구협회	대회/NNG+(/SS+조선일보/NNP+·/SP+스포츠조선/NNP+·/SP+대한야구협회/NNP
공동주최)는	공동/NNG+주최/NNG+)/SS+는/JX
한국	한국/NNP
야구의	야구/NNG+의/JKG
산실이다.	산실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.249.4.1
최동원(경남고·1976년 우승), 박찬호(공주고·1990년 준우승), 이승엽(경북고·1993년 우승), 류현진(동산고·2005년 우승) 등 한국 야구를 대표하는 선수들이 청룡기를 통해 배우고 성장했다.

최동원(경남고·1976년	최동원/NNP+(/SS+경남고/NNP+·/SP+1976/SN+년/NNB
우승),	우승/NNG+)/SS+,/SP
박찬호(공주고·1990년	박찬호/NNP+(/SS+공주고/NNP+·/SP+1990/SN+년/NNB
준우승),	준/XPN+우승/NNG+)/SS+,/SP
이승엽(경북고·1993년	이승엽/NNP+(/SS+경북고/NNP+·/SP+1993/SN+년/NNB
류현진(동산고·2005년	류현진/NNP+(/SS+동산고/NNP+·/SP+2005/SN+년/NNB
우승)	우승/NNG+)/SS
등	등/NNB
한국	한국/NNP
야구를	야구/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
선수들이	선수/NNG+들/XSN+이/JKS
청룡기를	청룡기/NNG+를/JKO
통해	통하/VV+아/EC
배우고	배우/VV+고/EC
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.4.2
