# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.376
metadata : {}


# id : NWRW1800000049.376.1.1
외신들 “아이들 손잡고 평화시위 인상적”

외신들	외신/NNG+들/XSN
“아이들	“/SS+아이/NNG+들/XSN
손잡고	손잡/VV+고/EC
평화시위	평화/NNG+시위/NNG
인상적”	인상/NNG+적/XSN+”/SS


# id : NWRW1800000049.376.2.1
[역대 최대 ‘190만 촛불’]

[역대	[/SS+역대/NNG
최대	최대/NNG
‘190만	‘/SS+190/SN+만/NR
촛불’]	촛불/NNG+’/SS+]/SS


# id : NWRW1800000049.376.3.1
해외 주요 언론은 5차 주말 촛불집회를 “1987년 민주화 항쟁 이후 최대 규모”라며 평화적인 시위로 마무리한 한국 국민의 성숙한 시민의식을 비중 있게 보도했다.

해외	해외/NNG
주요	주요/NNG
언론은	언론/NNG+은/JX
5차	5/SN+차/NNB
주말	주말/NNG
촛불집회를	촛불/NNG+집회/NNG+를/JKO
“1987년	“/SS+1987/SN+년/NNB
민주화	민주/NNG+화/XSN
항쟁	항쟁/NNG
이후	이후/NNG
최대	최대/NNG
규모”라며	규모/NNG+”/SS+이/VCP+라며/EC
평화적인	평화/NNG+적/XSN+이/VCP+ㄴ/ETM
시위로	시위/NNG+로/JKB
마무리한	마무리/NNG+하/XSV+ㄴ/ETM
한국	한국/NNP
국민의	국민/NNG+의/JKG
성숙한	성숙/NNG+하/XSA+ㄴ/ETM
시민의식을	시민/NNG+의식/NNG+을/JKO
비중	비중/NNG
있게	있/VA+게/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.376.4.1
뉴욕타임스는 “첫눈이 오는 차가운 날씨 속에서도 엄마들은 아이들을 데리고 나왔고, 젊은 커플들은 서로 안은 채 ‘대한민국은 민주공화국이다’라고 노래 불렀다.

뉴욕타임스는	뉴욕타임스/NNP+는/JX
“첫눈이	“/SS+첫눈/NNG+이/JKS
오는	오/VV+는/ETM
차가운	차갑/VA+ㄴ/ETM
날씨	날씨/NNG
속에서도	속/NNG+에서/JKB+도/JX
엄마들은	엄마/NNG+들/XSN+은/JX
아이들을	아이/NNG+들/XSN+을/JKO
데리고	데리/VV+고/EC
나왔고,	나오/VV+았/EP+고/EC+,/SP
젊은	젊/VA+은/ETM
커플들은	커플/NNG+들/XSN+은/JX
서로	서로/MAG
안은	안/VV+은/ETM
채	채/NNB
‘대한민국은	‘/SS+대한민국/NNP+은/JX
민주공화국이다’라고	민주/NNG+공화국/NNG+이/VCP+다/EF+’/SS+라고/JKQ
노래	노래/NNG
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.376.4.2
애완견을 데리고 나온 사람도 있었다”며 대형 집회가 평화로운 분위기 속에서 진행된 점을 높이 평가했다.

애완견을	애완견/NNG+을/JKO
데리고	데리/VV+고/EC
나온	나오/VV+ㄴ/ETM
사람도	사람/NNG+도/JX
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
대형	대형/NNG
집회가	집회/NNG+가/JKS
평화로운	평화/NNG+롭/XSA+ㄴ/ETM
분위기	분위기/NNG
속에서	속/NNG+에서/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
점을	점/NNG+을/JKO
높이	높이/MAG
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.376.4.3
영국 BBC방송도 “5주 동안 계속돼 온 집회에 경찰 2만5000명이 배치됐으나 폭력은 한 건도 보고되지 않았다”고 보도했다.

영국	영국/NNP
BBC방송도	BBC방송/NNP+도/JX
“5주	“/SS+5/SN+주/NNB
동안	동안/NNG
계속돼	계속/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
집회에	집회/NNG+에/JKB
경찰	경찰/NNG
2만5000명이	2/SN+만/NR+5000/SN+명/NNB+이/JKS
배치됐으나	배치/NNG+되/XSV+었/EP+으나/EC
폭력은	폭력/NNG+은/JX
한	한/MMN
건도	건/NNB+도/JX
보고되지	보고/NNG+되/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.376.4.4
독일 국영방송 독일의 소리는 “사람들이 서로 음식과 플래카드, 전단지 등을 나눠 줬다.

독일	독일/NNP
국영방송	국영/NNG+방송/NNG
독일의	독일/NNP+의/JKG
소리는	소리/NNG+는/JX
“사람들이	“/SS+사람/NNG+들/XSN+이/JKS
서로	서로/MAG
음식과	음식/NNG+과/JC
플래카드,	플래카드/NNG+,/SP
전단지	전단지/NNG
등을	등/NNB+을/JKO
나눠	나누/VV+어/EC
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.376.4.5
스피커에서 흘러나오는 음악 소리에 춤을 추는 사람도 있었다”며 축제 같았던 집회 분위기를 전했다.

스피커에서	스피커/NNG+에서/JKB
흘러나오는	흘러나오/VV+는/ETM
음악	음악/NNG
소리에	소리/NNG+에/JKB
춤을	춤/NNG+을/JKO
추는	추/VV+는/ETM
사람도	사람/NNG+도/JX
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
축제	축제/NNG
같았던	같/VA+았/EP+던/ETM
집회	집회/NNG
분위기를	분위기/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.376.5.1
해외 언론은 다양한 아이디어로 자신의 의사를 표현하는 새로운 집회 방식에도 주목했다.

해외	해외/NNG
언론은	언론/NNG+은/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
아이디어로	아이디어/NNG+로/JKB
자신의	자신/NNG+의/JKG
의사를	의사/NNG+를/JKO
표현하는	표현/NNG+하/XSV+는/ETM
새로운	새롭/VA+ㄴ/ETM
집회	집회/NNG
방식에도	방식/NNG+에/JKB+도/JX
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.376.5.2
중국 신화통신은 오후 8시 정각부터 1분간 이어진 ‘저항의 1분 소등’을 소개하며 “어둠은 빛을 이길 수 없다는 메시지를 전달하려고 수많은 촛불을 일제히 껐다가 다시 켜는 행사를 진행했다”고 전했다.

중국	중국/NNP
신화통신은	신화통신/NNP+은/JX
오후	오후/NNG
8시	8/SN+시/NNB
정각부터	정각/NNG+부터/JX
1분간	1/SN+분/NNB+간/XSN
이어진	이어지/VV+ㄴ/ETM
‘저항의	‘/SS+저항/NNG+의/JKG
1분	1/SN+분/NNB
소등’을	소등/NNG+’/SS+을/JKO
소개하며	소개/NNG+하/XSV+며/EC
“어둠은	“/SS+어둠/NNG+은/JX
빛을	빛/NNG+을/JKO
이길	이기/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
메시지를	메시지/NNG+를/JKO
전달하려고	전달/NNG+하/XSV+려고/EC
수많은	수많/VA+은/ETM
촛불을	촛불/NNG+을/JKO
일제히	일제히/MAG
껐다가	끄/VV+었/EP+다가/EC
다시	다시/MAG
켜는	켜/VV+는/ETM
행사를	행사/NNG+를/JKO
진행했다”고	진행/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.376.5.3
AFP통신은 스마트폰 보급률이 가장 높은 한국에서 촛불 애플리케이션을 내려받아 사용하는 새로운 집회 시위 모습을 선보였다고 평가했다.

AFP통신은	AFP통신/NNP+은/JX
스마트폰	스마트폰/NNG
보급률이	보급/NNG+률/XSN+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
한국에서	한국/NNP+에서/JKB
촛불	촛불/NNG
애플리케이션을	애플리케이션/NNG+을/JKO
내려받아	내려받/VV+아/EC
사용하는	사용/NNG+하/XSV+는/ETM
새로운	새롭/VA+ㄴ/ETM
집회	집회/NNG
시위	시위/NNG
모습을	모습/NNG+을/JKO
선보였다고	선보이/VV+었/EP+다고/EC
