# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.45
metadata : {}


# id : NWRW1800000028.45.1.1
“대자본의 국가지배 삼성을 보면 알게돼”

“대자본의	“/SS+대/XPN+자본/NNG+의/JKG
국가지배	국가/NNG+지배/NNG
삼성을	삼성/NNP+을/JKO
보면	보/VV+면/EC
알게돼”	알/VV+게/EC+되/VV+어/EF+”/SS


# id : NWRW1800000028.45.2.1
‘삼성공화국’이란 말이 회자되기 시작한 2005년 6월의 일이다.

‘삼성공화국’이란	‘/SS+삼성/NNP+공화국/NNG+’/SS+이/VCP+란/ETM
말이	말/NNG+이/JKS
회자되기	회자/NNG+되/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
2005년	2005/SN+년/NNB
6월의	6/SN+월/NNB+의/JKG
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.45.2.2
노무현 당시 대통령은 “권력은 이미 시장으로 넘어갔다”는 말로 집권 민주세력의 한계를 자인했다.

노무현	노무현/NNP
당시	당시/NNG
대통령은	대통령/NNG+은/JX
“권력은	“/SS+권력/NNG+은/JX
이미	이미/MAG
시장으로	시장/NNG+으로/JKB
넘어갔다”는	넘어가/VV+았/EP+다/EF+”/SS+는/ETM
말로	말/NNG+로/JKB
집권	집권/NNG
민주세력의	민주/NNG+세력/NNG+의/JKG
한계를	한계/NNG+를/JKO
자인했다.	자인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.45.2.3
왜 세계가 찬탄해 마지않던 한국의 민주화는 한층 진전된 사회경제적 민주화로 이어지지 않고 삼성이라는 대자본의 지배로 귀결했는가.

왜	왜/MAG
세계가	세계/NNG+가/JKS
찬탄해	찬탄/NNG+하/XSV+아/EC
마지않던	마지않/VX+던/ETM
한국의	한국/NNP+의/JKG
민주화는	민주/NNG+화/XSN+는/JX
한층	한층/MAG
진전된	진전/NNG+되/XSV+ㄴ/ETM
사회경제적	사회/NNG+경제/NNG+적/XSN
민주화로	민주/NNG+화/XSN+로/JKB
이어지지	이어지/VV+지/EC
않고	않/VX+고/EC
삼성이라는	삼성/NNP+이/VCP+라는/ETM
대자본의	대/XPN+자본/NNG+의/JKG
지배로	지배/NNG+로/JKB
귀결했는가.	귀결/NNG+하/XSV+았/EP+는가/EF+./SF


# id : NWRW1800000028.45.2.4
이종보(37·성공회대 민주주의연구소)씨가 <민주주의 체제하 ‘자본의 국가 지배’에 관한 연구>라는 박사학위 논문을 통해 규명하려는 것도 이 문제다.

이종보(37·성공회대	이종보/NNP+(/SS+37/SN+·/SP+성공회대/NNP
민주주의연구소)씨가	민주주의/NNG+연구소/NNG+)/SS+씨/NNB+가/JKS
<민주주의	</SS+민주주의/NNG
체제하	체제/NNG+하/XSN
‘자본의	‘/SS+자본/NNG+의/JKG
국가	국가/NNG
지배’에	지배/NNG+’/SS+에/JKB
관한	관하/VV+ㄴ/ETM
연구>라는	연구/NNG+>/SS+이/VCP+라는/ETM
박사학위	박사/NNG+학위/NNG
논문을	논문/NNG+을/JKO
통해	통하/VV+아/EC
규명하려는	규명/NNG+하/XSV+려는/ETM
것도	것/NNB+도/JX
이	이/MMD
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.45.2.5
말하자면 이 논문은 ‘삼성공화국’이란 현상을 국가·제도정치권·시민사회라는 민주주의의 제도 영역에서 진행되는 자본권력 대 민주화 세력의 경합과 각축이라는 틀을 통해 파헤치려는 시도다.

말하자면	말/NNG+하/XSV+자면/EC
이	이/MMD
논문은	논문/NNG+은/JX
‘삼성공화국’이란	‘/SS+삼성/NNP+공화국/NNG+’/SS+이/VCP+란/ETM
현상을	현상/NNG+을/JKO
국가·제도정치권·시민사회라는	국가/NNG+·/SP+제도/NNG+정치/NNG+권/XSN+·/SP+시민/NNG+사회/NNG+이/VCP+라는/ETM
민주주의의	민주주의/NNG+의/JKG
제도	제도/NNG
영역에서	영역/NNG+에서/JKB
진행되는	진행/NNG+되/XSV+는/ETM
자본권력	자본/NNG+권력/NNG
대	대/NNB
민주화	민주/NNG+화/XSN
세력의	세력/NNG+의/JKG
