# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.56
metadata : {}


# id : NWRW1800000054.56.1.1
65억짜리 '고요'

65억짜리	65/SN+억/NR+짜리/XSN
'고요'	'/SS+고요/NNP+'/SS


# id : NWRW1800000054.56.2.1
김환기의 청색점화, 한국 미술품 경매 최고가 경신

김환기의	김환기/NNP+의/JKG
청색점화,	청색/NNG+점화/NNG+,/SP
한국	한국/NNP
미술품	미술품/NNG
경매	경매/NNG
최고가	최고/NNG+가/XSN
경신	경신/NNG


# id : NWRW1800000054.56.3.1
"#310, 3분의 2 끝내다.

"#310,	"/SS+#/SW+310/SN+,/SP
3분의	3/SN+분/XSN+의/JKG
2	2/SN
끝내다.	끝내/VV+다/EF+./SF


# id : NWRW1800000054.56.3.2
마지막 막음은 완전히 말린 다음에 하자.

마지막	마지막/NNG
막음은	막/VV+음/ETN+은/JX
완전히	완전히/MAG
말린	말리/VV+ㄴ/ETM
다음에	다음/NNG+에/JKB
하자.	하/VV+자/EF+./SF


# id : NWRW1800000054.56.3.3
피카소 옹 떠난 후 이렇게도 적막감이 올까."

피카소	피카소/NNP
옹	옹/NNB
떠난	떠나/VV+ㄴ/ETM
후	후/NNG
이렇게도	이렇/VA+게/EC+도/JX
적막감이	적막감/NNG+이/JKS
올까."	오/VV+ㄹ까/EF+./SF+"/SS


# id : NWRW1800000054.56.4.1
뉴욕에서 뇌출혈로 숨을 거두기 1년 전 김환기(1913~1974)가 쓴 1973년 4월 10일 일기다.

뉴욕에서	뉴욕/NNP+에서/JKB
뇌출혈로	뇌출혈/NNG+로/JKB
숨을	숨/NNG+을/JKO
거두기	거두/VV+기/ETN
1년	1/SN+년/NNB
전	전/NNG
김환기(1913~1974)가	김환기/NNP+(/SS+1913/SN+~/SO+1974/SN+)/SS+가/JKS
쓴	쓰/VV+ㄴ/ETM
1973년	1973/SN+년/NNB
4월	4/SN+월/NNB
10일	10/SN+일/NNB
일기다.	일기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.56.4.2
그가 경외하던 파블로 피카소가 죽은 지 이틀 뒤, 김환기는 '고요 #310'을 그리며 거장을 추모했다.

그가	그/NP+가/JKS
경외하던	경외/NNG+하/XSV+던/ETM
파블로	파블로/NNP
피카소가	피카소/NNP+가/JKS
죽은	죽/VV+은/ETM
지	지/NNB
이틀	이틀/NNG
뒤,	뒤/NNG+,/SP
김환기는	김환기/NNP+는/JX
'고요	'/SS+고요/NNG
#310'을	#/SW+310/SN+'/SS+을/JKO
그리며	그리/VV+며/EC
거장을	거장/NNG+을/JKO
추모했다.	추모/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.56.5.1
생의 고독과 적막을 담은 김환기의 청색점화(靑色點畵) 'Tranquility(고요) 5-IV-73 #310'〈사진〉이 한국 현대 미술 경매 최고 판매가를 경신했다.

생의	생/NNG+의/JKG
고독과	고독/NNG+과/JC
적막을	적막/NNG+을/JKO
담은	담/VV+은/ETM
김환기의	김환기/NNP+의/JKG
청색점화(靑色點畵)	청색/NNG+점화/NNG+(/SS+靑色點畵/SH+)/SS
'Tranquility(고요)	'/SS+Tranquility/SL+(/SS+고요/NNG+)/SS
5-IV-73	5/SN+-/SO+IV/SL+-/SO+73/SN
#310'〈사진〉이	#/SW+310/SN+'/SS+〈/SS+사진/NNG+〉/SS+이/JKS
한국	한국/NNP
현대	현대/NNG
미술	미술/NNG
경매	경매/NNG
최고	최고/NNG
판매가를	판매/NNG+가/XSN+를/JKO
경신했다.	경신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.56.5.2
12일 서울 강남구 신사동 K옥션에서 열린 경매에서다.

12일	12/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
신사동	신사동/NNP
K옥션에서	K옥션/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
경매에서다.	경매/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000054.56.5.3
가로 205㎝, 세로 261㎝ 거대한 이 푸른색 추상화는 65억5000만원에 낙찰돼 최고가를 기록했다.

가로	가로/NNG
205㎝,	205/SN+㎝/SW+,/SP
세로	세로/NNG
261㎝	261/SN+㎝/SW
거대한	거대/NNG+하/XSA+ㄴ/ETM
이	이/MMD
푸른색	푸른색/NNG
추상화는	추상화/NNG+는/JX
65억5000만원에	65/SN+억/NR+5000/SN+만/NR+원/NNB+에/JKB
낙찰돼	낙찰/NNG+되/XSV+어/EC
최고가를	최고/NNG+가/XSN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.56.5.4
지난해 11월 서울옥션 홍콩세일에서 김환기의 노란색 전면점화(全面點畵) '12-V-70 #172'가 63억3000만원에 낙찰된 지 불과 5개월 만이다.

지난해	지난해/NNG
11월	11/SN+월/NNB
서울옥션	서울옥션/NNP
홍콩세일에서	홍콩/NNP+세일/NNG+에서/JKB
김환기의	김환기/NNP+의/JKG
노란색	노란색/NNG
전면점화(全面點畵)	전면/NNG+점화/NNG+(/SS+全面點畵/SH+)/SS
'12-V-70	'/SS+12/SN+-/SO+V/SL+-/SO+70/SN
#172'가	#/SW+172/SN+'/SS+가/JKS
63억3000만원에	63/SN+억/NR+3000/SN+만/NR+원/NNB+에/JKB
낙찰된	낙찰/NNG+되/XSV+ㄴ/ETM
지	지/NNB
불과	불과/MAG
5개월	5/SN+개월/NNB
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.56.6.1
'고요'는 밤하늘 은하수를 연상시키는 점들과 화면 한복판을 과감히 분할한 사각의 흰색 띠가 긴장을 불러일으키는 추상화다.

'고요'는	'/SS+고요/NNP+'/SS+는/JX
밤하늘	밤하늘/NNG
은하수를	은하수/NNG+를/JKO
연상시키는	연상/NNG+시키/XSV+는/ETM
점들과	점/NNG+들/XSN+과/JC
화면	화면/NNG
한복판을	한/XPN+복판/NNG+을/JKO
과감히	과감히/MAG
분할한	분할/NNG+하/XSV+ㄴ/ETM
사각의	사각/NNG+의/JKG
흰색	흰색/NNG
띠가	띠/NNG+가/JKS
긴장을	긴장/NNG+을/JKO
불러일으키는	불러일으키/VV+는/ETM
추상화다.	추상화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.56.6.2
박미정 환기미술관장은 "선승들이 명상의 정점에 도달했을 때의 고요가 느껴지는 그림"이라며 "세상의 엄청난 소음 속에서도 명징한 자기세계를 갖고 있는 사람만이 그릴 수 있는 작품"이라고 평했다.

박미정	박미정/NNP
환기미술관장은	환기미술관장/NNG+은/JX
"선승들이	"/SS+선승/NNG+들/XSN+이/JKS
명상의	명상/NNG+의/JKG
정점에	정점/NNG+에/JKB
도달했을	도달/NNG+하/XSV+았/EP+을/ETM
때의	때/NNG+의/JKG
고요가	고요/NNG+가/JKS
느껴지는	느끼/VV+어/EC+지/VX+는/ETM
그림"이라며	그림/NNG+"/SS+이/VCP+라며/EC
"세상의	"/SS+세상/NNG+의/JKG
엄청난	엄청나/VA+ㄴ/ETM
소음	소음/NNG
속에서도	속/NNG+에서/JKB+도/JX
명징한	명징하/VA+ㄴ/ETM
자기세계를	자기/NNG+세계/NNG+를/JKO
갖고	갖/VV+고/EC
있는	있/VA+는/ETM
사람만이	사람/NNG+만/JX+이/JKS
그릴	그리/VV+ㄹ/ETM
수	수/NNB
작품"이라고	작품/NNG+"/SS+이라고/JKQ
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.56.7.1
김환기 불패 신화는 2년 전 시작됐다.

김환기	김환기/NNP
불패	불패/NNG
신화는	신화/NNG+는/JX
2년	2/SN+년/NNB
전	전/NNG
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.56.7.2
2015년 10월 서울옥션 홍콩경매에서 47억2100만원에 낙찰된 '19-Ⅶ-71 #209'가 박수근의 '빨래터'(45억2000만원)를 뛰어넘으면서다.

2015년	2015/SN+년/NNB
10월	10/SN+월/NNB
서울옥션	서울옥션/NNP
홍콩경매에서	홍콩/NNP+경매/NNG+에서/JKB
47억2100만원에	47/SN+억/NR+2100/SN+만/NR+원/NNB+에/JKB
낙찰된	낙찰/NNG+되/XSV+ㄴ/ETM
'19-Ⅶ-71	'/SS+19/SN+-/SO+Ⅶ/SW+-/SO+71/SN
#209'가	#/SW+209/SN+'/SS+가/JKS
박수근의	박수근/NNP+의/JKG
'빨래터'(45억2000만원)를	'/SS+빨래터/NNP+'/SS+(/SS+45/SN+억/NR+2000/SN+만/NR+원/NNB+)/SS+를/JKO
뛰어넘으면서다.	뛰어넘/VV+으면서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000054.56.7.3
이어 지난해 4월 '무제'(1970년작)가 48억6700만원으로 기록을 경신했고, 6월(54억원), 11월(63억3000만원)까지 4차례나 최고가 기록을 갈아치웠다.

이어	이어/MAG
지난해	지난해/NNG
4월	4/SN+월/NNB
'무제'(1970년작)가	'/SS+무제/NNP+'/SS+(/SS+1970/SN+년/NNB+작/NNG+)/SS+가/JKS
48억6700만원으로	48/SN+억/NR+6700/SN+만/NR+원/NNB+으로/JKB
기록을	기록/NNG+을/JKO
경신했고,	경신/NNG+하/XSV+았/EP+고/EC+,/SP
6월(54억원),	6/SN+월/NNB+(/SS+54/SN+억/NR+원/NNB+)/SS+,/SP
11월(63억3000만원)까지	11/SN+월/NNB+(/SS+63/SN+억/NR+3000/SN+만/NR+원/NNB+)/SS+까지/JX
4차례나	4/SN+차례/NNG+나/JX
최고가	최고/NNG+가/XSN
갈아치웠다.	갈/VV+아/EC+치우/VX+었/EP+다/EF+./SF


