# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.34
metadata : {}


# id : NWRW1800000033.34.1.1
칼-총-활 금메달 행진 뒤엔 ‘음지의 밑거름’ 있었네

칼-총-활	칼/NNG+-/SO+총/NNG+-/SO+활/NNG
금메달	금메달/NNG
행진	행진/NNG
뒤엔	뒤/NNG+에/JKB+ㄴ/JX
‘음지의	‘/SS+음지/NNG+의/JKG
밑거름’	밑거름/NNG+’/SS
있었네	있/VA+었/EP+네/EF


# id : NWRW1800000033.34.2.1
■ 대기업들 ‘아낌 없는 지원’

■	■/SW
대기업들	대/XPN+기업/NNG+들/XSN
‘아낌	‘/SS+아낌/NNG
없는	없/VA+는/ETM
지원’	지원/NNG+’/SS


# id : NWRW1800000033.34.3.1
“결승이 열리는 12일까지 머물다 돌아오겠습니다.”

“결승이	“/SS+결승/NNG+이/JKS
열리는	열리/VV+는/ETM
12일까지	12/SN+일/NNB+까지/JX
머물다	머물/VV+다/EC
돌아오겠습니다.”	돌아오/VV+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000033.34.4.1
최태원 SK그룹 회장은 올림픽에 참가한 핸드볼 국가대표팀을 응원하기 위해 5일 영국 런던으로 떠났다.

최태원	최태원/NNP
SK그룹	SK그룹/NNP
회장은	회장/NNG+은/JX
올림픽에	올림픽/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
핸드볼	핸드볼/NNG
국가대표팀을	국가/NNG+대표/NNG+팀/NNG+을/JKO
응원하기	응원/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
5일	5/SN+일/NNB
영국	영국/NNP
런던으로	런던/NNP+으로/JKB
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.34.4.2
최 회장은 스웨덴과의 여자 핸드볼 예선전 경기부터 대표팀의 남은 경기를 모두 응원하고 돌아올 계획이다.

최	최/NNP
회장은	회장/NNG+은/JX
스웨덴과의	스웨덴/NNP+과/JKB+의/JKG
여자	여자/NNG
핸드볼	핸드볼/NNG
예선전	예선전/NNG
경기부터	경기/NNG+부터/JX
대표팀의	대표/NNG+팀/NNG+의/JKG
남은	남/VV+은/ETM
경기를	경기/NNG+를/JKO
모두	모두/MAG
응원하고	응원/NNG+하/XSV+고/EC
돌아올	돌아오/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.34.4.3
결승전까지 지켜보겠다는 것은 한국 대표팀의 선전(善戰)을 의심하지 않는다는 표현이기도 하다.

결승전까지	결승전/NNG+까지/JX
지켜보겠다는	지켜보/VV+겠/EP+다는/ETM
것은	것/NNB+은/JX
한국	한국/NNP
대표팀의	대표/NNG+팀/NNG+의/JKG
선전(善戰)을	선전/NNG+(/SS+善戰/SH+)/SS+을/JKO
의심하지	의심/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
표현이기도	표현/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000033.34.5.1
SK그룹 관계자는 “최 회장은 한국에 머물면서도 대표팀 경기를 모두 TV 중계로 관전하고 현지에 전화를 걸어 격려했다”며 “저녁식사 메뉴를 직접 챙길 정도로 대표팀 지원에 정성을 기울이고 있다”고 전했다.

SK그룹	SK그룹/NNP
관계자는	관계자/NNG+는/JX
“최	“/SS+최/NNP
회장은	회장/NNG+은/JX
한국에	한국/NNP+에/JKB
머물면서도	머물/VV+면서/EC+도/JX
대표팀	대표/NNG+팀/NNG
