# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.339
metadata : {}


# id : NWRW1800000030.339.1.1
[서울시장 보선 D-9] 초박빙… 朴측 "野 숨은 표 7% 이상 있다"

[서울시장	[/SS+서울시장/NNG
보선	보선/NNG
D-9]	D/SL+-/SO+9/SN+]/SS
초박빙…	초/XPN+박빙/NNG+…/SE
朴측	朴/SH+측/NNB
"野	"/SS+野/SH
숨은	숨/VV+은/ETM
표	표/NNG
7%	7/SN+%/SW
이상	이상/NNG
있다"	있/VA+다/EF+"/SS


# id : NWRW1800000030.339.2.1
•나경원·박원순 여론조사 대접전

•나경원·박원순	•/SW+나경원/NNP+·/SP+박원순/NNP
여론조사	여론/NNG+조사/NNG
대접전	대/XPN+접전/NNG


# id : NWRW1800000030.339.3.1
10·26 서울시장 보궐선거가 열흘 앞으로 다가오면서 한나라당 나경원 후보와 범야권 단일 후보인 무소속 박원순 후보가 각종 여론조사에 오차 범위 내의 혼전을 벌이고 있는 것으로 나타나고 있다.

10·26	10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보궐선거가	보궐/NNG+선거/NNG+가/JKS
열흘	열흘/NNG
앞으로	앞/NNG+으로/JKB
다가오면서	다가오/VV+면서/EC
한나라당	한나라당/NNP
나경원	나경원/NNP
후보와	후보/NNG+와/JC
범야권	범/XPN+야권/NNG
단일	단일/NNG
후보인	후보/NNG+이/VCP+ㄴ/ETM
무소속	무/XPN+소속/NNG
박원순	박원순/NNP
후보가	후보/NNG+가/JKS
각종	각종/NNG
여론조사에	여론/NNG+조사/NNG+에/JKB
오차	오차/NNG
범위	범위/NNG
내의	내/NNB+의/JKG
혼전을	혼전/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타나고	나타나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.339.3.2
선거전 초반만 해도 박 후보가 10%포인트 안팎의 차이로 앞서갔으나 선거 열흘을 앞둔 현 시점에서는 초박빙의 접전이 벌어지고 있다.

선거전	선거전/NNG
초반만	초반/NNG+만/JX
해도	하/VV+아도/EC
박	박/NNP
후보가	후보/NNG+가/JKS
10%포인트	10/SN+%/SW+포인트/NNG
안팎의	안팎/NNG+의/JKG
차이로	차이/NNG+로/JKB
앞서갔으나	앞서가/VV+았/EP+으나/EC
선거	선거/NNG
열흘을	열흘/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
현	현/MMD
시점에서는	시점/NNG+에서/JKB+는/JX
초박빙의	초/XPN+박빙/NNG+의/JKG
접전이	접전/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.339.4.1
◇나경원 추격에 판세 혼전

◇나경원	◇/SW+나경원/NNP
추격에	추격/NNG+에/JKB
판세	판세/NNG
혼전	혼전/NNG


# id : NWRW1800000030.339.5.1
선거 초반만 해도 박 후보는 '안철수 바람'에 야권 단일화 경선 승리효과까지 겹치면서 나 후보에 앞서갔다.

선거	선거/NNG
초반만	초반/NNG+만/JX
해도	하/VV+아도/EC
박	박/NNP
후보는	후보/NNG+는/JX
'안철수	'/SS+안철수/NNP
바람'에	바람/NNG+'/SS+에/JKB
야권	야권/NNG
단일화	단일/NNG+화/XSN
경선	경선/NNG
승리효과까지	승리/NNG+효과/NNG+까지/JX
겹치면서	겹치/VV+면서/EC
나	나/NNP
후보에	후보/NNG+에/JKB
앞서갔다.	앞서가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.5.2
그러나 지난 12일 서울신문·엠브레인 여론조사에선 나 후보가 처음으로 박 후보에 3%포인트 앞섰고, 15일 한겨레신문·한국사회여론연구소 조사에선 나 후보가 5.5%포인트 앞섰다.

그러나	그러나/MAJ
지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
서울신문·엠브레인	서울신문/NNP+·/SP+엠브레인/NNP
여론조사에선	여론/NNG+조사/NNG+에서/JKB+ㄴ/JX
나	나/NNP
후보가	후보/NNG+가/JKS
처음으로	처음/NNG+으로/JKB
박	박/NNP
후보에	후보/NNG+에/JKB
3%포인트	3/SN+%/SW+포인트/NNG
앞섰고,	앞서/VV+었/EP+고/EC+,/SP
15일	15/SN+일/NNB
한겨레신문·한국사회여론연구소	한겨레신문/NNP+·/SP+한국사회여론연구소/NNP
조사에선	조사/NNG+에서/JKB+ㄴ/JX
5.5%포인트	5/SN+./SP+5/SN+%/SW+포인트/NNG
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.339.5.3
반면 13일 내일신문·리서치뷰 조사에선 박 후보가 나 후보를 2.5%포인트 이겼다.

반면	반면/NNG
13일	13/SN+일/NNB
내일신문·리서치뷰	내일신문/NNP+·/SP+리서치뷰/NNP
조사에선	조사/NNG+에서/JKB+ㄴ/JX
박	박/NNP
후보가	후보/NNG+가/JKS
나	나/NNP
후보를	후보/NNG+를/JKO
2.5%포인트	2/SN+./SP+5/SN+%/SW+포인트/NNG
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.339.5.4
여론조사 전문가들은 수치상의 우열이 의미 없는 상황이 됐다고 말하고 있다.

여론조사	여론/NNG+조사/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
수치상의	수치/NNG+상/XSN+의/JKG
우열이	우열/NNG+이/JKS
의미	의미/NNG
없는	없/VA+는/ETM
상황이	상황/NNG+이/JKC
됐다고	되/VV+었/EP+다고/EC
말하고	말/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.339.6.1
나 후보측은 "맹추격에 성공했지만 아직 역전은 아니다. 다만 상승세는 분명하다"고 했다.

나	나/NNP
후보측은	후보/NNG+측/NNB+은/JX
"맹추격에	"/SS+맹추격/NNG+에/JKB
성공했지만	성공/NNG+하/XSV+았/EP+지만/EC
아직	아직/MAG
역전은	역전/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF
다만	다만/MAG
상승세는	상승세/NNG+는/JX
분명하다"고	분명/MAG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.6.2
캠프 관계자는 "현 정부에 대한 비판 여론이 높고 야권이 뭉친 상황이라 여전히 불리하다"고 했다.

캠프	캠프/NNG
관계자는	관계자/NNG+는/JX
"현	"/SS+현/MMD
정부에	정부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비판	비판/NNG
여론이	여론/NNG+이/JKS
높고	높/VA+고/EC
야권이	야권/NNG+이/JKS
뭉친	뭉치/VV+ㄴ/ETM
상황이라	상황/NNG+이/VCP+라/EC
여전히	여전히/MAG
불리하다"고	불리/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.6.3
박 후보측은 "나 후보가 바짝 따라오는 것은 사실이지만 판세가 역전될 정도는 아니다"고 했다.

박	박/NNP
후보측은	후보/NNG+측/NNB+은/JX
"나	"/SS+나/NNP
후보가	후보/NNG+가/JKS
바짝	바짝/MAG
따라오는	따라오/VV+는/ETM
것은	것/NNB+은/JX
사실이지만	사실/NNG+이/VCP+지만/EC
판세가	판세/NNG+가/JKS
역전될	역전/NNG+되/XSV+ㄹ/ETM
정도는	정도/NNG+는/JX
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.7.1
◇"야권 숨은 표 5% 이상으로 봐야"

◇"야권	◇/SW+"/SS+야권/NNG
숨은	숨/VV+은/ETM
표	표/NNG
5%	5/SN+%/SW
이상으로	이상/NNG+으로/JKB
봐야"	보/VV+아야/EC+"/SS


# id : NWRW1800000030.339.8.1
주말에 실시된 일부 조사에선 나 후보가 6%포인트가량 앞선 결과도 나왔다.

주말에	주말/NNG+에/JKB
실시된	실시/NNG+되/XSV+ㄴ/ETM
일부	일부/NNG
조사에선	조사/NNG+에서/JKB+ㄴ/JX
나	나/NNP
후보가	후보/NNG+가/JKS
6%포인트가량	6/SN+%/SW+포인트/NNG+가량/XSN
앞선	앞서/VV+ㄴ/ETM
결과도	결과/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.8.2
그런데도 한나라당은 "우리가 3~4%포인트 지고 있다고 봐야 한다"는 말을 하고 있다.

그런데도	그렇/VA+ㄴ데/EC+도/JX
한나라당은	한나라당/NNP+은/JX
"우리가	"/SS+우리/NP+가/JKS
3~4%포인트	3/SN+~/SO+4/SN+%/SW+포인트/NNG
지고	지/VV+고/EC
있다고	있/VX+다고/EC
봐야	보/VV+아야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
말을	말/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.339.8.3
그 이유는 '야권의 숨은 표'(여론조사에 잡히지 않는 야권 지지층) 때문이다.

그	그/MMD
이유는	이유/NNG+는/JX
'야권의	'/SS+야권/NNG+의/JKG
숨은	숨/VV+은/ETM
표'(여론조사에	표/NNG+'/SS+(/SS+여론/NNG+조사/NNG+에/JKB
잡히지	잡히/VV+지/EC
않는	않/VX+는/ETM
야권	야권/NNG
지지층)	지지/NNG+층/XSN+)/SS
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.339.8.4
작년 서울시장 선거에서 오세훈 전 시장은 선거일 직전까지만 해도 15%포인트 이상 앞섰지만 실제 투표에선 0.6%포인트 차이로 신승(辛勝)했다.

작년	작년/NNG
서울시장	서울시장/NNG
선거에서	선거/NNG+에서/JKB
오세훈	오세훈/NNP
전	전/MMD
시장은	시장/NNG+은/JX
선거일	선거일/NNG
직전까지만	직전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
15%포인트	15/SN+%/SW+포인트/NNG
이상	이상/NNG
앞섰지만	앞서/VV+었/EP+지만/EC
실제	실제/NNG
투표에선	투표/NNG+에서/JKB+ㄴ/JX
0.6%포인트	0/SN+./SP+6/SN+%/SW+포인트/NNG
차이로	차이/NNG+로/JKB
신승(辛勝)했다.	신승/NNG+(/SS+辛勝/SH+)/SS+하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.8.5
충남지사·강원지사·인천시장 등 야권 후보가 당선된 지역이 모두 마찬가지였다.

충남지사·강원지사·인천시장	충남/NNP+지사/NNG+·/SP+강원/NNP+지사/NNG+·/SP+인천시장/NNG
등	등/NNB
야권	야권/NNG
후보가	후보/NNG+가/JKS
당선된	당선/NNG+되/XSV+ㄴ/ETM
지역이	지역/NNG+이/JKS
모두	모두/MAG
마찬가지였다.	마찬가지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.339.9.1
박 후보측 우상호 대변인은 "우리측의 숨은 표가 7~8%는 될 것"이라고 했다.

박	박/NNP
후보측	후보/NNG+측/NNB
우상호	우상호/NNP
대변인은	대변인/NNG+은/JX
"우리측의	"/SS+우리/NP+측/NNB+의/JKG
숨은	숨/VV+은/ETM
표가	표/NNG+가/JKS
7~8%는	7/SN+~/SO+8/SN+%/SW+는/JX
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.9.2
나 후보측 안형환 대변인도 "야권의 숨은 표가 최소 5%"라고 했다.

나	나/NNP
후보측	후보/NNG+측/NNB
안형환	안형환/NNP
대변인도	대변인/NNG+도/JX
"야권의	"/SS+야권/NNG+의/JKG
숨은	숨/VV+은/ETM
표가	표/NNG+가/JKS
최소	최소/NNG
5%"라고	5/SN+%/SW+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.9.3
그러나 여론조사 전문가들은 숨은 표를 3~4%대로 봤다.

그러나	그러나/MAJ
여론조사	여론/NNG+조사/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
숨은	숨/VV+은/ETM
표를	표/NNG+를/JKO
3~4%대로	3/SN+~/SO+4/SN+%/SW+대/XSN+로/JKB
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.9.4
그동안 박 후보가 상당히 앞서온 만큼 숨은 지지층이 과거보다 적을 것이란 얘기다.

그동안	그동안/NNG
박	박/NNP
후보가	후보/NNG+가/JKS
상당히	상당히/MAG
앞서온	앞서/VV+어/EC+오/VV+ㄴ/ETM
만큼	만큼/NNB
숨은	숨/VV+은/ETM
지지층이	지지/NNG+층/XSN+이/JKS
과거보다	과거/NNG+보다/JKB
적을	적/VA+을/ETM
것이란	것/NNB+이/VCP+란/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.339.9.5
리서치앤리서치 배종찬 본부장은 "여론조사에 응하지 않거나 (집에 전화가 없어) 조사에서 배제되는 젊은 층이 유권자의 10% 정도인데 투표율 등을 감안하면 숨은 표가 3% 안팎일 것"이라고 했다.

리서치앤리서치	리서치앤리서치/NNP
배종찬	배종찬/NNP
본부장은	본부장/NNG+은/JX
"여론조사에	"/SS+여론/NNG+조사/NNG+에/JKB
응하지	응하/VV+지/EC
않거나	않/VX+거나/EC
(집에	(/SS+집/NNG+에/JKB
전화가	전화/NNG+가/JKS
없어)	없/VA+어/EC+)/SS
조사에서	조사/NNG+에서/JKB
배제되는	배제/NNG+되/XSV+는/ETM
젊은	젊/VA+은/ETM
층이	층/NNG+이/JKS
유권자의	유권자/NNG+의/JKG
10%	10/SN+%/SW
정도인데	정도/NNG+이/VCP+ㄴ데/EC
투표율	투표/NNG+율/XSN
등을	등/NNB+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
숨은	숨/VV+은/ETM
표가	표/NNG+가/JKS
3%	3/SN+%/SW
안팎일	안팎/NNG+이/VCP+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.10.1
◇후보 검증 vs 정권 심판론 누가 셀까

◇후보	◇/SW+후보/NNG
검증	검증/NNG
vs	vs/SL
정권	정권/NNG
심판론	심판/NNG+론/XSN
누가	누구/NP+가/JKS
셀까	세/VA+ㄹ까/EF


# id : NWRW1800000030.339.11.1
여야가 부딪치는 지점은 한나라당의 검증 공세와 야권의 정권 심판론이다.

여야가	여야/NNG+가/JKS
부딪치는	부딪치/VV+는/ETM
지점은	지점/NNG+은/JX
한나라당의	한나라당/NNP+의/JKG
검증	검증/NNG
공세와	공세/NNG+와/JC
야권의	야권/NNG+의/JKG
정권	정권/NNG
심판론이다.	심판/NNG+론/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.339.11.2
한나라당 관계자는 "박 후보의 학력·호적·병역 의혹, 대기업 기부금 문제 등이 먹히면서 박 후보 우세 국면이 깨졌다"며 "다만 이를 표로 연결시키려면 확실한 한 방이 필요하다"고 했다.

한나라당	한나라당/NNP
관계자는	관계자/NNG+는/JX
"박	"/SS+박/NNP
후보의	후보/NNG+의/JKG
학력·호적·병역	학력/NNG+·/SP+호적/NNG+·/SP+병역/NNG
의혹,	의혹/NNG+,/SP
대기업	대/XPN+기업/NNG
기부금	기부금/NNG
문제	문제/NNG
등이	등/NNB+이/JKS
먹히면서	먹히/VV+면서/EC
박	박/NNP
후보	후보/NNG
우세	우세/NNG
국면이	국면/NNG+이/JKS
깨졌다"며	깨지/VV+었/EP+다/EF+"/SS+며/EC
"다만	"/SS+다만/MAG
이를	이/NP+를/JKO
표로	표/NNG+로/JKB
