# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.101
metadata : {}


# id : NWRW1800000052.101.1.1
‘대선 풍향계’ 오하이오, 클린턴 9%p 앞섰다

‘대선	‘/SS+대선/NNG
풍향계’	풍향계/NNG+’/SS
오하이오,	오하이오/NNP+,/SP
클린턴	클린턴/NNP
9%p	9/SN+%p/SW
앞섰다	앞서/VV+었/EP+다/EF


# id : NWRW1800000052.101.2.1
유타 등 ‘공화 텃밭’들도 경합주로

유타	유타/NNP
등	등/NNB
‘공화	‘/SS+공화/NNP
텃밭’들도	텃밭/NNG+’/SS+들/XSN+도/JX
경합주로	경합/NNG+주/NNG+로/JKB


# id : NWRW1800000052.101.3.1
“2차 토론 이후 부동층 차츰 쏠려”

“2차	“/SS+2/SN+차/NNB
토론	토론/NNG
이후	이후/NNG
부동층	부동/NNG+층/XSN
차츰	차츰/MAG
쏠려”	쏠리/VV+어/EF+”/SS


# id : NWRW1800000052.101.4.1
미국 대선 향방을 가늠하는 ‘풍향계’로 꼽히는 오하이오주에서 힐러리 클린턴 민주당 대선 후보가 도널드 트럼프 공화당 대선 후보를 크게 앞서고 있다는 여론조사 결과가 나왔다.

미국	미국/NNP
대선	대선/NNG
향방을	향방/NNG+을/JKO
가늠하는	가늠/NNG+하/XSV+는/ETM
‘풍향계’로	‘/SS+풍향계/NNG+’/SS+로/JKB
꼽히는	꼽히/VV+는/ETM
오하이오주에서	오하이오주/NNP+에서/JKB
힐러리	힐러리/NNP
클린턴	클린턴/NNP
민주당	민주당/NNP
후보가	후보/NNG+가/JKS
도널드	도널드/NNP
트럼프	트럼프/NNP
공화당	공화당/NNP
후보를	후보/NNG+를/JKO
크게	크/VA+게/EC
앞서고	앞서/VV+고/EC
있다는	있/VX+다는/ETM
여론조사	여론/NNG+조사/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.101.4.2
존 에프 케네디가 당선됐던 1960년 대선을 제외하면 1900년 이후 미국 대선에서 오하이오에서 승리한 모든 후보가 백악관에 입성했다.

존	존/NNP
에프	에프/NNP
케네디가	케네디/NNP+가/JKS
당선됐던	당선/NNG+되/XSV+었/EP+던/ETM
1960년	1960/SN+년/NNB
대선을	대선/NNG+을/JKO
제외하면	제외/NNG+하/XSV+면/EC
1900년	1900/SN+년/NNB
이후	이후/NNG
미국	미국/NNP
대선에서	대선/NNG+에서/JKB
오하이오에서	오하이오/NNP+에서/JKB
승리한	승리/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
후보가	후보/NNG+가/JKS
백악관에	백악관/NNP+에/JKB
입성했다.	입성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.101.5.1
오하이오주 볼드윈 월리스 대학이 지역 유권자 1152명을 대상으로 지난 9~12일 실시한 여론조사 결과를 보면, 클린턴은 43% 지지를 얻어 34%에 그친 트럼프를 9%포인트 차이로 크게 앞섰다.

오하이오주	오하이오주/NNP
볼드윈	볼드윈/NNP
월리스	월리스/NNP
대학이	대학/NNG+이/JKS
지역	지역/NNG
유권자	유권자/NNG
1152명을	1152/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
9~12일	9/SN+~/SO+12/SN+일/NNB
실시한	실시/NNG+하/XSV+ㄴ/ETM
여론조사	여론/NNG+조사/NNG
결과를	결과/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
클린턴은	클린턴/NNP+은/JX
43%	43/SN+%/SW
지지를	지지/NNG+를/JKO
얻어	얻/VV+어/EC
34%에	34/SN+%/SW+에/JKB
그친	그치/VV+ㄴ/ETM
트럼프를	트럼프/NNP+를/JKO
9%포인트	9/SN+%포인트/NNG
차이로	차이/NNG+로/JKB
크게	크/VA+게/EC
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.101.5.2
이는 지난 9일 미 정치전문매체 <리얼 클리어 폴리틱스>에서 공개한 오하이오주 평균 지지율 격차 0.5%포인트(클린턴 44.0%, 트럼프 43.5%)에 비해 크게 벌어진 수치다.

이는	이/NP+는/JX
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
미	미/NNP
정치전문매체	정치/NNG+전문/NNG+매체/NNG
<리얼	</SS+리얼/NNP
클리어	클리어/NNP
폴리틱스>에서	폴리틱스/NNP+>/SS+에서/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
오하이오주	오하이오주/NNP
평균	평균/NNG
지지율	지지/NNG+율/XSN
격차	격차/NNG
0.5%포인트(클린턴	0/SN+./SP+5/SN+%포인트/NNG+(/SS+클린턴/NNP
44.0%,	44/SN+./SP+0/SN+%/SW+,/SP
트럼프	트럼프/NNP
43.5%)에	43/SN+./SP+5/SN+%/SW+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
크게	크/VA+게/EC
벌어진	벌어지/VV+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.101.5.3
볼드윈 월리스 대학의 톰 셔튼 교수(정치학)는 “2차 텔레비전 토론 이후 오하이오 부동층이 조금씩 클린턴 쪽으로 기울고 있다”고 말했다.

볼드윈	볼드윈/NNP
월리스	월리스/NNP
대학의	대학/NNG+의/JKG
톰	톰/NNP
셔튼	셔튼/NNP
교수(정치학)는	교수/NNG+(/SS+정치학/NNG+)/SS+는/JX
“2차	“/SS+2/SN+차/NNB
텔레비전	텔레비전/NNG
토론	토론/NNG
이후	이후/NNG
오하이오	오하이오/NNP
부동층이	부동/NNG+층/XSN+이/JKS
조금씩	조금/NNG+씩/XSN
클린턴	클린턴/NNP
쪽으로	쪽/NNB+으로/JKB
기울고	기울/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.101.6.1
같은날 나온 플로리다주 여론조사 결과에서도 클린턴은 47%의 지지율로 트럼프(44%)를 3%포인트 앞섰고, 전날 공개된 펜실베이니아주 여론조사에서도 클린턴은 44% 지지율로 트럼프(40%)를 여유롭게 따돌렸다.

같은날	같/VA+은/ETM+날/NNG
나온	나오/VV+ㄴ/ETM
플로리다주	플로리다주/NNP
여론조사	여론/NNG+조사/NNG
결과에서도	결과/NNG+에서/JKB+도/JX
클린턴은	클린턴/NNP+은/JX
47%의	47/SN+%/SW+의/JKG
지지율로	지지/NNG+율/XSN+로/JKB
트럼프(44%)를	트럼프/NNP+(/SS+44/SN+%/SW+)/SS+를/JKO
3%포인트	3/SN+%포인트/NNG
앞섰고,	앞서/VV+었/EP+고/EC+,/SP
전날	전날/NNG
공개된	공개/NNG+되/XSV+ㄴ/ETM
펜실베이니아주	펜실베이니아주/NNP
여론조사에서도	여론/NNG+조사/NNG+에서/JKB+도/JX
44%	44/SN+%/SW
트럼프(40%)를	트럼프/NNP+(/SS+40/SN+%/SW+)/SS+를/JKO
여유롭게	여유/NNG+롭/XSA+게/EC
따돌렸다.	따돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.101.6.2
플로리다(29명), 펜실베이니아(20명), 오하이오(18명)는 경합주 중에서도 선거인단이 많은 주요 경합주여서 이곳이 늘 역대 대선의 전쟁터였다.

플로리다(29명),	플로리다/NNP+(/SS+29/SN+명/NNB+)/SS+,/SP
펜실베이니아(20명),	펜실베이니아/NNP+(/SS+20/SN+명/NNB+)/SS+,/SP
오하이오(18명)는	오하이오/NNP+(/SS+18/SN+명/NNB+)/SS+는/JX
경합주	경합/NNG+주/NNG
중에서도	중/NNB+에서/JKB+도/JX
선거인단이	선거인단/NNG+이/JKS
많은	많/VA+은/ETM
주요	주요/NNG
경합주여서	경합/NNG+주/NNG+이/VCP+어서/EC
이곳이	이곳/NP+이/JKS
늘	늘/MAG
역대	역대/NNG
대선의	대선/NNG+의/JKG
전쟁터였다.	전쟁터/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.101.6.3
한때 일부 조사에서 트럼프에 뒤지기도 했던 플로리다주에서도 클린턴은 9월26일 1차 텔레비전 토론 이후 지지율 격차를 조금씩 벌리고 있다.

한때	한때/NNG
일부	일부/NNG
조사에서	조사/NNG+에서/JKB
트럼프에	트럼프/NNP+에/JKB
뒤지기도	뒤지/VV+기/ETN+도/JX
했던	하/VX+았/EP+던/ETM
플로리다주에서도	플로리다주/NNP+에서/JKB+도/JX
클린턴은	클린턴/NNP+은/JX
9월26일	9/SN+월/NNB+26/SN+일/NNB
1차	1/SN+차/NNB
텔레비전	텔레비전/NNG
토론	토론/NNG
이후	이후/NNG
지지율	지지/NNG+율/XSN
격차를	격차/NNG+를/JKO
조금씩	조금/NNG+씩/XSN
벌리고	벌리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.101.7.1
이밖에 전통적으로 공화당 텃밭으로 분류되던 지역들마저 경합주로 돌아서고 있다는 건 트럼프에겐 또다른 악재다.

이밖에	이/NP+밖/NNG+에/JKB
전통적으로	전통/NNG+적/XSN+으로/JKB
공화당	공화당/NNP
텃밭으로	텃밭/NNG+으로/JKB
분류되던	분류/NNG+되/XSV+던/ETM
지역들마저	지역/NNG+들/XSN+마저/JX
경합주로	경합/NNG+주/NNG+로/JKB
돌아서고	돌아서/VV+고/EC
있다는	있/VX+다는/ETM
건	거/NNB+ㄴ/JX
트럼프에겐	트럼프/NNP+에게/JKB+ㄴ/JX
또다른	또/MAG+다른/MMD
악재다.	악재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.101.7.2
여론조사 업체 ‘와이투 애널리틱스’가 유타주 유권자 500명을 조사해 12일 공개한 여론조사를 보면, 트럼프와 클린턴은 26%로 동률을 기록했다.

여론조사	여론/NNG+조사/NNG
업체	업체/NNG
‘와이투	‘/SS+와이투/NNP
애널리틱스’가	애널리틱스/NNP+’/SS+가/JKS
유타주	유타주/NNP
유권자	유권자/NNG
500명을	500/SN+명/NNB+을/JKO
조사해	조사/NNG+하/XSV+아/EC
12일	12/SN+일/NNB
공개한	공개/NNG+하/XSV+ㄴ/ETM
여론조사를	여론/NNG+조사/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
트럼프와	트럼프/NNP+와/JKB
클린턴은	클린턴/NNP+은/JX
26%로	26/SN+%/SW+로/JKB
동률을	동률/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.101.7.3
유타주는 1968년 이후 48년 동안 민주당 후보가 이긴 적이 없는 곳이다.

유타주는	유타주/NNP+는/JX
1968년	1968/SN+년/NNB
이후	이후/NNG
48년	48/SN+년/NNB
동안	동안/NNG
민주당	민주당/NNP
후보가	후보/NNG+가/JKS
이긴	이기/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없는	없/VA+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.101.7.4
모르몬교 본산인 이곳에서 모르몬교 출신 무소속 후보 에번 맥멀린이 22%를 얻어 트럼프의 표를 분산한 탓이 크지만, 8월까지만 해도 트럼프 45%, 클린턴 27%의 지지율을 기록했던 것과 비교하면 놀라운 수치다.

모르몬교	모르몬교/NNG
본산인	본산/NNG+이/VCP+ㄴ/ETM
이곳에서	이곳/NP+에서/JKB
출신	출신/NNG
무소속	무/XPN+소속/NNG
후보	후보/NNG
에번	에번/NNP
맥멀린이	맥멀린/NNP+이/JKS
