# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.141
metadata : {}


# id : NWRW1800000022.141.1.1
부풀려지는 무역흑자 무리한 수출독려 탓?

부풀려지는	부풀리/VV+어/EC+지/VX+는/ETM
무역흑자	무역/NNG+흑자/NNG
무리한	무리/NNG+하/XSA+ㄴ/ETM
수출독려	수출/NNG+독려/NNG
탓?	탓/NNG+?/SF


# id : NWRW1800000022.141.2.1
이달 1일 지식경제부는 지난달 무역수지 흑자가 46억1000만달러에 이른다고 발표했다.

이달	이달/NNG
1일	1/SN+일/NNB
지식경제부는	지식/NNG+경제부/NNG+는/JX
지난달	지난달/NNG
무역수지	무역/NNG+수지/NNG
흑자가	흑자/NNG+가/JKS
46억1000만달러에	46/SN+억/NR+1000/SN+만/NR+달러/NNB+에/JKB
이른다고	이르/VV+ㄴ다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.141.2.2
그러나 최근 관세청이 확정 발표한 무역흑자는 42억8600만달러.

그러나	그러나/MAJ
최근	최근/MAG
관세청이	관세청/NNG+이/JKS
확정	확정/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
무역흑자는	무역/NNG+흑자/NNG+는/JX
42억8600만달러.	42/SN+억/NR+8600/SN+만/NR+달러/NNB+./SF


# id : NWRW1800000022.141.2.3
무려 3억2400만달러가 줄었다.

무려	무려/MAG
3억2400만달러가	3/SN+억/NR+2400/SN+만/NR+달러/NNB+가/JKS
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.141.2.4
올 2월 무역흑자도 정부는 3월 초 32억9400만달러라고 했지만, 보름여 후 3억6400만달러가 줄어든 29억3000만달러로 수정했다.

올	올/NNG
2월	2/SN+월/NNB
무역흑자도	무역/NNG+흑자/NNG+도/JX
정부는	정부/NNG+는/JX
3월	3/SN+월/NNB
초	초/NNB
32억9400만달러라고	32/SN+억/NR+9400/SN+만/NR+달러/NNB+이/VCP+라고/EC
했지만,	하/VV+았/EP+지만/EC+,/SP
보름여	보름/NNG+여/XSN
후	후/NNG
3억6400만달러가	3/SN+억/NR+6400/SN+만/NR+달러/NNB+가/JKS
줄어든	줄어들/VV+ㄴ/ETM
29억3000만달러로	29/SN+억/NR+3000/SN+만/NR+달러/NNB+로/JKB
수정했다.	수정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.141.2.5
정부가 발표하는 무역흑자가 왜 고무줄처럼 늘었다 줄었다 하는 걸까?

정부가	정부/NNG+가/JKS
발표하는	발표/NNG+하/XSV+는/ETM
무역흑자가	무역/NNG+흑자/NNG+가/JKS
왜	왜/MAG
고무줄처럼	고무줄/NNG+처럼/JKB
늘었다	늘/VV+었/EP+다/EC
줄었다	줄/VV+었/EP+다/EC
하는	하/VX+는/ETM
걸까?	거/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000022.141.3.1
지식경제부는 자동차와 조선 등 일부 수출기업이 수출 신고를 했다가 갑자기 연기·취소했기 때문이라고 해명했다.

지식경제부는	지식/NNG+경제부/NNG+는/JX
자동차와	자동차/NNG+와/JC
조선	조선/NNG
등	등/NNB
일부	일부/NNG
수출기업이	수출/NNG+기업/NNG+이/JKS
수출	수출/NNG
신고를	신고/NNG+를/JKO
했다가	하/VV+았/EP+다가/EC
갑자기	갑자기/MAG
연기·취소했기	연기/NNG+·/SP+취소/NNG+하/XSV+았/EP+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.141.3.2
지난달 조선 분야에서 1억6000만달러어치, 자동차에선 완성차 2만대 안팎 규모인 2억3000만달러의 수출이 연기·취소된 것으로 알려졌다.

지난달	지난달/NNG
조선	조선/NNG
분야에서	분야/NNG+에서/JKB
1억6000만달러어치,	1/SN+억/NR+6000/SN+만/NR+달러/NNB+어치/XSN+,/SP
자동차에선	자동차/NNG+에서/JKB+ㄴ/JX
완성차	완성차/NNG
2만대	2/SN+만/NR+대/NNB
안팎	안팎/NNG
규모인	규모/NNG+이/VCP+ㄴ/ETM
2억3000만달러의	2/SN+억/NR+3000/SN+만/NR+달러/NNB+의/JKG
수출이	수출/NNG+이/JKS
연기·취소된	연기/NNG+·/SP+취소/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.141.3.3
지경부 관계자는 "기업들이 자체 사정으로 수출을 미룬 것이기 때문에 한두 달 후 다시 수출로 이어질 가능성이 크다"고 말했다.

지경부	지경부/NNG
관계자는	관계자/NNG+는/JX
"기업들이	"/SS+기업/NNG+들/XSN+이/JKS
자체	자체/NNG
사정으로	사정/NNG+으로/JKB
수출을	수출/NNG+을/JKO
미룬	미루/VV+ㄴ/ETM
것이기	것/NNB+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
한두	한두/MMN
달	달/NNB
후	후/NNG
다시	다시/MAG
수출로	수출/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.141.4.1
그러나 일부에선 정부가 수출 및 흑자 규모를 늘리기 위해 무리하게 수출을 독려한 탓이 아니냐는 관측도 나온다.

그러나	그러나/MAJ
일부에선	일부/NNG+에서/JKB+ㄴ/JX
정부가	정부/NNG+가/JKS
수출	수출/NNG
및	및/MAG
흑자	흑자/NNG
규모를	규모/NNG+를/JKO
늘리기	늘리/VV+기/ETN
위해	위하/VV+아/EC
무리하게	무리/NNG+하/XSA+게/EC
수출을	수출/NNG+을/JKO
독려한	독려/NNG+하/XSV+ㄴ/ETM
탓이	탓/NNG+이/JKC
아니냐는	아니/VCN+냐는/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


