# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.359
metadata : {}


# id : NWRW1800000028.359.1.1
미, 지난달 핵폭발 없는 ‘임계전 핵실험’ 실시

미,	미/NNP+,/SP
지난달	지난달/NNG
핵폭발	핵폭발/NNG
없는	없/VA+는/ETM
‘임계전	‘/SS+임계/NNG+전/NNG
핵실험’	핵/NNG+실험/NNG+’/SS
실시	실시/NNG


# id : NWRW1800000028.359.2.1
‘핵무기 없는 세상’을 주창해온 미국의 버락 오바마 대통령이 취임 이래 처음으로 임계전이긴 하지만 핵실험을 실시했다고 <교도통신>이 13일 보도했다.

‘핵무기	‘/SS+핵무기/NNG
없는	없/VA+는/ETM
세상’을	세상/NNG+’/SS+을/JKO
주창해온	주창/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
미국의	미국/NNP+의/JKG
버락	버락/NNP
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
취임	취임/NNG
이래	이래/NNB
처음으로	처음/NNG+으로/JKB
임계전이긴	임계/NNG+전/NNG+이/VCP+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
핵실험을	핵/NNG+실험/NNG+을/JKO
실시했다고	실시/NNG+하/XSV+았/EP+다고/EC
<교도통신>이	</SS+교도통신/NNP+>/SS+이/JKS
13일	13/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.359.3.1
미국 에너지부 산하 국가핵안보국(NNSA)은 지난 9월15일 실시한 이 실험이 성공적으로 이뤄졌다고 12일 밝혔다.

미국	미국/NNP
에너지부	에너지부/NNG
산하	산하/NNG
국가핵안보국(NNSA)은	국가/NNG+핵/NNG+안보국/NNG+(/SS+NNSA/SL+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
9월15일	9/SN+월/NNB+15/SN+일/NNB
실시한	실시/NNG+하/XSV+ㄴ/ETM
이	이/MMD
실험이	실험/NNG+이/JKS
성공적으로	성공/NNG+적/XSN+으로/JKB
