# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.202
metadata : {}


# id : NWRW1800000044.202.1.1
민간잠수사 1명, 구조작업 참여한 첫날 숨져

민간잠수사	민간/NNG+잠수사/NNG
1명,	1/SN+명/NNB+,/SP
구조작업	구조/NNG+작업/NNG
참여한	참여/NNG+하/XSV+ㄴ/ETM
첫날	첫날/NNG
숨져	숨지/VV+어/EF


# id : NWRW1800000044.202.2.1
[한겨레] 기존 민간잠수사들 피로누적

[한겨레]	[/SS+한겨레/NNP+]/SS
기존	기존/NNG
민간잠수사들	민간/NNG+잠수사/NNG+들/XSN
피로누적	피로/NNG+누적/NNG


# id : NWRW1800000044.202.3.1
대체인력으로 투입돼

대체인력으로	대체/NNG+인력/NNG+으로/JKB
투입돼	투입/NNG+되/XSV+어/EF


# id : NWRW1800000044.202.4.1
“입수 10분만에 통신 끊겨…

“입수	“/SS+입수/NNG
10분만에	10/SN+분/NNB+만/NNB+에/JKB
통신	통신/NNG
끊겨…	끊기/VV+어/EC+…/SE


# id : NWRW1800000044.202.5.1
병원 이송했지만 끝내 사망”

병원	병원/NNG
이송했지만	이송/NNG+하/XSV+았/EP+지만/EC
끝내	끝내/MAG
사망”	사망/NNG+”/SS


# id : NWRW1800000044.202.6.1
세월호 침몰 사고 21일째인 6일, 피로가 누적된 기존 민간 잠수사들의 대체인력으로 투입됐던 잠수사 이광욱(53)씨가 수색작업에 참여한 첫날 숨졌다.

세월호	세월호/NNP
침몰	침몰/NNG
사고	사고/NNG
21일째인	21/SN+일/NNB+째/XSN+이/VCP+ㄴ/ETM
6일,	6/SN+일/NNB+,/SP
피로가	피로/NNG+가/JKS
누적된	누적/NNG+되/XSV+ㄴ/ETM
기존	기존/NNG
민간	민간/NNG
잠수사들의	잠수사/NNG+들/XSN+의/JKG
대체인력으로	대체/NNG+인력/NNG+으로/JKB
투입됐던	투입/NNG+되/XSV+었/EP+던/ETM
잠수사	잠수사/NNG
이광욱(53)씨가	이광욱/NNP+(/SS+53/SN+)/SS+씨/NNB+가/JKS
수색작업에	수색/NNG+작업/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
첫날	첫날/NNG
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.202.7.1
세월호 범정부사고대책수습본부는 “오전 6시6분께 입수한 민간 잠수사 이씨가 10분 뒤 통신이 두절돼 구조했으나 자체 호흡이 불가한 상태였으며, 병원으로 이송해 응급처치를 했으나 7시36분께 사망했다”고 밝혔다.

세월호	세월호/NNP
범정부사고대책수습본부는	범/XPN+정부/NNG+사고/NNG+대책/NNG+수습/NNG+본부/NNG+는/JX
“오전	“/SS+오전/NNG
6시6분께	6/SN+시/NNB+6/SN+분/NNB+께/XSN
입수한	입수/NNG+하/XSV+ㄴ/ETM
민간	민간/NNG
잠수사	잠수사/NNG
이씨가	이/NNP+씨/NNB+가/JKS
10분	10/SN+분/NNB
뒤	뒤/NNG
통신이	통신/NNG+이/JKS
두절돼	두절/NNG+되/XSV+어/EC
구조했으나	구조/NNG+하/XSV+았/EP+으나/EC
자체	자체/NNG
호흡이	호흡/NNG+이/JKS
불가한	불가/NNG+하/XSA+ㄴ/ETM
상태였으며,	상태/NNG+이/VCP+었/EP+으며/EC+,/SP
