# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.413
metadata : {}


# id : NWRW1800000048.413.1.1
‘6·15 남북공동행사’ 사실상 무산

‘6·15	‘/SS+6/SN+·/SP+15/SN
남북공동행사’	남북/NNP+공동/NNG+행사/NNG+’/SS
사실상	사실/NNG+상/XSN
무산	무산/NNG


# id : NWRW1800000048.413.2.1
[한겨레] 북 “지역별 분산개최” 서신

[한겨레]	[/SS+한겨레/NNP+]/SS
북	북/NNP
“지역별	“/SS+지역/NNG+별/XSN
분산개최”	분산/NNG+개최/NNG+”/SS
서신	서신/NNG


# id : NWRW1800000048.413.3.1
광복70주년 공동행사도 먹구름

광복70주년	광복/NNG+70/SN+주년/NNB
공동행사도	공동/NNG+행사/NNG+도/JX
먹구름	먹구름/NNG


# id : NWRW1800000048.413.4.1
북한이 6·15공동선언 15돌 기념행사를 남북이 분산 개최하자는 뜻을 밝혀와, 남북 공동 행사 개최는 사실상 어려워졌다.

북한이	북한/NNP+이/JKS
6·15공동선언	6/SN+·/SP+15/SN+공동/NNG+선언/NNG
15돌	15/SN+돌/NNB
기념행사를	기념행사/NNG+를/JKO
남북이	남북/NNP+이/JKS
분산	분산/NNG
개최하자는	개최/NNG+하/XSV+자는/ETM
뜻을	뜻/NNG+을/JKO
밝혀와,	밝히/VV+어/EC+오/VX+아/EC+,/SP
남북	남북/NNP
공동	공동/NNG
행사	행사/NNG
개최는	개최/NNG+는/JX
사실상	사실/NNG+상/XSN
어려워졌다.	어렵/VA+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.413.4.2
광복 70주년 남북공동행사 개최는 물론 박근혜 정부 임기 내 남북관계 개선이 어려울 것이라는 비관론이 나온다.

광복	광복/NNG
70주년	70/SN+주년/NNB
남북공동행사	남북/NNP+공동/NNG+행사/NNG
개최는	개최/NNG+는/JX
물론	물론/MAG
박근혜	박근혜/NNP
정부	정부/NNG
임기	임기/NNG
내	내/NNB
남북관계	남북/NNP+관계/NNG
개선이	개선/NNG+이/JKS
어려울	어렵/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
비관론이	비관/NNG+론/XSN+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.413.5.1
‘광복70돌, 6·15공동선언발표 15돌 민족공동행사 남쪽 준비위원회’(남쪽위) 대변인은 2일 성명을 내 “지난 1일 6·15공동선언실천 북쪽위원회가 서신을 보내와 ‘6·15공동선언 15돌 민족공동행사를 불가피하게 각기 지역별로 분산개최’하자고 제안했다”고 밝혔다.

‘광복70돌,	‘/SS+광복/NNG+70/SN+돌/NNB+,/SP
6·15공동선언발표	6/SN+·/SP+15/SN+공동/NNG+선언/NNG+발표/NNG
15돌	15/SN+돌/NNB
민족공동행사	민족/NNG+공동/NNG+행사/NNG
남쪽	남쪽/NNG
준비위원회’(남쪽위)	준비/NNG+위원회/NNG+’/SS+(/SS+남쪽위/NNG+)/SS
대변인은	대변인/NNG+은/JX
2일	2/SN+일/NNB
성명을	성명/NNG+을/JKO
내	내/VV+어/EC
“지난	“/SS+지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
6·15공동선언실천	6/SN+·/SP+15/SN+공동/NNG+선언/NNG+실천/NNG
북쪽위원회가	북쪽/NNG+위원회/NNG+가/JKS
서신을	서신/NNG+을/JKO
보내와	보내오/VV+아/EC
‘6·15공동선언	‘/SS+6/SN+·/SP+15/SN+공동/NNG+선언/NNG
민족공동행사를	민족/NNG+공동/NNG+행사/NNG+를/JKO
불가피하게	불가피하/VA+게/EC
각기	각기/MAG
지역별로	지역/NNG+별/XSN+로/JKB
분산개최’하자고	분산/NNG+개최/NNG+’/SS+하/XSV+자고/EC
제안했다”고	제안/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.413.6.1
북쪽위는 남쪽 당국의 정치색 배제 요구와 남북 당국간 개최지 갈등을 결렬 이유로 들었다.

북쪽위는	북쪽위/NNG+는/JX
남쪽	남쪽/NNG
당국의	당국/NNG+의/JKG
정치색	정치색/NNG
배제	배제/NNG
요구와	요구/NNG+와/JC
남북	남북/NNP
당국간	당국/NNG+간/NNB
개최지	개최지/NNG
갈등을	갈등/NNG+을/JKO
결렬	결렬/NNG
이유로	이유/NNG+로/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.413.6.2
남쪽 당국이 “순수한 사회문화 차원에서 이루어지는 경우에 6·15공동행사를 허용할 것”이라며 전제조건을 달고, 6·15공동행사 서울 개최에 대한 입장을 아직까지도 밝히지 않고 있다는 것이다.

남쪽	남쪽/NNG
당국이	당국/NNG+이/JKS
“순수한	“/SS+순수/NNG+하/XSA+ㄴ/ETM
사회문화	사회/NNG+문화/NNG
차원에서	차원/NNG+에서/JKB
이루어지는	이루어지/VV+는/ETM
경우에	경우/NNG+에/JKB
6·15공동행사를	6/SN+·/SP+15/SN+공동/NNG+행사/NNG+를/JKO
허용할	허용/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
전제조건을	전제/NNG+조건/NNG+을/JKO
달고,	달/VV+고/EC+,/SP
6·15공동행사	6/SN+·/SP+15/SN+공동/NNG+행사/NNG
서울	서울/NNP
개최에	개최/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
아직까지도	아직/MAG+까지/JX+도/JX
밝히지	밝히/VV+지/EC
않고	않/VX+고/EC
있다는	있/VX+다는/ETM
