# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.361
metadata : {}


# id : NWRW1800000049.361.1.1
[경제 카페]석달 넘도록 소식 없는 産銀-輸銀 쇄신안

[경제	[/SS+경제/NNG
카페]석달	카페/NNG+]/SS+석/MMN+달/NNB
넘도록	넘/VV+도록/EC
소식	소식/NNG
없는	없/VA+는/ETM
産銀-輸銀	産銀/SH+-/SO+輸銀/SH
쇄신안	쇄신안/NNG


# id : NWRW1800000049.361.2.1
기업 구조조정 칼자루 쥔 채권단, 자체 혁신 못하는데 말발 먹힐지…

기업	기업/NNG
구조조정	구조/NNG+조정/NNG
칼자루	칼자루/NNG
쥔	쥐/VV+ㄴ/ETM
채권단,	채권단/NNG+,/SP
자체	자체/NNG
혁신	혁신/NNG
못하는데	못/MAG+하/XSV+는데/EC
말발	말발/NNG
먹힐지…	먹히/VV+ㄹ지/EC+…/SE


# id : NWRW1800000049.361.3.1
6월 23일 KDB산업은행과 한국수출입은행이 각각 뼈를 깎는 쇄신에 나서겠다는 계획을 발표했다.

6월	6/SN+월/NNB
23일	23/SN+일/NNB
KDB산업은행과	KDB산업은행/NNP+과/JC
한국수출입은행이	한국수출입은행/NNP+이/JKS
각각	각각/MAG
뼈를	뼈/NNG+를/JKO
깎는	깎/VV+는/ETM
쇄신에	쇄신/NNG+에/JKB
나서겠다는	나서/VV+겠/EP+다는/ETM
계획을	계획/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.361.3.2
산은은 ‘KDB혁신 추진방안’, 수은은 ‘수은 혁신 및 기능 강화 추진방향’의 쇄신 계획을 내놨다.

산은은	산은/NNP+은/JX
‘KDB혁신	‘/SS+KDB/SL+혁신/NNG
추진방안’,	추진/NNG+방안/NNG+’/SS+,/SP
수은은	수은/NNP+은/JX
‘수은	‘/SS+수은/NNP
혁신	혁신/NNG
및	및/MAG
기능	기능/NNG
강화	강화/NNG
추진방향’의	추진/NNG+방향/NNG+’/SS+의/JKG
쇄신	쇄신/NNG
계획을	계획/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.361.3.3
명칭은 달랐지만 목적은 크게 다르지 않았다.

명칭은	명칭/NNG+은/JX
달랐지만	다르/VA+았/EP+지만/EC
목적은	목적/NNG+은/JX
크게	크/VA+게/EC
다르지	다르/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.361.3.4
대우조선해양, 성동조선 등에 막대한 자금을 투입하고도 부실을 막지 못해 정부의 자본 확충을 받게 된 데 따른 책임을 지겠다는 것이었다.

대우조선해양,	대우조선해양/NNP+,/SP
성동조선	성동조선/NNP
등에	등/NNB+에/JKB
막대한	막대하/VA+ㄴ/ETM
자금을	자금/NNG+을/JKO
투입하고도	투입/NNG+하/XSV+고/EC+도/JX
부실을	부실/NNG+을/JKO
막지	막/VV+지/EC
못해	못하/VX+아/EC
정부의	정부/NNG+의/JKG
자본	자본/NNG
확충을	확충/NNG+을/JKO
받게	받/VV+게/EC
된	되/VV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
책임을	책임/NNG+을/JKO
지겠다는	지/VV+겠/EP+다는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.361.4.1
당시 산은과 수은은 9월 안으로 구체적인 혁신안을 내놓겠다고 약속했다.

당시	당시/NNG
산은과	산은/NNP+과/JC
수은은	수은/NNP+은/JX
9월	9/SN+월/NNB
안으로	안/NNG+으로/JKB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
혁신안을	혁신안/NNG+을/JKO
내놓겠다고	내놓/VV+겠/EP+다고/EC
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.361.4.2
그로부터 석 달 넘게 지났지만 이 약속은 지켜지지 않았다.

그로부터	그/NP+로부터/JKB
석	석/MMN
달	달/NNB
넘게	넘/VV+게/EC
지났지만	지나/VV+았/EP+지만/EC
이	이/MMD
약속은	약속/NNG+은/JX
지켜지지	지키/VV+어/EC+지/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.361.4.3
산은은 지난달 말 부행장 4명을 물갈이했지만 구체적인 혁신안은 아직 내놓지 못하고 있다.

산은은	산은/NNP+은/JX
지난달	지난달/NNG
말	말/NNB
부행장	부행장/NNG
4명을	4/SN+명/NNB+을/JKO
물갈이했지만	물갈이/NNG+하/XSV+았/EP+지만/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
혁신안은	혁신안/NNG+은/JX
아직	아직/MAG
내놓지	내놓/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.361.4.4
이 때문에 산은은 4일 열린 국회 정무위원회 국정감사에서 “왜 아직도 혁신안을 내놓지 못하느냐”는 질타를 받았다.

이	이/NP
때문에	때문/NNB+에/JKB
산은은	산은/NNP+은/JX
4일	4/SN+일/NNB
열린	열리/VV+ㄴ/ETM
국회	국회/NNG
정무위원회	정무/NNG+위원회/NNG
국정감사에서	국정/NNG+감사/NNG+에서/JKB
“왜	“/SS+왜/MAG
아직도	아직/MAG+도/JX
혁신안을	혁신안/NNG+을/JKO
내놓지	내놓/VV+지/EC
못하느냐”는	못하/VX+느냐/EF+”/SS+는/ETM
질타를	질타/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.361.5.1
산은과 수은이 쇄신안 진통을 겪을 것이라는 것은 어느 정도 예상된 일이었다.

산은과	산은/NNP+과/JC
수은이	수은/NNP+이/JKS
쇄신안	쇄신안/NNG
진통을	진통/NNG+을/JKO
겪을	겪/VV+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
것은	것/NNB+은/JX
어느	어느/MMD
정도	정도/NNG
예상된	예상/NNG+되/XSV+ㄴ/ETM
일이었다.	일/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.361.5.2
산은은 8월 김경수 성균관대 교수를 KDB혁신위원회 위원장에 내정하고 혁신안 마련에 나섰다.

산은은	산은/NNP+은/JX
8월	8/SN+월/NNB
김경수	김경수/NNP
성균관대	성균관대/NNP
교수를	교수/NNG+를/JKO
KDB혁신위원회	KDB/SL+혁신/NNG+위원회/NNG
위원장에	위원장/NNG+에/JKB
내정하고	내정/NNG+하/XSV+고/EC
혁신안	혁신안/NNG
마련에	마련/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.361.5.3
