# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.180
metadata : {}


# id : NWRW1800000030.180.1.1
"北에서 결혼했답디까?" 76세 아내는 눈물을 떨궜다

"北에서	"/SS+北/SH+에서/JKB
결혼했답디까?"	결혼/NNG+하/XSV+았/EP+답디까/EF+?/SF+"/SS
76세	76/SN+세/NNB
아내는	아내/NNG+는/JX
눈물을	눈물/NNG+을/JKO
떨궜다	떨구/VV+었/EP+다/EF


# id : NWRW1800000030.180.2.1
•36년 만에 납북 남편 권용만씨 생존 확인한 부인 김영자씨

•36년	•/SW+36/SN+년/NNB
만에	만/NNB+에/JKB
납북	납북/NNG
남편	남편/NNG
권용만씨	권용만/NNP+씨/NNB
생존	생존/NNG
확인한	확인/NNG+하/XSV+ㄴ/ETM
부인	부인/NNG
김영자씨	김영자/NNP+씨/NNB


# id : NWRW1800000030.180.3.1
"결혼했답디까?

"결혼했답디까?	"/SS+결혼/NNG+하/XSV+았/EP+답디까/EF+?/SF


# id : NWRW1800000030.180.3.2
그럼 됐습니다.

그럼	그럼/MAJ
됐습니다.	되/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000030.180.3.3
남자는 여자가 있어야 살지.

남자는	남자/NNG+는/JX
여자가	여자/NNG+가/JKS
있어야	있/VA+어야/EC
살지.	살/VV+지/EF+./SF


# id : NWRW1800000030.180.3.4
북에서라도 오래 편안히 살다가 통일되면 그때 만날 수 있겠죠."

북에서라도	북/NNP+에서/JKB+이/VCP+라도/EC
오래	오래/MAG
편안히	편안히/MAG
살다가	살/VV+다가/EC
통일되면	통일/NNG+되/XSV+면/EC
그때	그때/NNG
만날	만나/VV+ㄹ/ETM
수	수/NNB
있겠죠."	있/VA+겠/EP+죠/EF+./SF+"/SS


# id : NWRW1800000030.180.4.1
늙은 아내는 울었다.

늙은	늙/VV+은/ETM
아내는	아내/NNG+는/JX
울었다.	울/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.180.4.2
1975년 8월 동해상에서 오징어잡이 어선 '천왕호'를 탔다가 납북된 권용만(76)씨의 아내 김영자(76)씨는 진물 같은 눈물을 흘렸다.

1975년	1975/SN+년/NNB
8월	8/SN+월/NNB
동해상에서	동해/NNP+상/XSN+에서/JKB
오징어잡이	오징어잡이/NNG
어선	어선/NNG
'천왕호'를	'/SS+천왕호/NNP+'/SS+를/JKO
탔다가	타/VV+았/EP+다가/EC
납북된	납북/NNG+되/XSV+ㄴ/ETM
권용만(76)씨의	권용만/NNP+(/SS+76/SN+)/SS+씨/NNB+의/JKG
아내	아내/NNG
김영자(76)씨는	김영자/NNP+(/SS+76/SN+)/SS+씨/NNB+는/JX
진물	진물/NNG
같은	같/VA+은/ETM
눈물을	눈물/NNG+을/JKO
흘렸다.	흘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.180.4.3
