# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.137
metadata : {}


# id : NWRW1800000048.137.1.1
아바우드 은신처 급습…1명 사살·여성 1명 자폭

아바우드	아바우드/NNP
은신처	은신처/NNG
급습…1명	급습/NNG+…/SE+1/SN+명/NNB
사살·여성	사살/NNG+·/SP+여성/NNG
1명	1/SN+명/NNB
자폭	자폭/NNG


# id : NWRW1800000048.137.2.1
파리 테러 이후

파리	파리/NNP
테러	테러/NNG
이후	이후/NNG


# id : NWRW1800000048.137.3.1
폭탄터졌던 파리 축구장 근처

폭탄터졌던	폭탄/NNG+터지/VV+었/EP+던/ETM
파리	파리/NNP
축구장	축구장/NNG
근처	근처/NNG


# id : NWRW1800000048.137.4.1
프랑스 경찰, 격렬저항 7명 체포

프랑스	프랑스/NNP
경찰,	경찰/NNG+,/SP
격렬저항	격렬저항/NNG
7명	7/SN+명/NNB
체포	체포/NNG


# id : NWRW1800000048.137.5.1
프랑스 수사당국은 18일 새벽(현지시각) 파리 테러 기획자로 추정되는 압델하미드 아바우드(27) 체포 작전을 벌여 용의자 7명을 체포했다고 밝혔다.

프랑스	프랑스/NNP
수사당국은	수사/NNG+당국/NNG+은/JX
18일	18/SN+일/NNB
새벽(현지시각)	새벽/NNG+(/SS+현지/NNG+시각/NNG+)/SS
파리	파리/NNP
테러	테러/NNG
기획자로	기획자/NNG+로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
압델하미드	압델하미드/NNP
아바우드(27)	아바우드/NNP+(/SS+27/SN+)/SS
체포	체포/NNG
작전을	작전/NNG+을/JKO
벌여	벌이/VV+어/EC
용의자	용의자/NNG
7명을	7/SN+명/NNB+을/JKO
체포했다고	체포/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.137.5.2
용의자 2명이 작전 과정에서 숨졌다.

용의자	용의자/NNG
2명이	2/SN+명/NNB+이/JKS
작전	작전/NNG
과정에서	과정/NNG+에서/JKB
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.137.6.1
프랑스 경찰은 이날 새벽 4시20분께부터 파리 북부 외곽 생드니에서 아바우드가 은신한 것으로 추정된 아파트를 급습했다.

프랑스	프랑스/NNP
경찰은	경찰/NNG+은/JX
이날	이날/NNG
새벽	새벽/NNG
4시20분께부터	4/SN+시/NNB+20/SN+분/NNB+께/XSN+부터/JX
파리	파리/NNP
북부	북부/NNG
외곽	외곽/NNG
생드니에서	생드니/NNP+에서/JKB
아바우드가	아바우드/NNP+가/JKS
은신한	은신/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정된	추정/NNG+되/XSV+ㄴ/ETM
아파트를	아파트/NNG+를/JKO
급습했다.	급습/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.137.6.2
용의자들은 경찰과 총격전을 벌이며 강력히 저항했다.

용의자들은	용의자/NNG+들/XSN+은/JX
경찰과	경찰/NNG+과/JKB
총격전을	총격전/NNG+을/JKO
벌이며	벌이/VV+며/EC
강력히	강력히/MAG
저항했다.	저항/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.137.6.3
여성 용의자 1명은 자살폭탄을 터뜨려 숨지고 남성 용의자는 사살됐다.

여성	여성/NNG
용의자	용의자/NNG
1명은	1/SN+명/NNB+은/JX
자살폭탄을	자살/NNG+폭탄/NNG+을/JKO
터뜨려	터뜨리/VV+어/EC
숨지고	숨지/VV+고/EC
남성	남성/NNG
용의자는	용의자/NNG+는/JX
사살됐다.	사살/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.137.6.4
경찰은 은신처인 아파트에서 남성 3명, 아파트 인근에 숨어 있던 2명 그리고 아파트를 빌려준 집주인 1명 등 모두 7명을 체포했다고 밝혔다.

경찰은	경찰/NNG+은/JX
은신처인	은신처/NNG+이/VCP+ㄴ/ETM
아파트에서	아파트/NNG+에서/JKB
남성	남성/NNG
3명,	3/SN+명/NNB+,/SP
아파트	아파트/NNG
인근에	인근/NNG+에/JKB
숨어	숨/VV+어/EC
있던	있/VX+던/ETM
2명	2/SN+명/NNB
그리고	그리고/MAJ
아파트를	아파트/NNG+를/JKO
빌려준	빌리/VV+어/EC+주/VX+ㄴ/ETM
집주인	집주인/NNG
1명	1/SN+명/NNB
등	등/NNB
모두	모두/MAG
7명을	7/SN+명/NNB+을/JKO
체포했다고	체포/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.137.6.5
작전은 정오께 끝났지만 프랑스 사법당국은 작전 종료 뒤 아바우드가 체포됐는지에 대해서는 밝히지 않았다.

작전은	작전/NNG+은/JX
정오께	정오/NNG+께/XSN
끝났지만	끝나/VV+았/EP+지만/EC
프랑스	프랑스/NNP
사법당국은	사법/NNG+당국/NNG+은/JX
작전	작전/NNG
종료	종료/NNG
뒤	뒤/NNG
아바우드가	아바우드/NNP+가/JKS
체포됐는지에	체포/NNG+되/XSV+었/EP+는지/EF+에/JKB
대해서는	대하/VV+아서/EC+는/JX
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.137.6.6
이 아파트는 지난 13일 밤 테러가 발생한 축구경기장 스타드 드 프랑스에서 2㎞ 정도밖에 떨어지지 않은 곳에 있다.

이	이/MMD
아파트는	아파트/NNG+는/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
밤	밤/NNG
테러가	테러/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
축구경기장	축구/NNG+경기장/NNG
스타드	스타드/NNP
드	드/NNP
프랑스에서	프랑스/NNP+에서/JKB
2㎞	2/SN+㎞/SW
정도밖에	정도/NNG+밖에/JX
떨어지지	떨어지/VV+지/EC
않은	않/VX+은/ETM
곳에	곳/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.137.6.7
경찰은 파리 테러 장소 중 한 곳이었던 바타클랑 공연장 인근 쓰레기통에 버려진 휴대전화에서 단서를 찾았다.

경찰은	경찰/NNG+은/JX
파리	파리/NNP
테러	테러/NNG
장소	장소/NNG
중	중/NNB
한	한/MMN
곳이었던	곳/NNG+이/VCP+었/EP+던/ETM
바타클랑	바타클랑/NNP
공연장	공연장/NNG
인근	인근/NNG
쓰레기통에	쓰레기통/NNG+에/JKB
버려진	버리/VV+어/EC+지/VX+ㄴ/ETM
휴대전화에서	휴대/NNG+전화/NNG+에서/JKB
단서를	단서/NNG+를/JKO
