# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.252
metadata : {}


# id : NWRW1800000038.252.1.1
美검객에 '펜싱 한 수'

美검객에	美/SH+검객/NNG+에/JKB
'펜싱	'/SS+펜싱/NNG
한	한/MMN
수'	수/NNG+'/SS


# id : NWRW1800000038.252.2.1
한·미대학펜싱선수권 개막

한·미대학펜싱선수권	한·미/NNP+대학/NNG+펜싱/NNG+선수/NNG+권/XSN
개막	개막/NNG


# id : NWRW1800000038.252.3.1
한국과 미국의 대학 펜싱 선수들이 실력을 겨루며 우정을 쌓는 제3회 한·미대학펜싱선수권대회가 막을 올린다.

한국과	한국/NNP+과/JC
미국의	미국/NNP+의/JKG
대학	대학/NNG
펜싱	펜싱/NNG
선수들이	선수/NNG+들/XSN+이/JKS
실력을	실력/NNG+을/JKO
겨루며	겨루/VV+며/EC
우정을	우정/NNG+을/JKO
쌓는	쌓/VV+는/ETM
제3회	제/XPN+3/SN+회/NNB
한·미대학펜싱선수권대회가	한·미/NNP+대학/NNG+펜싱/NNG+선수/NNG+권/XSN+대회/NNG+가/JKS
막을	막/NNG+을/JKO
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.252.4.1
13일부터 사흘간 제주 서귀포의 한국국제학교 제주캠퍼스 체육관에서 열리는 이번 대회는 한국대학펜싱연맹이 주최하고 스포츠조선·로러스엔터프라이즈가 공동 주관한다.

13일부터	13/SN+일/NNB+부터/JX
사흘간	사흘/NNG+간/XSN
제주	제주/NNP
서귀포의	서귀포/NNP+의/JKG
한국국제학교	한국국제학교/NNP
제주캠퍼스	제주/NNP+캠퍼스/NNG
체육관에서	체육관/NNG+에서/JKB
열리는	열리/VV+는/ETM
이번	이번/NNG
대회는	대회/NNG+는/JX
한국대학펜싱연맹이	한국대학펜싱연맹/NNP+이/JKS
주최하고	주최/NNG+하/XSV+고/EC
스포츠조선·로러스엔터프라이즈가	스포츠조선/NNP+·/SP+로러스엔터프라이즈/NNP+가/JKS
공동	공동/NNG
주관한다.	주관/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.252.4.2
미국의 브랜다이즈대, 브라운대, 컬럼비아대, 코넬대, 노스웨스턴대, 노틀담대, 프린스턴대, 스탠퍼드대, 펜실베이니아대 등 명문대 출신 선수단 63명이 '펜싱 강국' 한국을 방문해 한 수 배워 가는 자리다.

미국의	미국/NNP+의/JKG
브랜다이즈대,	브랜다이즈대/NNP+,/SP
브라운대,	브라운대/NNP+,/SP
컬럼비아대,	컬럼비아대/NNP+,/SP
코넬대,	코넬대/NNP+,/SP
노스웨스턴대,	노스웨스턴대/NNP+,/SP
노틀담대,	노틀담대/NNP+,/SP
프린스턴대,	프린스턴대/NNP+,/SP
스탠퍼드대,	스탠퍼드대/NNP+,/SP
펜실베이니아대	펜실베이니아대/NNP
등	등/NNB
명문대	명문대/NNG
출신	출신/NNG
선수단	선수단/NNG
63명이	63/SN+명/NNB+이/JKS
'펜싱	'/SS+펜싱/NNG
강국'	강국/NNG+'/SS
한국을	한국/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
한	한/MMN
수	수/NNG
배워	배우/VV+어/EC
가는	가/VX+는/ETM
자리다.	자리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.252.5.1
한국에서는 대구대, 대전대, 동의대, 한국국제대에서 선수단 61명이 참가해 국제 대회 경험을 쌓는다.

한국에서는	한국/NNP+에서/JKB+는/JX
대구대,	대구대/NNP+,/SP
대전대,	대전대/NNP+,/SP
동의대,	동의대/NNP+,/SP
한국국제대에서	한국국제대/NNP+에서/JKB
선수단	선수단/NNG
61명이	61/SN+명/NNB+이/JKS
참가해	참가/NNG+하/XSV+아/EC
국제	국제/NNG
대회	대회/NNG
경험을	경험/NNG+을/JKO
쌓는다.	쌓/VV+는다/EF+./SF


# id : NWRW1800000038.252.6.1
런던올림픽 남자 사브르 단체전 금메달리스트 구본길, 올해 상하이아시아선수권 여자 사브르 단체전 금메달리스트 이라진·윤지수 등 한국을 대표하는 선수들이 대학 시절 이 대회를 거쳐 갔다.

런던올림픽	런던/NNP+올림픽/NNG
남자	남자/NNG
사브르	사브르/NNG
단체전	단체전/NNG
금메달리스트	금메달리스트/NNG
구본길,	구본길/NNP+,/SP
올해	올해/NNG
상하이아시아선수권	상하이/NNP+아시아/NNP+선수/NNG+권/XSN
여자	여자/NNG
이라진·윤지수	이라진/NNP+·/SP+윤지수/NNP
등	등/NNB
한국을	한국/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
선수들이	선수/NNG+들/XSN+이/JKS
대학	대학/NNG
시절	시절/NNG
이	이/MMD
대회를	대회/NNG+를/JKO
거쳐	거치/VV+어/EC
갔다.	가/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.252.6.2
올해 대회에도 남자 플뢰레 문경식·김동수, 여자 플뢰레 홍효진(이상 대구대), 여자 에페 송세라(한국국제대) 등 국가 대표 상비군들이 출전한다.

올해	올해/NNG
대회에도	대회/NNG+에/JKB+도/JX
남자	남자/NNG
플뢰레	플뢰레/NNG
문경식·김동수,	문경식/NNP+·/SP+김동수/NNP+,/SP
여자	여자/NNG
홍효진(이상	홍효진/NNP+(/SS+이상/NNG
대구대),	대구대/NNP+)/SS+,/SP
에페	에페/NNG
송세라(한국국제대)	송세라/NNP+(/SS+한국국제대/NNP+)/SS
등	등/NNB
국가	국가/NNG
대표	대표/NNG
상비군들이	상비군/NNG+들/XSN+이/JKS
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.252.7.1
미국에서 온 참가자들은 경영학·의학·엔지니어링 등을 전공하며 공부와 운동을 병행하는 '학생 선수'들이다.

미국에서	미국/NNP+에서/JKB
온	오/VV+ㄴ/ETM
참가자들은	참가자/NNG+들/XSN+은/JX
경영학·의학·엔지니어링	경영학/NNG+·/SP+의학/NNG+·/SP+엔지니어링/NNG
등을	등/NNB+을/JKO
전공하며	전공/NNG+하/XSV+며/EC
공부와	공부/NNG+와/JC
운동을	운동/NNG+을/JKO
병행하는	병행/NNG+하/XSV+는/ETM
'학생	'/SS+학생/NNG
선수'들이다.	선수/NNG+'/SS+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.252.7.2
올해 전미펜싱선수권 남자 사브르 1위 마이클 밀스(펜실베이니아대), 여자 사브르 3위 그레이시 스톤(프린스턴대) 등이 출전한다.

올해	올해/NNG
전미펜싱선수권	전미/NNG+펜싱/NNG+선수/NNG+권/XSN
남자	남자/NNG
사브르	사브르/NNG
1위	1/SN+위/NNB
마이클	마이클/NNP
밀스(펜실베이니아대),	밀스/NNP+(/SS+펜실베이니아대/NNP+)/SS+,/SP
여자	여자/NNG
3위	3/SN+위/NNB
그레이시	그레이시/NNP
스톤(프린스턴대)	스톤/NNP+(/SS+프린스턴대/NNP+)/SS
등이	등/NNB+이/JKS
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.252.8.1
14일 시상식이 끝난 뒤엔 이들이 직접 연사로 나서 자신의 삶을 소개하는 자리도 마련된다.

14일	14/SN+일/NNB
시상식이	시상식/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤엔	뒤/NNG+에/JKB+ㄴ/JX
이들이	이/NP+들/XSN+이/JKS
직접	직접/MAG
연사로	연사/NNG+로/JKB
나서	나서/VV+어/EC
자신의	자신/NNG+의/JKG
삶을	삶/NNG+을/JKO
소개하는	소개/NNG+하/XSV+는/ETM
자리도	자리/NNG+도/JX
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.252.8.2
스포츠조선과 체육인재육성재단이 공동 기획한 '공부하는 선수, 운동하는 학생' 세미나다.

스포츠조선과	스포츠조선/NNP+과/JC
체육인재육성재단이	체육/NNG+인재/NNG+육성/NNG+재단/NNG+이/JKS
공동	공동/NNG
기획한	기획/NNG+하/XSV+ㄴ/ETM
'공부하는	'/SS+공부/NNG+하/XSV+는/ETM
선수,	선수/NNG+,/SP
운동하는	운동/NNG+하/XSV+는/ETM
학생'	학생/NNG+'/SS
세미나다.	세미나/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.252.8.3
학생 선수들은 물론이고 미국 대학 펜싱팀에서 학생들을 가르쳐온 감독들도 '학생 선수'의 성공적인 사례를 소개한다.

학생	학생/NNG
선수들은	선수/NNG+들/XSN+은/JX
물론이고	물론/NNG+이/VCP+고/EC
미국	미국/NNP
대학	대학/NNG
펜싱팀에서	펜싱/NNG+팀/NNG+에서/JKB
학생들을	학생/NNG+들/XSN+을/JKO
가르쳐온	가르치/VV+어/EC+오/VX+ㄴ/ETM
감독들도	감독/NNG+들/XSN+도/JX
'학생	'/SS+학생/NNG
선수'의	선수/NNG+'/SS+의/JKG
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
사례를	사례/NNG+를/JKO
소개한다.	소개/NNG+하/XSV+ㄴ다/EF+./SF


