# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.22
metadata : {}


# id : NWRW1800000028.22.1.1
중소기업도 세종시 부지 싼값에 입주

중소기업도	중소기업/NNG+도/JX
세종시	세종시/NNP
부지	부지/NNG
싼값에	싼값/NNG+에/JKB
입주	입주/NNG


# id : NWRW1800000028.22.2.1
세종시에 입주하는 중소기업은 3.3㎡당 70만~75만원 수준에서 단지개발이 끝난 토지를 공급받게 될 것으로 보인다.

세종시에	세종시/NNP+에/JKB
입주하는	입주/NNG+하/XSV+는/ETM
중소기업은	중소기업/NNG+은/JX
3.3㎡당	3/SN+./SP+3/SN+㎡/SW+당/XSN
70만~75만원	70/SN+만/NR+~/SO+75/SN+만/NR+원/NNB
수준에서	수준/NNG+에서/JKB
단지개발이	단지/NNG+개발/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
토지를	토지/NNG+를/JKO
공급받게	공급/NNG+받/XSV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.22.3.1
중소기업중앙회 김기문 회장은 18일 서울 여의도 중소기업중앙회에서 기자간담회를 열어 “세종시 132만㎡(40만평) 부지에 첨단·녹색 중소기업 산업단지를 조성하기로 총리실과 기본적인 협의를 마쳤다”고 밝혔다.

중소기업중앙회	중소기업/NNG+중앙회/NNG
김기문	김기문/NNP
회장은	회장/NNG+은/JX
18일	18/SN+일/NNB
서울	서울/NNP
여의도	여의도/NNP
중소기업중앙회에서	중소기업/NNG+중앙회/NNG+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
“세종시	“/SS+세종시/NNP
132만㎡(40만평)	132/SN+만/NR+㎡/SW+(/SS+40/SN+만/NR+평/NNB+)/SS
부지에	부지/NNG+에/JKB
첨단·녹색	첨단/NNG+·/SP+녹색/NNG
중소기업	중소기업/NNG
산업단지를	산업/NNG+단지/NNG+를/JKO
조성하기로	조성/NNG+하/XSV+기/ETN+로/JKB
총리실과	총리실/NNG+과/JKB
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
협의를	협의/NNG+를/JKO
마쳤다”고	마치/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.22.3.2
김 회장은 “중소기업에 제공되는 조성용지는 3.3㎡당 70만~75만원가량”이라며 “이는 대기업에 공급되는 조성용지 가격보다 20만~30만원 저렴한 것”이라고 설명했다.

김	김/NNP
회장은	회장/NNG+은/JX
“중소기업에	“/SS+중소기업/NNG+에/JKB
제공되는	제공/NNG+되/XSV+는/ETM
조성용지는	조성/NNG+용지/NNG+는/JX
3.3㎡당	3/SN+./SP+3/SN+㎡/SW+당/XSN
70만~75만원가량”이라며	70/SN+만/NR+~/SO+75/SN+만/NR+원/NNB+가량/XSN+”/SS+이/VCP+라며/EC
“이는	“/SS+이/NP+는/JX
대기업에	대/XPN+기업/NNG+에/JKB
공급되는	공급/NNG+되/XSV+는/ETM
조성용지	조성/NNG+용지/NNG
가격보다	가격/NNG+보다/JKB
20만~30만원	20/SN+만/NR+~/SO+30/SN+만/NR+원/NNB
저렴한	저렴하/VA+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.22.4.1
세종시에 입주하는 삼성 등 대기업들은 원형지(개발되지 않은 상태의 토지)를 3.3㎡당 36만~40만원에 공급받게 돼 있다.

세종시에	세종시/NNP+에/JKB
입주하는	입주/NNG+하/XSV+는/ETM
삼성	삼성/NNP
등	등/NNB
대기업들은	대/XPN+기업/NNG+들/XSN+은/JX
원형지(개발되지	원형지/NNG+(/SS+개발/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
상태의	상태/NNG+의/JKG
토지)를	토지/NNG+)/SS+를/JKO
3.3㎡당	3/SN+./SP+3/SN+㎡/SW+당/XSN
36만~40만원에	36/SN+만/NR+~/SO+40/SN+만/NR+원/NNB+에/JKB
공급받게	공급/NNG+받/XSV+게/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.22.4.2
대기업이 원형지를 개발할 경우 조성지 기준으로는 3.3㎡당 90만~100만원 수준에 이를 것으로 추정되고 있다.

대기업이	대/XPN+기업/NNG+이/JKS
원형지를	원형지/NNG+를/JKO
개발할	개발/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
조성지	조성지/NNG
기준으로는	기준/NNG+으로/JKB+는/JX
3.3㎡당	3/SN+./SP+3/SN+㎡/SW+당/XSN
90만~100만원	90/SN+만/NR+~/SO+100/SN+만/NR+원/NNB
수준에	수준/NNG+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정되고	추정/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.22.5.1
김기문 회장은 “지난 14일과 15일 국무총리실에 세종시 안 중소기업 전용 녹색단지 조성을 조기 확정해줄 것을 건의했다”며 “세종시기획단에서 첨단·녹색단지존에 ‘첨단중소기업 전용 녹색산업단지’를 조성하기로 했다”고 말했다.

김기문	김기문/NNP
회장은	회장/NNG+은/JX
“지난	“/SS+지나/VV+ㄴ/ETM
14일과	14/SN+일/NNB+과/JC
15일	15/SN+일/NNB
국무총리실에	국무총리실/NNG+에/JKB
세종시	세종시/NNP
안	안/NNG
중소기업	중소기업/NNG
전용	전용/NNG
녹색단지	녹색/NNG+단지/NNG
조성을	조성/NNG+을/JKO
조기	조기/NNG
확정해줄	확정/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
건의했다”며	건의/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“세종시기획단에서	“/SS+세종시/NNP+기획단/NNG+에서/JKB
첨단·녹색단지존에	첨단/NNG+·/SP+녹색/NNG+단지/NNG+존/NNG+에/JKB
‘첨단중소기업	‘/SS+첨단/NNG+중소기업/NNG
녹색산업단지’를	녹색/NNG+산업/NNG+단지/NNG+’/SS+를/JKO
조성하기로	조성/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.22.5.2
또 “세종시 안의 연구·벤처·국제교류 존(zone), 대학·연구타운 존 안 산학단지 등에도 중소기업이 일부 입주할 수 있도록 할 것”이라고 덧붙였다.

또	또/MAG
“세종시	“/SS+세종시/NNP
안의	안/NNG+의/JKG
연구·벤처·국제교류	연구/NNG+·/SP+벤처/NNG+·/SP+국제/NNG+교류/NNG
존(zone),	존/NNG+(/SS+zone/SL+)/SS+,/SP
