# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.177
metadata : {}


# id : NWRW1800000054.177.1.1
[사건 인사이드] 大檢 CSI 문서감정실이 말하는 위조 세계

[사건	[/SS+사건/NNG
인사이드]	인사이드/NNG+]/SS
大檢	大檢/SH
CSI	CSI/SL
문서감정실이	문서/NNG+감정실/NNG+이/JKS
말하는	말/NNG+하/XSV+는/ETM
위조	위조/NNG
세계	세계/NNG


# id : NWRW1800000054.177.2.1
더하거나(가필·加筆) 주저하거나… 위조범은 흔적 남긴다

더하거나(가필·加筆)	더/MAG+하/XSV+거나/EC+(/SS+가필/NNG+·/SP+加筆/SH+)/SS
주저하거나…	주저/NNG+하/XSV+거나/EC+…/SE
위조범은	위조범/NNG+은/JX
흔적	흔적/NNG
남긴다	남기/VV+ㄴ다/EF


# id : NWRW1800000054.177.3.1
지난 2월 말 대검 과학수사부 문서감정실로 광주지검이 '문서 감정(鑑定)을 해 달라'며 수첩을 한 권 보냈다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
말	말/NNB
대검	대검/NNG
과학수사부	과학/NNG+수사부/NNG
문서감정실로	문서/NNG+감정실/NNG+로/JKB
광주지검이	광주지검/NNP+이/JKS
'문서	'/SS+문서/NNG
감정(鑑定)을	감정/NNG+(/SS+鑑定/SH+)/SS+을/JKO
해	하/VV+아/EC
달라'며	달/VX+라/EF+'/SS+며/EC
수첩을	수첩/NNG+을/JKO
한	한/MMN
권	권/NNB
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.177.3.2
경찰서장 서모(48)씨에게 뇌물을 준 혐의로 수사를 받던 의약품 납품 업체 대표 정모씨의 수첩이었다.

경찰서장	경찰서장/NNG
서모(48)씨에게	서/NNP+모/NP+(/SS+48/SN+)/SS+씨/NNB+에게/JKB
뇌물을	뇌물/NNG+을/JKO
준	주/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
수사를	수사/NNG+를/JKO
받던	받/VV+던/ETM
의약품	의약품/NNG
납품	납품/NNG
업체	업체/NNG
대표	대표/NNG
정모씨의	정/NNP+모/NP+씨/NNB+의/JKG
수첩이었다.	수첩/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.177.3.3
광주지검은 경찰의 의약품 불법 리베이트 수사에서 처벌을 받지 않기 위해 정씨가 서씨에게 뇌물을 줬다는 정보를 입수한 상태였지만, '물증'을 확보하지 못한 상태였다.

광주지검은	광주지검/NNP+은/JX
