# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.206
metadata : {}


# id : NWRW1800000053.206.1.1
건물관리인 2명 같은 병실 입원… 말 맞춘 의혹 수사

건물관리인	건물/NNG+관리인/NNG
2명	2/SN+명/NNB
같은	같/VA+은/ETM
병실	병실/NNG
입원…	입원/NNG+…/SE
말	말/NNG
맞춘	맞추/VV+ㄴ/ETM
의혹	의혹/NNG
수사	수사/NNG


# id : NWRW1800000053.206.2.1
충북 제천시 스포츠센터에 불이 난 당일 건물 관리인 두 명이 같은 병실에 입원해 입을 맞춘 의혹을 경찰이 수사 중이다.

충북	충북/NNP
제천시	제천시/NNP
스포츠센터에	스포츠/NNG+센터/NNG+에/JKB
불이	불/NNG+이/JKS
난	나/VV+ㄴ/ETM
당일	당일/NNG
건물	건물/NNG
관리인	관리인/NNG
두	두/MMN
명이	명/NNB+이/JKS
같은	같/VA+은/ETM
병실에	병실/NNG+에/JKB
입원해	입원/NNG+하/XSV+아/EC
입을	입/NNG+을/JKO
맞춘	맞추/VV+ㄴ/ETM
의혹을	의혹/NNG+을/JKO
경찰이	경찰/NNG+이/JKS
수사	수사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.206.2.2
경찰은 “화재 50분 전 천장의 얼음을 깨고 있었다”는 관리인들의 진술이 허위이고 대신 열선 관련 작업을 한 것으로 보고 있다.

경찰은	경찰/NNG+은/JX
“화재	“/SS+화재/NNG
50분	50/SN+분/NNB
전	전/NNG
천장의	천장/NNG+의/JKG
얼음을	얼음/NNG+을/JKO
깨고	깨/VV+고/EC
있었다”는	있/VX+었/EP+다/EF+”/SS+는/ETM
관리인들의	관리인/NNG+들/XSN+의/JKG
진술이	진술/NNG+이/JKS
허위이고	허위/NNG+이/VCP+고/EC
대신	대신/NNG
열선	열선/NNG
관련	관련/NNG
작업을	작업/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.206.3.1
