# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.84
metadata : {}


# id : NWRW1800000046.84.1.1
"얌전하면 랑랑이 아니죠"

"얌전하면	"/SS+얌전/NNG+하/XSA+면/EC
랑랑이	랑랑/NNP+이/JKC
아니죠"	아니/VCN+죠/EF+"/SS


# id : NWRW1800000046.84.2.1
환호로 예술의전당 가득 채웠다, 中 피아니스트 랑랑

환호로	환호/NNG+로/JKB
예술의전당	예술의전당/NNP
가득	가득/MAG
채웠다,	채우/VV+었/EP+다/EF+,/SP
中	中/SH
피아니스트	피아니스트/NNG
랑랑	랑랑/NNP


# id : NWRW1800000046.84.3.1
'수퍼스타'의 귀환이었다.

'수퍼스타'의	'/SS+수퍼스타/NNG+'/SS+의/JKG
귀환이었다.	귀환/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.84.3.2
8일 저녁 예술의전당 콘서트홀.

8일	8/SN+일/NNB
저녁	저녁/NNG
예술의전당	예술의전당/NNP
콘서트홀.	콘서트홀/NNG+./SF


# id : NWRW1800000046.84.3.3
중국 인기 피아니스트 랑랑(郞朗·33)이 나오자 박수와 환호가 뒤섞였다.

중국	중국/NNP
인기	인기/NNG
피아니스트	피아니스트/NNG
랑랑(郞朗·33)이	랑랑/NNP+(/SS+郞朗/SH+·/SP+33/SN+)/SS+이/JKS
나오자	나오/VV+자/EC
박수와	박수/NNG+와/JC
환호가	환호/NNG+가/JKS
뒤섞였다.	뒤섞이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.84.3.4
첫 곡은 1년 열두 달의 풍경을 세밀화처럼 그려낸 차이콥스키의 '사계'.

첫	첫/MMN
곡은	곡/NNG+은/JX
1년	1/SN+년/NNB
열두	열두/MMN
달의	달/NNB+의/JKG
풍경을	풍경/NNG+을/JKO
세밀화처럼	세밀화/NNG+처럼/JKB
그려낸	그리/VV+어/EC+내/VX+ㄴ/ETM
차이콥스키의	차이콥스키/NNP+의/JKG
'사계'.	'/SS+사계/NNP+'/SS+./SF


# id : NWRW1800000046.84.3.5
현란한 기교, 또랑또랑한 음색이 특징인 이 피아니스트는 추운 겨울 타오르는 화롯불을 시작으로 봄날의 종달새와 물 위를 가르는 곤돌라, 사냥꾼들의 질주를 우아하게 쏟아냈다.

현란한	현란/NNG+하/XSA+ㄴ/ETM
기교,	기교/NNG+,/SP
또랑또랑한	또랑또랑/MAG+하/XSA+ㄴ/ETM
음색이	음색/NNG+이/JKS
특징인	특징/NNG+이/VCP+ㄴ/ETM
이	이/MMD
피아니스트는	피아니스트/NNG+는/JX
추운	춥/VA+ㄴ/ETM
겨울	겨울/NNG
타오르는	타오르/VV+는/ETM
화롯불을	화롯불/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
봄날의	봄날/NNG+의/JKG
종달새와	종달새/NNG+와/JC
물	물/NNG
위를	위/NNG+를/JKO
가르는	가르/VV+는/ETM
곤돌라,	곤돌라/NNG+,/SP
사냥꾼들의	사냥/NNG+꾼/XSN+들/XSN+의/JKG
질주를	질주/NNG+를/JKO
우아하게	우아하/VA+게/EC
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.84.3.6
청중은 바흐의 '이탈리안 콘체르토'에선 경쾌하게 어깨를 들썩이고, 달콤하게 속삭이는 쇼팽 '4개의 스케르초' 2번에선 숨을 죽였다.

청중은	청중/NNG+은/JX
바흐의	바흐/NNP+의/JKG
'이탈리안	'/SS+이탈리안/NNG
콘체르토'에선	콘체르토/NNG+'/SS+에서/JKB+ㄴ/JX
경쾌하게	경쾌하/VA+게/EC
어깨를	어깨/NNG+를/JKO
들썩이고,	들썩이/VV+고/EC+,/SP
달콤하게	달콤하/VA+게/EC
속삭이는	속삭이/VV+는/ETM
쇼팽	쇼팽/NNP
