# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.126
metadata : {}


# id : NWRW1800000049.126.1.1
객석의자 한 개 가격이 100만원… 명품 클래식 공연장이 온다

객석의자	객석/NNG+의자/NNG
한	한/MMN
개	개/NNB
가격이	가격/NNG+이/JKS
100만원…	100/SN+만/NR+원/NNB+…/SE
명품	명품/NNG
클래식	클래식/NNG
공연장이	공연장/NNG+이/JKS
온다	오/VV+ㄴ다/EF


# id : NWRW1800000049.126.2.1
19일 개관 롯데콘서트홀의 ‘숨은 1인치’

19일	19/SN+일/NNB
개관	개관/NNG
롯데콘서트홀의	롯데콘서트홀/NNP+의/JKG
‘숨은	‘/SS+숨/VV+은/ETM
1인치’	1/SN+인치/NNB+’/SS


# id : NWRW1800000049.126.3.1
클래식 전용 공연장인 롯데콘서트홀(서울 송파구 롯데월드몰)이 19일 개관한다.

클래식	클래식/NNG
전용	전용/NNG
공연장인	공연장/NNG+이/VCP+ㄴ/ETM
롯데콘서트홀(서울	롯데콘서트홀/NNP+(/SS+서울/NNP
송파구	송파구/NNP
롯데월드몰)이	롯데월드몰/NNP+)/SS+이/JKS
19일	19/SN+일/NNB
개관한다.	개관/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.126.4.1
개막 공연으로는 작곡가 진은숙의 세계 초연곡 ‘별들의 아이들의 노래’와 생상스 교향곡 3번이 정명훈 지휘의 서울시립교향악단 연주로 무대에 오른다.

개막	개막/NNG
공연으로는	공연/NNG+으로/JKB+는/JX
작곡가	작곡가/NNG
진은숙의	진은숙/NNP+의/JKG
세계	세계/NNG
초연곡	초연곡/NNG
‘별들의	‘/SS+별/NNG+들/XSN+의/JKG
아이들의	아이/NNG+들/XSN+의/JKG
노래’와	노래/NNG+’/SS+와/JC
생상스	생상스/NNP
교향곡	교향곡/NNG
3번이	3/SN+번/NNB+이/JKS
정명훈	정명훈/NNP
지휘의	지휘/NNG+의/JKG
서울시립교향악단	서울시립교향악단/NNP
연주로	연주/NNG+로/JKB
무대에	무대/NNG+에/JKB
오른다.	오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.126.4.2
연말까지 정상급 연주자들이 참여하는 22개의 공연이 이어진다.

연말까지	연말/NNG+까지/JX
정상급	정상급/NNG
연주자들이	연주자/NNG+들/XSN+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
22개의	22/SN+개/NNB+의/JKG
공연이	공연/NNG+이/JKS
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.126.4.3
롯데콘서트홀의 ‘숨은 1인치’들을 소개한다.

롯데콘서트홀의	롯데콘서트홀/NNP+의/JKG
‘숨은	‘/SS+숨/VV+은/ETM
1인치’들을	1/SN+인치/NNB+’/SS+들/XSN+을/JKO
소개한다.	소개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.126.5.1
▽높낮이 조절 무대=롯데콘서트홀의 무대 높이는 연주자들의 취향대로 위아래로 조절할 수 있다.

▽높낮이	▽/SW+높낮이/NNG
조절	조절/NNG
무대=롯데콘서트홀의	무대/NNG+=/SW+롯데콘서트홀/NNP+의/JKG
무대	무대/NNG
높이는	높이/NNG+는/JX
연주자들의	연주자/NNG+들/XSN+의/JKG
취향대로	취향/NNG+대로/JX
위아래로	위아래/NNG+로/JKB
조절할	조절/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.126.5.2
국내 최초다.

국내	국내/NNG
최초다.	최초/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.126.5.3
독주회, 실내악 등 소규모 공연부터 오케스트라, 합창 같은 대규모 공연까지 다양한 형태의 공연 특성에 맞춰 무대가 움직인다.

독주회,	독주회/NNG+,/SP
실내악	실내악/NNG
등	등/NNB
소규모	소/XPN+규모/NNG
공연부터	공연/NNG+부터/JX
오케스트라,	오케스트라/NNG+,/SP
합창	합창/NNG
같은	같/VA+은/ETM
대규모	대/XPN+규모/NNG
공연까지	공연/NNG+까지/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
형태의	형태/NNG+의/JKG
공연	공연/NNG
특성에	특성/NNG+에/JKB
맞춰	맞추/VV+어/EC
무대가	무대/NNG+가/JKS
움직인다.	움직이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.126.5.4
25, 27일 ‘천인 교향곡’을 무대에 올리는 지휘자 임헌정은 리허설 때 무대 높이를 3cm 낮춰 보며 음향을 조절했다.

25,	25/SN+,/SP
27일	27/SN+일/NNB
‘천인	‘/SS+천/NR+인/NNG
교향곡’을	교향곡/NNG+’/SS+을/JKO
무대에	무대/NNG+에/JKB
올리는	올리/VV+는/ETM
지휘자	지휘자/NNG
임헌정은	임헌정/NNP+은/JX
리허설	리허설/NNG
때	때/NNG
무대	무대/NNG
높이를	높이/NNG+를/JKO
3cm	3/SN+cm/SW
낮춰	낮추/VV+어/EC
보며	보/VV+며/EC
음향을	음향/NNG+을/JKO
조절했다.	조절/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.126.6.1
▽2억 원대 피아노 6대=세계적으로 유명한 스타인웨이 사의 피아노가 무려 6대나 비치돼 있다.

