# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.136
metadata : {}


# id : NWRW1800000029.136.1.1
‘미식축구 전설’ 무너뜨린 거짓말

‘미식축구	‘/SS+미식축구/NNG
전설’	전설/NNG+’/SS
무너뜨린	무너뜨리/VV+ㄴ/ETM
거짓말	거짓말/NNG


# id : NWRW1800000029.136.2.1
‘상원의원’ 별명 트레슬 감독… 재임때 ‘선수 불법후원금’등 비리 덮어오다 들통나 퇴진

‘상원의원’	‘/SS+상원/NNG+의원/NNG+’/SS
별명	별명/NNG
트레슬	트레슬/NNP
감독…	감독/NNG+…/SE
재임때	재임/NNG+때/NNG
‘선수	‘/SS+선수/NNG
불법후원금’등	불법/NNG+후원금/NNG+’/SS+등/NNB
비리	비리/NNG
덮어오다	덮/VV+어/EC+오/VX+다/EC
들통나	들통나/VV+아/EC
퇴진	퇴진/NNG


# id : NWRW1800000029.136.3.1
미국 주요 언론은 지난달 30일 한 대학 미식축구팀 감독의 퇴진을 두고 떠들썩했다.

미국	미국/NNP
주요	주요/NNG
언론은	언론/NNG+은/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
한	한/MMN
대학	대학/NNG
미식축구팀	미식축구/NNG+팀/NNG
감독의	감독/NNG+의/JKG
퇴진을	퇴진/NNG+을/JKO
두고	두/VV+고/EC
떠들썩했다.	떠들썩하/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.136.4.1
2001년부터 미국대학체육협회(NCAA) 산하 오하이오주립대 미식축구팀 버카이스를 이끌어온 짐 트레슬 종신감독(58·사진)에 대한 충격 때문이다.

2001년부터	2001/SN+년/NNB+부터/JX
미국대학체육협회(NCAA)	미국대학체육협회/NNP+(/SS+NCAA/SL+)/SS
산하	산하/NNG
오하이오주립대	오하이오주립대/NNP
미식축구팀	미식축구/NNG+팀/NNG
버카이스를	버카이스/NNP+를/JKO
이끌어온	이끌/VV+어/EC+오/VX+ㄴ/ETM
짐	짐/NNP
트레슬	트레슬/NNP
종신감독(58·사진)에	종신/NNG+감독/NNG+(/SS+58/SN+·/SP+사진/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
충격	충격/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.136.4.2
그는 대학 미식축구팀 감독으로는 드물게 ‘상원의원’이라는 명예로운 별명으로 불리며 미식축구계와 팬들의 존경을 한 몸에 받아왔다.

그는	그/NP+는/JX
대학	대학/NNG
미식축구팀	미식축구/NNG+팀/NNG
감독으로는	감독/NNG+으로/JKB+는/JX
드물게	드물/VA+게/EC
‘상원의원’이라는	‘/SS+상원/NNG+의원/NNG+’/SS+이/VCP+라는/ETM
명예로운	명예/NNG+롭/XSA+ㄴ/ETM
별명으로	별명/NNG+으로/JKB
불리며	불리/VV+며/EC
미식축구계와	미식축구/NNG+계/XSN+와/JC
팬들의	팬/NNG+들/XSN+의/JKG
존경을	존경/NNG+을/JKO
한	한/MMN
몸에	몸/NNG+에/JKB
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.136.4.3
흐트러짐 없는 처신과 진솔함, 꾸준한 성실함이 혈기 왕성한 대학 선수들을 효과적으로 지도하는 독특한 통솔력과 조화를 이뤘기 때문이다.

흐트러짐	흐트러지/VV+ㅁ/ETN
없는	없/VA+는/ETM
처신과	처신/NNG+과/JC
진솔함,	진솔하/VA+ㅁ/ETN+,/SP
꾸준한	꾸준하/VA+ㄴ/ETM
성실함이	성실/NNG+하/XSA+ㅁ/ETN+이/JKS
혈기	혈기/NNG
왕성한	왕성/NNG+하/XSA+ㄴ/ETM
대학	대학/NNG
선수들을	선수/NNG+들/XSN+을/JKO
효과적으로	효과/NNG+적/XSN+으로/JKB
지도하는	지도/NNG+하/XSV+는/ETM
독특한	독특/NNG+하/XSA+ㄴ/ETM
통솔력과	통솔력/NNG+과/JC
조화를	조화/NNG+를/JKO
이뤘기	이루/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.136.4.4
트레슬 감독이 거둔 통산 241승이라는 기록적인 성과는 그의 능력에 따른 당연한 결과로 받아들여지고 있었다.

트레슬	트레슬/NNP
감독이	감독/NNG+이/JKS
거둔	거두/VV+ㄴ/ETM
통산	통산/NNG
241승이라는	241/SN+승/NNB+이/VCP+라는/ETM
기록적인	기록/NNG+적/XSN+이/VCP+ㄴ/ETM
성과는	성과/NNG+는/JX
그의	그/NP+의/JKG
능력에	능력/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
당연한	당연/NNG+하/XSA+ㄴ/ETM
결과로	결과/NNG+로/JKB
받아들여지고	받아들이/VV+어/EC+지/VX+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.136.5.1
그의 퇴진은 한마디로 거짓말 때문이다.

그의	그/NP+의/JKG
퇴진은	퇴진/NNG+은/JX
한마디로	한마디/NNG+로/JKB
거짓말	거짓말/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.136.5.2
미국 CNN방송은 이날 스포츠전문지 스포츠일러스트레이티드(SI)의 심층취재를 인용해 “트레슬 감독이 자신의 재임 기간에 선수들이 저지른 규정 위반 행위를 알고도 모른 척했다는 사실이 드러나 책임을 지고 사임했다”고 전했다.

미국	미국/NNP
CNN방송은	CNN/SL+방송/NNG+은/JX
이날	이날/NNG
스포츠전문지	스포츠/NNG+전문지/NNG
스포츠일러스트레이티드(SI)의	스포츠일러스트레이티드/NNP+(/SS+SI/SL+)/SS+의/JKG
심층취재를	심층/NNG+취재/NNG+를/JKO
인용해	인용/NNG+하/XSV+아/EC
“트레슬	“/SS+트레슬/NNP
감독이	감독/NNG+이/JKS
자신의	자신/NNG+의/JKG
재임	재임/NNG
기간에	기간/NNG+에/JKB
선수들이	선수/NNG+들/XSN+이/JKS
저지른	저지르/VV+ㄴ/ETM
규정	규정/NNG
위반	위반/NNG
행위를	행위/NNG+를/JKO
알고도	알/VV+고/EC+도/JX
모른	모르/VV+ㄴ/ETM
척했다는	척/NNB+하/XSV+았/EP+다는/ETM
사실이	사실/NNG+이/JKS
드러나	드러나/VV+아/EC
책임을	책임/NNG+을/JKO
지고	지/VV+고/EC
사임했다”고	사임/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.136.6.1
지난해 12월 대학 당국은 쿼터백(공격 지휘 선수) 테럴 프라이어 등 선수 5명이 한 문신숍에서 돈이 아닌 유니폼을 주고 공짜로 문신을 새긴 사실이 드러나 다섯 경기 출장 정지 처분을 받았다고 발표했다.

지난해	지난해/NNG
12월	12/SN+월/NNB
대학	대학/NNG
당국은	당국/NNG+은/JX
쿼터백(공격	쿼터백/NNG+(/SS+공격/NNG
지휘	지휘/NNG
선수)	선수/NNG+)/SS
테럴	테럴/NNP
프라이어	프라이어/NNP
등	등/NNB
선수	선수/NNG
5명이	5/SN+명/NNB+이/JKS
한	한/MMN
문신숍에서	문신/NNG+숍/NNG+에서/JKB
돈이	돈/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
유니폼을	유니폼/NNG+을/JKO
주고	주/VV+고/EC
공짜로	공짜/NNG+로/JKB
문신을	문신/NNG+을/JKO
새긴	새기/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러나	드러나/VV+아/EC
다섯	다섯/NR
경기	경기/NNG
출장	출장/NNG
정지	정지/NNG
처분을	처분/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.136.6.2
NCAA 윤리 규정 위반이기 때문이었다.

NCAA	NCAA/SL
윤리	윤리/NNG
규정	규정/NNG
위반이기	위반/NNG+이/VCP+기/ETN
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.136.6.3
문제는 규정 준수 서약을 한 트레슬 감독이 이 사실을 전해 듣고도 학교당국에 알리지 않은 것.

문제는	문제/NNG+는/JX
규정	규정/NNG
준수	준수/NNG
서약을	서약/NNG+을/JKO
한	하/VV+ㄴ/ETM
트레슬	트레슬/NNP
감독이	감독/NNG+이/JKS
이	이/MMD
사실을	사실/NNG+을/JKO
전해	전하/VV+아/EC
듣고도	듣/VV+고/EC+도/JX
학교당국에	학교/NNG+당국/NNG+에/JKB
알리지	알리/VV+지/EC
않은	않/VX+은/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.136.6.4
특히 트레슬 감독은 지난해 12월 NCAA 및 대학 당국 조사 때 거짓말로 파문을 덮으려 했다.

특히	특히/MAG
트레슬	트레슬/NNP
감독은	감독/NNG+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
NCAA	NCAA/SL
및	및/MAG
대학	대학/NNG
당국	당국/NNG
조사	조사/NNG
때	때/NNG
거짓말로	거짓말/NNG+로/JKB
파문을	파문/NNG+을/JKO
덮으려	덮/VV+으려/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.136.6.5
그러나 조사 결과 2002년부터 적어도 28명의 선수가 유니폼 등 기념품을 팔아 문신을 하거나 마리화나(대마초)를 사고 불법적인 후원금과 승용차를 선물로 받아온 것으로 드러났다.

그러나	그러나/MAJ
조사	조사/NNG
결과	결과/NNG
2002년부터	2002/SN+년/NNB+부터/JX
적어도	적어도/MAG
28명의	28/SN+명/NNB+의/JKG
선수가	선수/NNG+가/JKS
유니폼	유니폼/NNG
등	등/NNB
기념품을	기념품/NNG+을/JKO
팔아	팔/VV+아/EC
문신을	문신/NNG+을/JKO
하거나	하/VV+거나/EC
마리화나(대마초)를	마리화나/NNG+(/SS+대마초/NNG+)/SS+를/JKO
사고	사/VV+고/EC
불법적인	불법/NNG+적/XSN+이/VCP+ㄴ/ETM
후원금과	후원금/NNG+과/JC
승용차를	승용차/NNG+를/JKO
선물로	선물/NNG+로/JKB
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.136.7.1
