# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.77
metadata : {}


# id : NWRW1800000030.77.1.1
[동인문학상 1955~2011] 권여선·최제훈·편혜영·최수철 최종 후보에

[동인문학상	[/SS+동인/NNP+문학상/NNG
1955~2011]	1955/SN+~/SO+2011/SN+]/SS
권여선·최제훈·편혜영·최수철	권여선/NNP+·/SP+최제훈/NNP+·/SP+편혜영/NNP+·/SP+최수철/NNP
최종	최종/NNG
후보에	후보/NNG+에/JKB


# id : NWRW1800000030.77.2.1
•2011 동인문학상 최종심 진출작 4편 확정… 내달 수상작 발표

•2011	•/SW+2011/SN
동인문학상	동인/NNP+문학상/NNG
최종심	최종심/NNG
진출작	진출작/NNG
4편	4/SN+편/NNB
확정…	확정/NNG+…/SE
내달	내달/NNG
수상작	수상작/NNG
발표	발표/NNG


# id : NWRW1800000030.77.3.1
‘2011 동인문학상’ 최종심 진출작이 4편으로 압축됐다.

‘2011	‘/SS+2011/SN
동인문학상’	동인/NNP+문학상/NNG+’/SS
최종심	최종심/NNG
진출작이	진출작/NNG+이/JKS
4편으로	4/SN+편/NNB+으로/JKB
압축됐다.	압축/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.77.3.2
동인문학상 심사위원회(유종호 김주영 김화영 오정희 이문열 정과리 신경숙)는 지난해 12월부터 지난 8월까지 매월 뽑은 17편의 후보작 가운데 권여선 소설집 ‘내 정원의 붉은 열매’(문학동네), 최제훈 장편 ‘일곱 개의 고양이 눈’(자음과모음), 편혜영 소설집 ‘저녁의 구애’(문학과지성사), 최수철 장편 ‘침대’(문학과지성사)를 최종심 진출작으로 결정했다.

동인문학상	동인/NNP+문학상/NNG
심사위원회(유종호	심사/NNG+위원회/NNG+(/SS+유종호/NNP
김주영	김주영/NNP
김화영	김화영/NNP
오정희	오정희/NNP
이문열	이문열/NNP
정과리	정과리/NNP
신경숙)는	신경숙/NNP+)/SS+는/JX
지난해	지난해/NNG
12월부터	12/SN+월/NNB+부터/JX
지난	지나/VV+ㄴ/ETM
8월까지	8/SN+월/NNB+까지/JX
매월	매월/MAG
뽑은	뽑/VV+은/ETM
17편의	17/SN+편/NNB+의/JKG
후보작	후보작/NNG
가운데	가운데/NNG
권여선	권여선/NNP
소설집	소설집/NNG
‘내	‘/SS+나/NP+의/JKG
정원의	정원/NNG+의/JKG
붉은	붉/VA+은/ETM
열매’(문학동네),	열매/NNG+’/SS+(/SS+문학동네/NNP+)/SS+,/SP
최제훈	최제훈/NNP
장편	장편/NNG
‘일곱	‘/SS+일곱/NR
개의	개/NNB+의/JKG
고양이	고양이/NNG
눈’(자음과모음),	눈/NNG+’/SS+(/SS+자음과모음/NNP+)/SS+,/SP
편혜영	편혜영/NNP
‘저녁의	‘/SS+저녁/NNG+의/JKG
구애’(문학과지성사),	구애/NNG+’/SS+(/SS+문학과지성사/NNP+)/SS+,/SP
최수철	최수철/NNP
‘침대’(문학과지성사)를	‘/SS+침대/NNP+’/SS+(/SS+문학과지성사/NNP+)/SS+를/JKO
최종심	최종심/NNG
진출작으로	진출작/NNG+으로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.77.3.3
장편과 단편집이 사이좋게 두 편씩이다.

장편과	장편/NNG+과/JC
단편집이	단편집/NNG+이/JKS
사이좋게	사이좋/VA+게/EC
두	두/MMN
편씩이다.	편/NNB+씩/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.77.3.4
심사위원회는 10월 중 이들 작품에 대한 최종심을 거쳐 올해의 수상작을 발표한다.

심사위원회는	심사/NNG+위원회/NNG+는/JX
10월	10/SN+월/NNB
중	중/NNB
이들	이/NP+들/XSN
작품에	작품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최종심을	최종심/NNG+을/JKO
거쳐	거치/VV+어/EC
올해의	올해/NNG+의/JKG
수상작을	수상작/NNG+을/JKO
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.77.4.1
권여선의 소설집 '내 정원의 붉은 열매'는 이번 진출작 4편 중 "고전적 단편소설의 형식에 가장 충실한 작품"이라는 평가를 받았다.

권여선의	권여선/NNP+의/JKG
소설집	소설집/NNG
'내	'/SS+나/NP+의/JKG
정원의	정원/NNG+의/JKG
붉은	붉/VA+은/ETM
열매'는	열매/NNG+'/SS+는/JX
이번	이번/NNG
진출작	진출작/NNG
4편	4/SN+편/NNB
중	중/NNB
"고전적	"/SS+고전/NNG+적/XSN
단편소설의	단편/NNG+소설/NNG+의/JKG
형식에	형식/NNG+에/JKB
가장	가장/MAG
충실한	충실/NNG+하/XSA+ㄴ/ETM
작품"이라는	작품/NNG+"/SS+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.77.4.2
겉보기에는 평화롭게 흐르는 삶의 강물 아래 소용돌이치고 있는 사람들의 위선과 위악, 섣부른 판단과 오해, 그로 인한 파국과 후유증의 물결을 능수능란하고 기민한 언어로 펼쳐 보인다는 것이다.

겉보기에는	겉보기/NNG+에/JKB+는/JX
평화롭게	평화/NNG+롭/XSA+게/EC
흐르는	흐르/VV+는/ETM
삶의	삶/NNG+의/JKG
강물	강물/NNG
아래	아래/NNG
소용돌이치고	소용돌이치/VV+고/EC
있는	있/VX+는/ETM
사람들의	사람/NNG+들/XSN+의/JKG
위선과	위선/NNG+과/JC
위악,	위악/NNG+,/SP
섣부른	섣부르/VA+ㄴ/ETM
판단과	판단/NNG+과/JC
오해,	오해/NNG+,/SP
그로	그/NP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
파국과	파국/NNG+과/JC
후유증의	후유증/NNG+의/JKG
물결을	물결/NNG+을/JKO
능수능란하고	능수능란하/VA+고/EC
기민한	기민하/VA+ㄴ/ETM
언어로	언어/NNG+로/JKB
펼쳐	펼치/VV+어/EC
보인다는	보이/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.77.4.3
심사위원회는 "사람과 사람의 마음이 맺히고 풀리는 양상을 살핀다는 점에서 이번 작품집은 고독한 심리소설"이라면서 "마음을 살피는 데 있어 섬세함을 더했고, 그 마음들이 충돌해 빚어내는 상처의 결을 어루만지는 시선도 성숙해졌다"고 했다.

심사위원회는	심사/NNG+위원회/NNG+는/JX
"사람과	"/SS+사람/NNG+과/JC
사람의	사람/NNG+의/JKG
마음이	마음/NNG+이/JKS
맺히고	맺히/VV+고/EC
풀리는	풀리/VV+는/ETM
양상을	양상/NNG+을/JKO
살핀다는	살피/VV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
이번	이번/NNG
작품집은	작품집/NNG+은/JX
고독한	고독/NNG+하/XSA+ㄴ/ETM
심리소설"이라면서	심리/NNG+소설/NNG+"/SS+이/VCP+라면서/EC
"마음을	"/SS+마음/NNG+을/JKO
살피는	살피/VV+는/ETM
데	데/NNB
있어	있/VA+어/EC
섬세함을	섬세하/VA+ㅁ/ETN+을/JKO
더했고,	더/MAG+하/XSV+았/EP+고/EC+,/SP
그	그/MMD
마음들이	마음/NNG+들/XSN+이/JKS
충돌해	충돌/NNG+하/XSV+아/EC
빚어내는	빚어내/VV+는/ETM
상처의	상처/NNG+의/JKG
결을	결/NNG+을/JKO
어루만지는	어루만지/VV+는/ETM
시선도	시선/NNG+도/JX
