# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.20
metadata : {}


# id : NWRW1800000048.20.1.1
성창기업, 소액주주 추천 감사 출근 저지

성창기업,	성창기업/NNP+,/SP
소액주주	소액/NNG+주주/NNG
추천	추천/NNG
감사	감사/NNG
출근	출근/NNG
저지	저지/NNG


# id : NWRW1800000048.20.2.1
주총 선임뒤 2주 동안 시간 끌고

주총	주총/NNG
선임뒤	선임/NNG+뒤/NNG
2주	2/SN+주/NNB
동안	동안/NNG
시간	시간/NNG
끌고	끌/VV+고/EC


# id : NWRW1800000048.20.3.1
13일 출근하자 ‘무단침입’ 신고

13일	13/SN+일/NNB
출근하자	출근/NNG+하/XSV+자/EC
‘무단침입’	‘/SS+무단/NNG+침입/NNG+’/SS
신고	신고/NNG


# id : NWRW1800000048.20.4.1
회사쪽 “임용 일정 안정해졌다”

회사쪽	회사/NNG+쪽/NNB
“임용	“/SS+임용/NNG
일정	일정/NNG
안정해졌다”	안/MAG+정하/VV+아/EC+지/VX+었/EP+다/EF+”/SS


# id : NWRW1800000048.20.5.1
성창기업지주가 소액주주들의 추천으로 선임된 감사의 출근을 가로막아, 그 의도가 무엇인지를 두고 논란이 일고 있다.

성창기업지주가	성창기업지주/NNP+가/JKS
소액주주들의	소액/NNG+주주/NNG+들/XSN+의/JKG
추천으로	추천/NNG+으로/JKB
선임된	선임/NNG+되/XSV+ㄴ/ETM
감사의	감사/NNG+의/JKG
출근을	출근/NNG+을/JKO
가로막아,	가로막/VV+아/EC+,/SP
그	그/MMD
의도가	의도/NNG+가/JKS
무엇인지를	무엇/NP+이/VCP+ㄴ지/EF+를/JKO
두고	두/VV+고/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.20.6.1
지난달 26일 성창기업지주 정기 주주총회에서 감사로 선임된 김택환(50)씨는 첫 출근 예정일이던 13일 아침 회사 정문 앞 경비실에서 출근을 저지당했다.

지난달	지난달/NNG
26일	26/SN+일/NNB
성창기업지주	성창기업지주/NNP
정기	정기/NNG
주주총회에서	주주/NNG+총회/NNG+에서/JKB
감사로	감사/NNG+로/JKB
선임된	선임/NNG+되/XSV+ㄴ/ETM
김택환(50)씨는	김택환/NNP+(/SS+50/SN+)/SS+씨/NNB+는/JX
첫	첫/MMN
출근	출근/NNG
예정일이던	예정일/NNG+이/VCP+던/ETM
13일	13/SN+일/NNB
아침	아침/NNG
회사	회사/NNG
정문	정문/NNG
앞	앞/NNG
경비실에서	경비실/NNG+에서/JKB
출근을	출근/NNG+을/JKO
저지당했다.	저지/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.20.6.2
회사 쪽은 임용계약을 위한 서류 제출이 미비하다며 출근을 저지한 것으로 전해졌다.

회사	회사/NNG
쪽은	쪽/NNB+은/JX
임용계약을	임용/NNG+계약/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
서류	서류/NNG
제출이	제출/NNG+이/JKS
미비하다며	미비/NNG+하/XSA+다며/EC
출근을	출근/NNG+을/JKO
저지한	저지/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.20.6.3
성창기업지주 소액주주들은 대주주 유관 회사 특혜 의혹과 주식 저평가 등의 문제를 제기하며 발행주식의 40%가량을 모아 주총에 감사 선임 등의 안건을 제안했고, 이를 통해 김씨가 감사로 선임된 바 있다.

성창기업지주	성창기업지주/NNP
소액주주들은	소액/NNG+주주/NNG+들/XSN+은/JX
대주주	대/XPN+주주/NNG
유관	유관/NNG
회사	회사/NNG
특혜	특혜/NNG
의혹과	의혹/NNG+과/JC
주식	주식/NNG
저평가	저/XPN+평가/NNG
등의	등/NNB+의/JKG
문제를	문제/NNG+를/JKO
제기하며	제기/NNG+하/XSV+며/EC
발행주식의	발행/NNG+주식/NNG+의/JKG
40%가량을	40/SN+%/SW+가량/XSN+을/JKO
모아	모으/VV+아/EC
주총에	주총/NNG+에/JKB
감사	감사/NNG
선임	선임/NNG
안건을	안건/NNG+을/JKO
제안했고,	제안/NNG+하/XSV+았/EP+고/EC+,/SP
이를	이/NP+를/JKO
통해	통하/VV+아/EC
김씨가	김/NNP+씨/NNB+가/JKS
감사로	감사/NNG+로/JKB
선임된	선임/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.20.7.1
앞서 회사 쪽은 감사 업무실 마련, 임원 등기 등의 이유를 들어 김씨의 첫 출근을 주주총회 의결 뒤 2주일 이상이 지난 13일로 통보했다.

앞서	앞서/MAG
회사	회사/NNG
쪽은	쪽/NNB+은/JX
감사	감사/NNG
업무실	업무실/NNG
마련,	마련/NNG+,/SP
임원	임원/NNG
등기	등기/NNG
등의	등/NNB+의/JKG
이유를	이유/NNG+를/JKO
들어	들/VV+어/EC
김씨의	김/NNP+씨/NNB+의/JKG
첫	첫/MMN
출근을	출근/NNG+을/JKO
주주총회	주주/NNG+총회/NNG
의결	의결/NNG
뒤	뒤/NNG
2주일	2/SN+주일/NNB
이상이	이상/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
13일로	13/SN+일/NNB+로/JKB
통보했다.	통보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.20.7.2
이 기간 동안 회사는 등기에 필요한 인감증명서, 이력서, 주민등록등본 등의 서류를 요청했고 김씨는 관련 서류를 모두 제출했다.

이	이/MMD
기간	기간/NNG
동안	동안/NNG
회사는	회사/NNG+는/JX
등기에	등기/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
인감증명서,	인감/NNG+증명서/NNG+,/SP
이력서,	이력서/NNG+,/SP
주민등록등본	주민/NNG+등록/NNG+등본/NNG
등의	등/NNB+의/JKG
서류를	서류/NNG+를/JKO
요청했고	요청/NNG+하/XSV+았/EP+고/EC
김씨는	김/NNP+씨/NNB+는/JX
관련	관련/NNG
모두	모두/MAG
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.20.7.3
하지만 회사 쪽은 다시 출근 예정일 사흘 전 등기 이전에 임용계약 체결이 필요하다며 추가 서류 제출을 요구하는 공문을 보내왔다.

하지만	하지만/MAJ
회사	회사/NNG
쪽은	쪽/NNB+은/JX
다시	다시/MAG
출근	출근/NNG
예정일	예정일/NNG
사흘	사흘/NNG
전	전/NNG
등기	등기/NNG
이전에	이전/NNG+에/JKB
임용계약	임용/NNG+계약/NNG
체결이	체결/NNG+이/JKS
필요하다며	필요/NNG+하/XSA+다며/EC
추가	추가/NNG
서류	서류/NNG
제출을	제출/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
공문을	공문/NNG+을/JKO
보내왔다.	보내오/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.20.7.4
회사가 요구한 추가 서류 목록에는 이력서, 경력증명서 외에 ‘감사로서 적법한지 여부에 대한 평가를 검증할 수 있는 서류’가 포함됐다.

회사가	회사/NNG+가/JKS
요구한	요구/NNG+하/XSV+ㄴ/ETM
추가	추가/NNG
서류	서류/NNG
목록에는	목록/NNG+에/JKB+는/JX
이력서,	이력서/NNG+,/SP
경력증명서	경력/NNG+증명서/NNG
외에	외/NNB+에/JKB
‘감사로서	‘/SS+감사/NNG+로서/JKB
적법한지	적법/NNG+하/XSA+ㄴ지/EF
여부에	여부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
평가를	평가/NNG+를/JKO
검증할	검증/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
서류’가	서류/NNG+’/SS+가/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.20.7.5
김씨는 ‘감사 자격 증명 서류’가 구체적으로 어떤 서류인지 알려달라고 회사 쪽에 요청했으나, 명확한 답변을 얻지 못했다.

김씨는	김/NNP+씨/NNB+는/JX
‘감사	‘/SS+감사/NNG
자격	자격/NNG
증명	증명/NNG
서류’가	서류/NNG+’/SS+가/JKS
구체적으로	구체/NNG+적/XSN+으로/JKB
어떤	어떤/MMD
서류인지	서류/NNG+이/VCP+ㄴ지/EF
알려달라고	알리/VV+어/EC+달/VX+라고/EC
회사	회사/NNG
쪽에	쪽/NNB+에/JKB
요청했으나,	요청/NNG+하/XSV+았/EP+으나/EC+,/SP
명확한	명확하/VA+ㄴ/ETM
답변을	답변/NNG+을/JKO
얻지	얻/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.20.8.1
김씨는 “이미 제출한 서류부터 검토해줄 것을 요구하며 회사 주차장에서 기다렸지만, 회사 쪽은 ‘업무방해’로 경찰에 신고까지 했다”고 분통을 터뜨렸다.

김씨는	김/NNP+씨/NNB+는/JX
“이미	“/SS+이미/MAG
제출한	제출/NNG+하/XSV+ㄴ/ETM
서류부터	서류/NNG+부터/JX
검토해줄	검토/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
회사	회사/NNG
주차장에서	주차장/NNG+에서/JKB
기다렸지만,	기다리/VV+었/EP+지만/EC+,/SP
쪽은	쪽/NNB+은/JX
‘업무방해’로	‘/SS+업무/NNG+방해/NNG+’/SS+로/JKB
경찰에	경찰/NNG+에/JKB
신고까지	신고/NNG+까지/JX
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
분통을	분통/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.20.8.2
그는 “회사 쪽에서 선임한 사외이사는 이미 등기가 완료된 것으로 안다.

그는	그/NP+는/JX
“회사	“/SS+회사/NNG
쪽에서	쪽/NNB+에서/JKB
선임한	선임/NNG+하/XSV+ㄴ/ETM
사외이사는	사외/NNG+이사/NNG+는/JX
이미	이미/MAG
등기가	등기/NNG+가/JKS
완료된	완료/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
안다.	알/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.20.8.3
감사와 사외이사의 자격 조건이 다르지 않은데, 주주가 선임한 감사에 대해서만 시간끌기를 하고 있다.

감사와	감사/NNG+와/JC
사외이사의	사외/NNG+이사/NNG+의/JKG
자격	자격/NNG
조건이	조건/NNG+이/JKS
다르지	다르/VA+지/EC
않은데,	않/VX+은데/EC+,/SP
주주가	주주/NNG+가/JKS
선임한	선임/NNG+하/XSV+ㄴ/ETM
감사에	감사/NNG+에/JKB
대해서만	대하/VV+아서/EC+만/JX
시간끌기를	시간/NNG+끌/VV+기/ETN+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.20.8.4
대주주 우호 지분을 이용해 임시주총을 열어 해임하려는 의도일 가능성이 있다”고 주장했다.

대주주	대/XPN+주주/NNG
우호	우호/NNG
지분을	지분/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
임시주총을	임시/NNG+주총/NNG+을/JKO
열어	열/VV+어/EC
해임하려는	해임/NNG+하/XSV+려는/ETM
의도일	의도/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.20.9.1
이에 대해 성창기업지주 관계자는 “법률 자문과 서류 검토 뒤 추가로 (김씨에게) 연락을 할 계획이다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
성창기업지주	성창기업지주/NNP
관계자는	관계자/NNG+는/JX
“법률	“/SS+법률/NNG
자문과	자문/NNG+과/JC
서류	서류/NNG
검토	검토/NNG
뒤	뒤/NNG
추가로	추가/NNG+로/JKB
(김씨에게)	(/SS+김/NNP+씨/NNB+에게/JKB+)/SS
연락을	연락/NNG+을/JKO
할	하/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.20.9.2
임용 일정은 아직 정해지지 않았다”고 해명했다.

임용	임용/NNG
일정은	일정/NNG+은/JX
아직	아직/MAG
정해지지	정하/VV+아/EC+지/VX+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.20.10.1
강정민 경제개혁연대 연구원은 “주총에서 선임된 감사 임용을 계속 지연시키는 것은 납득이 가지 않는다.

강정민	강정민/NNP
경제개혁연대	경제/NNG+개혁/NNG+연대/NNG
연구원은	연구원/NNG+은/JX
“주총에서	“/SS+주총/NNG+에서/JKB
선임된	선임/NNG+되/XSV+ㄴ/ETM
감사	감사/NNG
임용을	임용/NNG+을/JKO
계속	계속/MAG
지연시키는	지연/NNG+시키/XSV+는/ETM
