# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.281
metadata : {}


# id : NWRW1800000028.281.1.1
6.신구대학 식물원 /고향 떠난 단양쑥부쟁이 ‘제2 안식처’

6.신구대학	6/SN+./SP+신구대학/NNP
식물원	식물원/NNG
/고향	//SP+고향/NNG
떠난	떠나/VV+ㄴ/ETM
단양쑥부쟁이	단양쑥부쟁이/NNG
‘제2	‘/SS+제/XPN+2/SN
안식처’	안식처/NNG+’/SS


# id : NWRW1800000028.281.2.1
단양쑥부쟁이는 4대강 사업으로 갑자기 유명해진 멸종위기 식물이다.

단양쑥부쟁이는	단양쑥부쟁이/NNG+는/JX
4대강	4/SN+대/NNG+강/NNG
사업으로	사업/NNG+으로/JKB
갑자기	갑자기/MAG
유명해진	유명/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
멸종위기	멸종/NNG+위기/NNG
식물이다.	식물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.281.2.2
남한강의 여주 일대 모래밭 강변이 세계에서 유일한 자생지이다.

남한강의	남한강/NNP+의/JKG
여주	여주/NNP
일대	일대/NNG
모래밭	모래밭/NNG
강변이	강변/NNG+이/JKS
세계에서	세계/NNG+에서/JKB
유일한	유일/NNG+하/XSA+ㄴ/ETM
자생지이다.	자생지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.281.2.3
그런데 국립수목원을 비롯해 황학산수목원, 한택식물원 등 인공증식하는 곳마다 쑥쑥 잘 자라는 단양쑥부쟁이가 자연 상태에선 희귀한 이유가 뭘까.

그런데	그런데/MAJ
국립수목원을	국립수목원/NNP+을/JKO
비롯해	비롯하/VV+아/EC
황학산수목원,	황학산수목원/NNP+,/SP
한택식물원	한택식물원/NNP
등	등/NNB
인공증식하는	인공/NNG+증식/NNG+하/XSV+는/ETM
곳마다	곳/NNG+마다/JX
쑥쑥	쑥쑥/MAG
잘	잘/MAG
자라는	자라/VV+는/ETM
단양쑥부쟁이가	단양쑥부쟁이/NNG+가/JKS
자연	자연/NNG
상태에선	상태/NNG+에서/JKB+ㄴ/JX
희귀한	희귀/NNG+하/XSA+ㄴ/ETM
이유가	이유/NNG+가/JKS
뭘까.	뭐/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000028.281.3.1
지난달 23일 단양쑥부쟁이를 인공증식하고 있는 경기도 성남시 수정구 상적동 신구대학 식물원을 찾았다.

지난달	지난달/NNG
23일	23/SN+일/NNB
단양쑥부쟁이를	단양쑥부쟁이/NNG+를/JKO
인공증식하고	인공/NNG+증식/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
경기도	경기도/NNP
성남시	성남시/NNP
수정구	수정구/NNP
상적동	상적동/NNP
신구대학	신구대학/NNP
식물원을	식물원/NNG+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.281.4.1
“여기 보세요.

“여기	“/SS+여기/NP
보세요.	보/VV+시/EP+어요/EF+./SF


# id : NWRW1800000028.281.4.2
이렇게 뿌리가 잘 뻗습니다.”

이렇게	이렇/VA+게/EC
뿌리가	뿌리/NNG+가/JKS
잘	잘/MAG
뻗습니다.”	뻗/VV+습니다/EF+./SF+”/SS


# id : NWRW1800000028.281.5.1
1년생 단양쑥부쟁이가 심긴 화분을 뒤집자 화분 밑바닥이 모자라 옆으로 뻗친 뿌리가 드러났다.

1년생	1/SN+년/NNB+생/XSN
단양쑥부쟁이가	단양쑥부쟁이/NNG+가/JKS
심긴	심기/VV+ㄴ/ETM
화분을	화분/NNG+을/JKO
뒤집자	뒤집/VV+자/EC
화분	화분/NNG
밑바닥이	밑바닥/NNG+이/JKS
모자라	모자라/VV+아/EC
옆으로	옆/NNG+으로/JKB
뻗친	뻗치/VV+ㄴ/ETM
뿌리가	뿌리/NNG+가/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.281.5.2
2년생 단양쑥부쟁이는 탐스럽게 자라 이제 꽃망울을 맺을 준비를 하고 있었다.

2년생	2/SN+년/NNB+생/XSN
단양쑥부쟁이는	단양쑥부쟁이/NNG+는/JX
탐스럽게	탐/NNG+스럽/XSA+게/EC
자라	자라/VV+아/EC
이제	이제/MAG
꽃망울을	꽃망울/NNG+을/JKO
맺을	맺/VV+을/ETM
준비를	준비/NNG+를/JKO
하고	하/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.281.6.1
신구대학 식물원은 한강유역환경청의 의뢰를 받아 4대강 사업으로 훼손될 경기도 여주군 강천섬에서 단양쑥부쟁이의 씨앗을 받아 인공증식했다.

신구대학	신구대학/NNP
식물원은	식물원/NNG+은/JX
한강유역환경청의	한강유역환경청/NNP+의/JKG
의뢰를	의뢰/NNG+를/JKO
받아	받/VV+아/EC
4대강	4/SN+대/NNG+강/NNG
사업으로	사업/NNG+으로/JKB
훼손될	훼손/NNG+되/XSV+ㄹ/ETM
경기도	경기도/NNP
여주군	여주군/NNP
강천섬에서	강천섬/NNP+에서/JKB
단양쑥부쟁이의	단양쑥부쟁이/NNG+의/JKG
씨앗을	씨앗/NNG+을/JKO
인공증식했다.	인공/NNG+증식/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.281.6.2
씨앗은 대부분 싹이 텄고 잘 자랐다.

씨앗은	씨앗/NNG+은/JX
대부분	대/XPN+부분/NNG
싹이	싹/NNG+이/JKS
텄고	트/VV+었/EP+고/EC
잘	잘/MAG
자랐다.	자라/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.281.6.3
“길고 왕성한 뿌리 발달은 유기물이 거의 없는 모래와 자갈 강변에서 자란다는 증거”라고 전정일 신구대학 원예디자인과 교수는 말했다.

“길고	“/SS+길/VA+고/EC
왕성한	왕성/NNG+하/XSA+ㄴ/ETM
뿌리	뿌리/NNG
발달은	발달/NNG+은/JX
유기물이	유기물/NNG+이/JKS
거의	거의/MAG
없는	없/VA+는/ETM
모래와	모래/NNG+와/JC
자갈	자갈/NNG
강변에서	강변/NNG+에서/JKB
자란다는	자라/VV+ㄴ다는/ETM
증거”라고	증거/NNG+”/SS+라고/JKQ
전정일	전정일/NNP
신구대학	신구대학/NNP
