# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.126
metadata : {}


# id : NWRW1800000033.126.1.1
창단 86년 英무용단 ‘램버트댄스컴퍼니’ 내한… 초가을밤, 춤출까요

창단	창단/NNG
86년	86/SN+년/NNB
英무용단	英/SH+무용단/NNG
‘램버트댄스컴퍼니’	‘/SS+램버트댄스컴퍼니/NNP+’/SS
내한…	내한/NNG+…/SE
초가을밤,	초가을/NNG+밤/NNG+,/SP
춤출까요	춤추/VV+ㄹ까/EF+요/JX


# id : NWRW1800000033.126.2.1
20, 21일 LG아트센터

20,	20/SN+,/SP
21일	21/SN+일/NNB
LG아트센터	LG아트센터/NNP


# id : NWRW1800000033.126.3.1
국내에서 레퍼토리 위주로 운영하는 무용단은 거의 찾아보기 힘들다.

국내에서	국내/NNG+에서/JKB
레퍼토리	레퍼토리/NNG
위주로	위주/NNG+로/JKB
운영하는	운영/NNG+하/XSV+는/ETM
무용단은	무용단/NNG+은/JX
거의	거의/MAG
찾아보기	찾아보/VV+기/ETN
힘들다.	힘들/VA+다/EF+./SF


# id : NWRW1800000033.126.3.2
신작을 중요시하는 국내 무용계 특유의 풍토 때문인데, 그 결과 끊임없이 갈고 다듬으며 시대의 변화를 이겨낸 명작들을 접하기가 그만큼 어렵다.

신작을	신작/NNG+을/JKO
중요시하는	중요/NNG+시/XSN+하/XSV+는/ETM
국내	국내/NNG
무용계	무용/NNG+계/XSN
특유의	특유/NNG+의/JKG
풍토	풍토/NNG
때문인데,	때문/NNB+이/VCP+ㄴ데/EC+,/SP
그	그/MMD
결과	결과/NNG
끊임없이	끊임없이/MAG
갈고	갈/VV+고/EC
다듬으며	다듬/VV+으며/EC
시대의	시대/NNG+의/JKG
변화를	변화/NNG+를/JKO
이겨낸	이기/VV+어/EC+내/VX+ㄴ/ETM
명작들을	명작/NNG+들/XSN+을/JKO
접하기가	접하/VV+기/ETN+가/JKS
그만큼	그만큼/MAG
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000033.126.4.1
14년 만에 내한해 20, 21일 서울 역삼동 LG아트센터에서 공연하는 영국 현대무용단 램버트댄스컴퍼니에 대한 기대감은 이 무용단이 1926년에 설립돼 86년의 역사를 자랑할 뿐만 아니라 레퍼토리 위주로 공연하는 단체라는 점 때문이다.

14년	14/SN+년/NNB
만에	만/NNB+에/JKB
내한해	내한/NNG+하/XSV+아/EC
20,	20/SN+,/SP
21일	21/SN+일/NNB
서울	서울/NNP
역삼동	역삼동/NNP
LG아트센터에서	LG아트센터/NNP+에서/JKB
공연하는	공연/NNG+하/XSV+는/ETM
영국	영국/NNP
현대무용단	현대/NNG+무용단/NNG
램버트댄스컴퍼니에	램버트댄스컴퍼니/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
기대감은	기대감/NNG+은/JX
이	이/MMD
무용단이	무용단/NNG+이/JKS
1926년에	1926/SN+년/NNB+에/JKB
설립돼	설립/NNG+되/XSV+어/EC
86년의	86/SN+년/NNB+의/JKG
역사를	역사/NNG+를/JKO
자랑할	자랑/NNG+하/XSV+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
레퍼토리	레퍼토리/NNG
위주로	위주/NNG+로/JKB
단체라는	단체/NNG+이/VCP+라는/ETM
점	점/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.126.5.1
2005년부터 무용단 예술감독을 맡고 있는 마크 볼드윈 씨는 이번 한국 공연을 위해 무용단이 가진 수천 개의 레퍼토리 가운데 4개 작품을 골랐다고 밝혔다.

2005년부터	2005/SN+년/NNB+부터/JX
무용단	무용단/NNG
예술감독을	예술/NNG+감독/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
마크	마크/NNP
볼드윈	볼드윈/NNP
씨는	씨/NNB+는/JX
이번	이번/NNG
한국	한국/NNP
공연을	공연/NNG+을/JKO
위해	위하/VV+아/EC
무용단이	무용단/NNG+이/JKS
가진	가지/VV+ㄴ/ETM
수천	수천/NR
개의	개/NNB+의/JKG
레퍼토리	레퍼토리/NNG
가운데	가운데/NNG
4개	4/SN+개/NNB
작품을	작품/NNG+을/JKO
골랐다고	고르/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.126.5.2
4개 작품 중 ‘목신의 오후’는 1912년 프랑스 파리 샤틀레 극장에서 초연됐던 작품.

4개	4/SN+개/NNB
작품	작품/NNG
중	중/NNB
‘목신의	‘/SS+목신/NNG+의/JKG
오후’는	오후/NNG+’/SS+는/JX
1912년	1912/SN+년/NNB
프랑스	프랑스/NNP
파리	파리/NNP
샤틀레	샤틀레/NNP
극장에서	극장/NNG+에서/JKB
초연됐던	초연/NNG+되/XSV+었/EP+던/ETM
작품.	작품/NNG+./SF


# id : NWRW1800000033.126.5.3
100년 전 작품을 여전히 무대에 올린다는 사실 자체가 놀랍다.

100년	100/SN+년/NNB
전	전/NNG
작품을	작품/NNG+을/JKO
여전히	여전히/MAG
무대에	무대/NNG+에/JKB
올린다는	올리/VV+ㄴ다는/ETM
사실	사실/NNG
자체가	자체/NNG+가/JKS
놀랍다.	놀랍/VA+다/EF+./SF


# id : NWRW1800000033.126.5.4
천재 무용가로 불렸던 바츨라프 니진스키가 드뷔시의 ‘목신의 오후 전주곡’에 안무를 붙인 12분 길이의 작품으로, 고전주의 발레의 형식미를 탈피해 새로운 무용의 시대를 열었다는 평가를 받는다.

천재	천재/NNG
무용가로	무용가/NNG+로/JKB
불렸던	불리/VV+었/EP+던/ETM
바츨라프	바츨라프/NNP
니진스키가	니진스키/NNP+가/JKS
드뷔시의	드뷔시/NNP+의/JKG
‘목신의	‘/SS+목신/NNG+의/JKG
오후	오후/NNG
전주곡’에	전주곡/NNG+’/SS+에/JKB
안무를	안무/NNG+를/JKO
붙인	붙이/VV+ㄴ/ETM
12분	12/SN+분/NNB
길이의	길이/NNG+의/JKG
작품으로,	작품/NNG+으로/JKB+,/SP
고전주의	고전주의/NNG
발레의	발레/NNG+의/JKG
형식미를	형식미/NNG+를/JKO
탈피해	탈피/NNG+하/XSV+아/EC
새로운	새롭/VA+ㄴ/ETM
무용의	무용/NNG+의/JKG
시대를	시대/NNG+를/JKO
열었다는	열/VV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000033.126.5.5
램버트댄스컴퍼니를 설립한 마리 램버트가 1931년부터 이 작품을 레퍼토리에 포함시켜 무대에 올린 후 지금까지 이어졌다.

램버트댄스컴퍼니를	램버트댄스컴퍼니/NNP+를/JKO
설립한	설립/NNG+하/XSV+ㄴ/ETM
마리	마리/NNP
램버트가	램버트/NNP+가/JKS
1931년부터	1931/SN+년/NNB+부터/JX
이	이/MMD
작품을	작품/NNG+을/JKO
레퍼토리에	레퍼토리/NNG+에/JKB
포함시켜	포함/NNG+시키/XSV+어/EC
무대에	무대/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
후	후/NNG
지금까지	지금/NNG+까지/JX
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.126.6.1
첫머리에 선보이는 ‘허시’는 예술감독을 지낸 크리스토퍼 브루스가 첼리스트 요요마와 보비 맥퍼린이 연주한 동명의 곡에 안무를 붙인 30분짜리 작품으로 2006년 초연됐다.

첫머리에	첫머리/NNG+에/JKB
선보이는	선보이/VV+는/ETM
‘허시’는	‘/SS+허시/NNP+’/SS+는/JX
예술감독을	예술/NNG+감독/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
크리스토퍼	크리스토퍼/NNP
브루스가	브루스/NNP+가/JKS
첼리스트	첼리스트/NNG
요요마와	요요마/NNP+와/JC
보비	보비/NNP
맥퍼린이	맥퍼린/NNP+이/JKS
연주한	연주/NNG+하/XSV+ㄴ/ETM
동명의	동명/NNG+의/JKG
곡에	곡/NNG+에/JKB
안무를	안무/NNG+를/JKO
붙인	붙이/VV+ㄴ/ETM
30분짜리	30/SN+분/NNB+짜리/XSN
작품으로	작품/NNG+으로/JKB
2006년	2006/SN+년/NNB
초연됐다.	초연/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.126.6.2
이어 영국 안무가 팀 러시턴이 라트비아 작곡가 페테리스 바스크스의 곡에 맞춰 지난해 안무한 ‘모놀리스’, ‘목신의 오후’와 현 예술감독인 볼드윈 씨가 올해 안무한 신작 ‘광란의 엑스터시’로 이어진다.

이어	이어/MAG
영국	영국/NNP
안무가	안무가/NNG
팀	팀/NNP
러시턴이	러시턴/NNP+이/JKS
라트비아	라트비아/NNP
작곡가	작곡가/NNG
페테리스	페테리스/NNP
바스크스의	바스크스/NNP+의/JKG
곡에	곡/NNG+에/JKB
맞춰	맞추/VV+어/EC
지난해	지난해/NNG
안무한	안무/NNG+하/XSV+ㄴ/ETM
‘모놀리스’,	‘/SS+모놀리스/NNP+’/SS+,/SP
‘목신의	‘/SS+목신/NNG+의/JKG
오후’와	오후/NNG+’/SS+와/JC
현	현/MMD
예술감독인	예술/NNG+감독/NNG+이/VCP+ㄴ/ETM
볼드윈	볼드윈/NNP
씨가	씨/NNB+가/JKS
올해	올해/NNG
신작	신작/NNG
‘광란의	‘/SS+광란/NNG+의/JKG
엑스터시’로	엑스터시/NNG+’/SS+로/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.126.6.3
4만∼8만 원.

4만∼8만	4/SN+만/NR+∼/SO+8/SN+만/NR
원.	원/NNB+./SF


# id : NWRW1800000033.126.6.4
02-2005-0114

02-2005-0114	02/SN+-/SO+2005/SN+-/SO+0114/SN


