# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.433
metadata : {}


# id : NWRW1800000038.433.1.1
中, 성장보다 개혁 우선(淡化增長, 突出改革: 성장은 약하게, 개혁은 두드러지게)… 'GDP 영웅론' 접는다

中,	中/SH+,/SP
성장보다	성장/NNG+보다/JKB
개혁	개혁/NNG
우선(淡化增長,	우선/NNG+(/SS+淡化增長/SH+,/SP
突出改革:	突出改革/SH+:/SP
성장은	성장/NNG+은/JX
약하게,	약하/VA+게/EC+,/SP
개혁은	개혁/NNG+은/JX
두드러지게)…	두드러지/VV+게/EC+)/SS+…/SE
'GDP	'/SS+GDP/SL
영웅론'	영웅/NNG+론/XSN+'/SS
접는다	접/VV+는다/EF


# id : NWRW1800000038.433.2.1
내년 경제방향 결정하는 '중앙 경제공작회의' 개막

내년	내년/NNG
경제방향	경제/NNG+방향/NNG
결정하는	결정/NNG+하/XSV+는/ETM
'중앙	'/SS+중앙/NNG
경제공작회의'	경제/NNG+공작/NNG+회의/NNG+'/SS
개막	개막/NNG


# id : NWRW1800000038.433.3.1
중국의 2014년도 경제정책 방향을 결정하는 '중앙 경제공작회의'가 10일 베이징에서 개막했다.

중국의	중국/NNP+의/JKG
2014년도	2014/SN+년도/NNB
경제정책	경제/NNG+정책/NNG
방향을	방향/NNG+을/JKO
결정하는	결정/NNG+하/XSV+는/ETM
'중앙	'/SS+중앙/NNG
경제공작회의'가	경제/NNG+공작/NNG+회의/NNG+'/SS+가/JKS
10일	10/SN+일/NNB
베이징에서	베이징/NNP+에서/JKB
개막했다.	개막/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.433.4.1
홍콩 대공보(大公報)는 11일 베이징 소식통을 인용해 "올해 회의는 13일까지 나흘간 진행된다"며 "최근 10여년간 열린 경제공작회의 중 최장 시간이 될 것"이라고 말했다.

홍콩	홍콩/NNP
대공보(大公報)는	대공보/NNP+(/SS+大公報/SH+)/SS+는/JX
11일	11/SN+일/NNB
베이징	베이징/NNP
소식통을	소식통/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
"올해	"/SS+올해/NNG
회의는	회의/NNG+는/JX
13일까지	13/SN+일/NNB+까지/JX
나흘간	나흘/NNG+간/XSN
진행된다"며	진행/NNG+되/XSV+ㄴ다/EF+"/SS+며/EC
"최근	"/SS+최근/NNG
10여년간	10/SN+여/XSN+년/NNB+간/XSN
열린	열리/VV+ㄴ/ETM
경제공작회의	경제/NNG+공작/NNG+회의/NNG
중	중/NNB
최장	최장/NNG
시간이	시간/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.433.4.2
지난해 회의는 이틀 만에 끝났다.

지난해	지난해/NNG
회의는	회의/NNG+는/JX
이틀	이틀/NNG
만에	만/NNB+에/JKB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.433.4.3
중국은 매년 12월 국가 주석 등 최고 지도부가 모두 참석한 가운데 경제공작회의를 열어 내년도 경제성장률과 물가상승률 목표치 등을 논의한다.

중국은	중국/NNP+은/JX
매년	매년/MAG
12월	12/SN+월/NNB
국가	국가/NNG
주석	주석/NNG
등	등/NNB
최고	최고/NNG
지도부가	지도부/NNG+가/JKS
모두	모두/MAG
