# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.239
metadata : {}


# id : NWRW1800000024.239.1.1
“작년 국세 감면율, 법정한도 넘겼다”

“작년	“/SS+작년/NNG
국세	국세/NNG
감면율,	감면/NNG+율/XSN+,/SP
법정한도	법정/NNG+한도/NNG
넘겼다”	넘기/VV+었/EP+다/EF+”/SS


# id : NWRW1800000024.239.2.1
지난해 국세 감면율이 국가재정법에서 규정한 한도를 초과해 법률을 위반했다고 국회 예산정책처가 7일 밝혔다.

지난해	지난해/NNG
국세	국세/NNG
감면율이	감면/NNG+율/XSN+이/JKS
국가재정법에서	국가/NNG+재정법/NNG+에서/JKB
규정한	규정/NNG+하/XSV+ㄴ/ETM
한도를	한도/NNG+를/JKO
초과해	초과/NNG+하/XSV+아/EC
법률을	법률/NNG+을/JKO
위반했다고	위반/NNG+하/XSV+았/EP+다고/EC
국회	국회/NNG
예산정책처가	예산/NNG+정책처/NNG+가/JKS
7일	7/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.239.3.1
예산정책처가 이날 발간한 ‘2008회계연도 결산 분석’을 보면, 2008년도 조세 지출액은 29조6321억원으로 국세 감면율이 15.1%인 것으로 나타났다.

예산정책처가	예산/NNG+정책처/NNG+가/JKS
이날	이날/NNG
발간한	발간/NNG+하/XSV+ㄴ/ETM
‘2008회계연도	‘/SS+2008/SN+회계/NNG+연도/NNG
결산	결산/NNG
분석’을	분석/NNG+’/SS+을/JKO
보면,	보/VV+면/EC+,/SP
2008년도	2008/SN+년도/NNB
조세	조세/NNG
지출액은	지출액/NNG+은/JX
29조6321억원으로	29/SN+조/NR+6321/SN+억/NR+원/NNB+으로/JKB
국세	국세/NNG
감면율이	감면/NNG+율/XSN+이/JKS
15.1%인	15/SN+./SP+1/SN+%/SW+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.239.3.2
국세 감면율은 국세 감면 총액을 국세 감면 총액과 국세 수입 총액의 합으로 나눠 산출하는데, 이는 국가재정법이 규정한 지난해 한도 13.7%를 넘어선 것이다.

국세	국세/NNG
감면율은	감면/NNG+율/XSN+은/JX
감면	감면/NNG
총액을	총액/NNG+을/JKO
총액과	총액/NNG+과/JC
수입	수입/NNG
총액의	총액/NNG+의/JKG
합으로	합/NNG+으로/JKB
나눠	나누/VV+어/EC
산출하는데,	산출/NNG+하/XSV+는데/EC+,/SP
이는	이/NP+는/JX
국가재정법이	국가/NNG+재정법/NNG+이/JKS
규정한	규정/NNG+하/XSV+ㄴ/ETM
지난해	지난해/NNG
한도	한도/NNG
13.7%를	13/SN+./SP+7/SN+%/SW+를/JKO
넘어선	넘어서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.239.3.3
국세 감면율 한도는 직전 3년 평균 국세 감면율에 0.5%를 더해 구한다.

국세	국세/NNG
감면율	감면/NNG+율/XSN
한도는	한도/NNG+는/JX
직전	직전/NNG
3년	3/SN+년/NNB
평균	평균/NNG
감면율에	감면/NNG+율/XSN+에/JKB
0.5%를	0/SN+./SP+5/SN+%/SW+를/JKO
더해	더/MAG+하/XSV+아/EC
구한다.	구하/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.239.4.1
보고서는 “유가환급금 지급 및 추경 편성 등 확장적 재정정책의 영향으로 나빠졌다”며 “비과세·감면을 지속적으로 축소하고 추가적인 감세에 대해서는 신중할 필요가 있다”고 지적했다.

보고서는	보고서/NNG+는/JX
“유가환급금	“/SS+유가/NNG+환급금/NNG
지급	지급/NNG
및	및/MAG
추경	추경/NNG
편성	편성/NNG
등	등/NNB
확장적	확장/NNG+적/XSN
재정정책의	재정/NNG+정책/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
나빠졌다”며	나빠지/VV+었/EP+다/EF+”/SS+며/EC
“비과세·감면을	“/SS+비/XPN+과세/NNG+·/SP+감면/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
