# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.178
metadata : {}


# id : NWRW1800000033.178.1.1
캄보디아서 北종업원 탈출시킨 한국인 체포

캄보디아서	캄보디아/NNP+서/JKB
北종업원	北/SH+종업원/NNG
탈출시킨	탈출/NNG+시키/XSV+ㄴ/ETM
한국인	한국인/NNG
체포	체포/NNG


# id : NWRW1800000033.178.2.1
탈북자 출신… 제3국행 도와

탈북자	탈북자/NNG
출신…	출신/NNG+…/SE
제3국행	제3국행/NNG
도와	돕/VV+아/EF


# id : NWRW1800000033.178.3.1
北 “납치됐다” 외교문제 조짐

北	北/SH
“납치됐다”	“/SS+납치/NNG+되/XSV+었/EP+다/EF+”/SS
외교문제	외교/NNG+문제/NNG
조짐	조짐/NNG


# id : NWRW1800000033.178.4.1
탈북자 출신 한국인 남성이 캄보디아에서 북한 식당 여종업원의 제3국행을 도왔다가 인신매매금지법 위반 혐의로 체포됐다.

탈북자	탈북자/NNG
출신	출신/NNG
한국인	한국인/NNG
남성이	남성/NNG+이/JKS
캄보디아에서	캄보디아/NNP+에서/JKB
북한	북한/NNP
식당	식당/NNG
여종업원의	여종업원/NNG+의/JKG
제3국행을	제3국행/NNG+을/JKO
도왔다가	돕/VV+았/EP+다가/EC
인신매매금지법	인신매매/NNG+금지법/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
체포됐다.	체포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.178.4.2
이에 캄보디아 주재 북한대사관은 자국민이 납치됐다고 주장하고 있어 외교 문제로 비화될 가능성이 있다.

이에	이/NP+에/JKB
캄보디아	캄보디아/NNP
주재	주재/NNG
북한대사관은	북한대사관/NNP+은/JX
자국민이	자국민/NNG+이/JKS
납치됐다고	납치/NNG+되/XSV+었/EP+다고/EC
주장하고	주장/NNG+하/XSV+고/EC
있어	있/VX+어/EC
외교	외교/NNG
문제로	문제/NNG+로/JKB
비화될	비화/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.178.5.1
10일 외교통상부와 캄보디아 현지 소식통에 따르면 2009년 북한을 탈출해 한국에 온 김수성(가명·33) 씨는 지난달 25일 캄보디아 프놈펜의 공항에서 인신매매 및 성착취 단속법 위반 혐의로 체포됐다.

10일	10/SN+일/NNB
외교통상부와	외교/NNG+통상부/NNG+와/JC
캄보디아	캄보디아/NNP
현지	현지/NNG
소식통에	소식통/NNG+에/JKB
따르면	따르/VV+면/EC
2009년	2009/SN+년/NNB
북한을	북한/NNP+을/JKO
탈출해	탈출/NNG+하/XSV+아/EC
한국에	한국/NNP+에/JKB
온	오/VV+ㄴ/ETM
김수성(가명·33)	김수성/NNP+(/SS+가명/NNG+·/SP+33/SN+)/SS
씨는	씨/NNB+는/JX
지난달	지난달/NNG
25일	25/SN+일/NNB
프놈펜의	프놈펜/NNP+의/JKG
공항에서	공항/NNG+에서/JKB
인신매매	인신매매/NNG
및	및/MAG
성착취	성/NNG+착취/NNG
단속법	단속법/NNG
위반	위반/NNG
혐의로	혐의/NNG+로/JKB
체포됐다.	체포/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.178.5.2
김 씨는 지난해 6월 프놈펜 평양대동강식당에서 일하다 실종된 문모 씨(25·여)를 납치해 빼돌린 혐의로 수배된 상태였다.

김	김/NNP
씨는	씨/NNB+는/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
프놈펜	프놈펜/NNP
평양대동강식당에서	평양/NNP+대동강/NNP+식당/NNG+에서/JKB
일하다	일/NNG+하/XSV+다/EC
실종된	실종/NNG+되/XSV+ㄴ/ETM
문모	문/NNP+모/NP
씨(25·여)를	씨/NNB+(/SS+25/SN+·/SP+여/NNG+)/SS+를/JKO
납치해	납치/NNG+하/XSV+아/EC
빼돌린	빼돌리/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
수배된	수배/NNG+되/XSV+ㄴ/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.178.6.1
프놈펜 법원은 같은 달 28일 김 씨에 대해 ‘인신매매 목적으로 불법적 방법을 사용해 문 씨를 월경시키려 했다’는 이유로 구속영장을 발부했다.

프놈펜	프놈펜/NNP
법원은	법원/NNG+은/JX
같은	같/VA+은/ETM
달	달/NNG
28일	28/SN+일/NNB
김	김/NNP
씨에	씨/NNB+에/JKB
대해	대하/VV+아/EC
‘인신매매	‘/SS+인신매매/NNG
목적으로	목적/NNG+으로/JKB
불법적	불법/NNG+적/XSN
방법을	방법/NNG+을/JKO
사용해	사용/NNG+하/XSV+아/EC
문	문/NNP
씨를	씨/NNB+를/JKO
월경시키려	월경/NNG+시키/XSV+려/EC
했다’는	하/VX+았/EP+다/EF+’/SS+는/ETM
이유로	이유/NNG+로/JKB
구속영장을	구속/NNG+영장/NNG+을/JKO
발부했다.	발부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.178.6.2
김 씨는 현재 캄보디아 당국의 수사를 받고 있다.

김	김/NNP
씨는	씨/NNB+는/JX
현재	현재/MAG
캄보디아	캄보디아/NNP
당국의	당국/NNG+의/JKG
수사를	수사/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


